sample	site	site2
A62_01_1FE	Madagascar	Madagascar
A79_02_1FE	Madagascar	Madagascar
A04_01_1FE	Madagascar	Madagascar
A90_03_1FE	Madagascar	Madagascar
A55_01_1FE	Madagascar	Madagascar
A47_02_1FE	Madagascar	Madagascar
A66_02_1FE	Madagascar	Madagascar
A34_01_1FE	Madagascar	Madagascar
A55_02_1FE	Madagascar	Madagascar
A73_02_1FE	Madagascar	Madagascar
A01_02_1FE	Madagascar	Madagascar
A94_03_1FE	Madagascar	Madagascar
A08_01_1FE	Madagascar	Madagascar
A23_01_1FE	Madagascar	Madagascar
A15_02_1FE	Madagascar	Madagascar
A69_01_1FE	Madagascar	Madagascar
A36_01_1FE	Madagascar	Madagascar
A88_02_1FE	Madagascar	Madagascar
A58_03_1FE	Madagascar	Madagascar
V07_02_2FE	Madagascar	Madagascar
A19_03_1FE	Madagascar	Madagascar
V19_02_2FE	Madagascar	Madagascar
A49_01_1FE	Madagascar	Madagascar
A43_02_1FE	Madagascar	Madagascar
A34_02_1FE	Madagascar	Madagascar
A53_01_1FE	Madagascar	Madagascar
A72_01_1FE	Madagascar	Madagascar
A48_01_1FE	Madagascar	Madagascar
A91_02_1FE	Madagascar	Madagascar
A45_02_1FE	Madagascar	Madagascar
A70_03_1FE	Madagascar	Madagascar
A83_02_1FE	Madagascar	Madagascar
A13_03_1FE	Madagascar	Madagascar
A24_02_1FE	Madagascar	Madagascar
V07_01_2FE	Madagascar	Madagascar
A94_02_1FE	Madagascar	Madagascar
A10_02_1FE	Madagascar	Madagascar
A39_01_1FE	Madagascar	Madagascar
A94_01_1FE	Madagascar	Madagascar
A54_02_1FE	Madagascar	Madagascar
A07_01_1FE	Madagascar	Madagascar
A93_01_1FE	Madagascar	Madagascar
V32_02_2FE	Madagascar	Madagascar
A20_03_1FE	Madagascar	Madagascar
A22_01_1FE	Madagascar	Madagascar
A09_01_1FE	Madagascar	Madagascar
A25_01_1FE	Madagascar	Madagascar
A13_01_1FE	Madagascar	Madagascar
A27_02_1FE	Madagascar	Madagascar
V40_01_1FE	Madagascar	Madagascar
V53_02_1FE	Madagascar	Madagascar
A24_04_1FE	Madagascar	Madagascar
V31_01_2FE	Madagascar	Madagascar
A70_01_1FE	Madagascar	Madagascar
A56_01_1FE	Madagascar	Madagascar
A04_04_1FE	Madagascar	Madagascar
A67_01_1FE	Madagascar	Madagascar
A36_02_1FE	Madagascar	Madagascar
A28_02_1FE	Madagascar	Madagascar
V19_01_2FE	Madagascar	Madagascar
V54_01_1FE	Madagascar	Madagascar
A10_01_1FE	Madagascar	Madagascar
A75_02_1FE	Madagascar	Madagascar
A68_01_1FE	Madagascar	Madagascar
A19_01_1FE	Madagascar	Madagascar
A03_01_1FE	Madagascar	Madagascar
A44_01_1FE	Madagascar	Madagascar
A92_01_1FE	Madagascar	Madagascar
V18_02_1FE	Madagascar	Madagascar
A59_01_1FE	Madagascar	Madagascar
A41_01_1FE	Madagascar	Madagascar
A11_01_1FE	Madagascar	Madagascar
A81_03_1FE	Madagascar	Madagascar
V30_01_1FE	Madagascar	Madagascar
V06_02_1FE	Madagascar	Madagascar
A69_02_1FE	Madagascar	Madagascar
V36_02_2FE	Madagascar	Madagascar
A42_02_1FE	Madagascar	Madagascar
A48_05_1FE	Madagascar	Madagascar
A29_01_1FE	Madagascar	Madagascar
A46_02_1FE	Madagascar	Madagascar
A39_02_1FE	Madagascar	Madagascar
A14_01_1FE	Madagascar	Madagascar
A46_01_1FE	Madagascar	Madagascar
V48_03_2FE	Madagascar	Madagascar
A32_01_1FE	Madagascar	Madagascar
A47_01_1FE	Madagascar	Madagascar
V50_01_2FE	Madagascar	Madagascar
V01_01_1FE	Madagascar	Madagascar
A91_01_1FE	Madagascar	Madagascar
A95_01_1FE	Madagascar	Madagascar
A89_01_1FE	Madagascar	Madagascar
A39_04_1FE	Madagascar	Madagascar
V12_01_2FE	Madagascar	Madagascar
A81_01_1FE	Madagascar	Madagascar
A85_01_1FE	Madagascar	Madagascar
A09_02_1FE	Madagascar	Madagascar
A72_02_1FE	Madagascar	Madagascar
A05_01_1FE	Madagascar	Madagascar
A40_02_1FE	Madagascar	Madagascar
A20_01_1FE	Madagascar	Madagascar
A73_01_1FE	Madagascar	Madagascar
A89_02_1FE	Madagascar	Madagascar
A62_03_1FE	Madagascar	Madagascar
A35_01_1FE	Madagascar	Madagascar
A82_02_1FE	Madagascar	Madagascar
A58_01_1FE	Madagascar	Madagascar
A90_04_1FE	Madagascar	Madagascar
V50_01_1FE	Madagascar	Madagascar
A06_01_1FE	Madagascar	Madagascar
V50_02_1FE	Madagascar	Madagascar
A02_01_1FE	Madagascar	Madagascar
TZ_47979	Tanzania	Tanzania
TZ_93321	Tanzania	Tanzania
TZ_67706	Tanzania	Tanzania
