sample	site	site2
1	A62_01_1FE	Madagascar	Madagascar
2	A79_02_1FE	Madagascar	Madagascar
3	A04_01_1FE	Madagascar	Madagascar
4	A90_03_1FE	Madagascar	Madagascar
5	A55_01_1FE	Madagascar	Madagascar
6	A47_02_1FE	Madagascar	Madagascar
7	A66_02_1FE	Madagascar	Madagascar
8	A34_01_1FE	Madagascar	Madagascar
9	A55_02_1FE	Madagascar	Madagascar
10	A73_02_1FE	Madagascar	Madagascar
11	A01_02_1FE	Madagascar	Madagascar
12	A94_03_1FE	Madagascar	Madagascar
13	A08_01_1FE	Madagascar	Madagascar
14	A23_01_1FE	Madagascar	Madagascar
15	A15_02_1FE	Madagascar	Madagascar
16	A69_01_1FE	Madagascar	Madagascar
17	A36_01_1FE	Madagascar	Madagascar
18	A88_02_1FE	Madagascar	Madagascar
19	A58_03_1FE	Madagascar	Madagascar
20	V07_02_2FE	Madagascar	Madagascar
21	A19_03_1FE	Madagascar	Madagascar
22	V19_02_2FE	Madagascar	Madagascar
23	A49_01_1FE	Madagascar	Madagascar
24	A43_02_1FE	Madagascar	Madagascar
25	A34_02_1FE	Madagascar	Madagascar
26	A53_01_1FE	Madagascar	Madagascar
27	A72_01_1FE	Madagascar	Madagascar
28	A48_01_1FE	Madagascar	Madagascar
29	A91_02_1FE	Madagascar	Madagascar
30	A45_02_1FE	Madagascar	Madagascar
31	A70_03_1FE	Madagascar	Madagascar
32	A83_02_1FE	Madagascar	Madagascar
33	A13_03_1FE	Madagascar	Madagascar
34	A24_02_1FE	Madagascar	Madagascar
35	V07_01_2FE	Madagascar	Madagascar
36	A94_02_1FE	Madagascar	Madagascar
37	A10_02_1FE	Madagascar	Madagascar
38	A39_01_1FE	Madagascar	Madagascar
39	A94_01_1FE	Madagascar	Madagascar
40	A54_02_1FE	Madagascar	Madagascar
41	A07_01_1FE	Madagascar	Madagascar
42	A93_01_1FE	Madagascar	Madagascar
43	V32_02_2FE	Madagascar	Madagascar
44	A20_03_1FE	Madagascar	Madagascar
45	A22_01_1FE	Madagascar	Madagascar
46	A09_01_1FE	Madagascar	Madagascar
47	A25_01_1FE	Madagascar	Madagascar
48	A13_01_1FE	Madagascar	Madagascar
49	A27_02_1FE	Madagascar	Madagascar
50	V40_01_1FE	Madagascar	Madagascar
51	V53_02_1FE	Madagascar	Madagascar
52	A24_04_1FE	Madagascar	Madagascar
53	V31_01_2FE	Madagascar	Madagascar
54	A70_01_1FE	Madagascar	Madagascar
55	A56_01_1FE	Madagascar	Madagascar
56	A04_04_1FE	Madagascar	Madagascar
57	A67_01_1FE	Madagascar	Madagascar
58	A36_02_1FE	Madagascar	Madagascar
59	A28_02_1FE	Madagascar	Madagascar
60	V19_01_2FE	Madagascar	Madagascar
61	V54_01_1FE	Madagascar	Madagascar
62	A10_01_1FE	Madagascar	Madagascar
63	A75_02_1FE	Madagascar	Madagascar
64	A68_01_1FE	Madagascar	Madagascar
65	A19_01_1FE	Madagascar	Madagascar
66	A03_01_1FE	Madagascar	Madagascar
67	A44_01_1FE	Madagascar	Madagascar
68	A92_01_1FE	Madagascar	Madagascar
69	V18_02_1FE	Madagascar	Madagascar
70	A59_01_1FE	Madagascar	Madagascar
71	A41_01_1FE	Madagascar	Madagascar
72	A11_01_1FE	Madagascar	Madagascar
73	A81_03_1FE	Madagascar	Madagascar
74	V30_01_1FE	Madagascar	Madagascar
75	V06_02_1FE	Madagascar	Madagascar
76	A69_02_1FE	Madagascar	Madagascar
77	V36_02_2FE	Madagascar	Madagascar
78	A42_02_1FE	Madagascar	Madagascar
79	A48_05_1FE	Madagascar	Madagascar
