Sample	raw_reads	trimmed_reads	trimmed_frac	deduplicated_reads	deduplicated_frac	host_removed_reads	host_removed_frac	orphan_reads	orphan_frac
B66	15645609	12850447	0.821	10534859	0.673	6615369	0.423	1344841	0.086
A37	10237443	7441828	0.727	7026823	0.686	3662963	0.358	284885	0.028
A44	10532300	7227894	0.686	6438996	0.611	3214791	0.305	578071	0.055
A48	11983145	8408609	0.702	7519387	0.627	3764243	0.314	658615	0.055
B30	18865231	15332617	0.813	12624028	0.669	8018118	0.425	1640801	0.087
A9	10355697	7306783	0.706	6896279	0.666	3707054	0.358	253114	0.024
A54	8786541	6170168	0.702	5903825	0.672	3288625	0.374	176363	0.02
B40	22184615	17349129	0.782	13832237	0.624	7605498	0.343	1839685	0.083
B36	18995121	15662230	0.825	11804285	0.621	7109599	0.374	2346413	0.124
B69	15307266	12251638	0.8	9407160	0.615	5353621	0.35	1818407	0.119
B67	18500715	15207408	0.822	12847536	0.694	3860082	0.209	804910	0.044
A10	10202758	7307572	0.716	6923372	0.679	3810093	0.373	263691	0.026
C23	17411274	14376092	0.826	10049235	0.577	6715025	0.386	1564857	0.09
A26	9176478	6134033	0.668	5894815	0.642	3178757	0.346	139239	0.015
B51	20670704	16264654	0.787	9599837	0.464	5676810	0.275	1696061	0.082
A27	9413292	6391825	0.679	5968707	0.634	3223185	0.342	297193	0.032
B59	23443279	18005610	0.768	14467266	0.617	12619599	0.538	1867814	0.08
C19	17389457	14784017	0.85	10025422	0.577	7068569	0.406	1688293	0.097
B48	20564563	16196544	0.788	12426036	0.604	7057796	0.343	2230200	0.108
A61	12815833	8844749	0.69	8080100	0.63	3691506	0.288	564428	0.044
A43	9712303	6484714	0.668	6030906	0.621	3599032	0.371	292903	0.03
C22	18773145	15687497	0.836	10270583	0.547	6607635	0.352	2089644	0.111
B24	19495969	15352194	0.787	3332367	0.171	2027626	0.104	724618	0.037
A18	16920725	11321489	0.669	8845153	0.523	2286027	0.135	1584959	0.094
B60	15638399	12622677	0.807	9849010	0.63	5780391	0.37	1618982	0.104
A3	10355205	7119582	0.688	6721632	0.649	3288220	0.318	279104	0.027
B72	21903491	17289602	0.789	6938336	0.317	3939431	0.18	7709271	0.352
C2	44203826	33918024	0.767	21217813	0.48	12599960	0.285	3982633	0.09
C32	19278984	16015163	0.831	10905377	0.566	6822668	0.354	1800696	0.093
A15	10897687	7366696	0.676	6751943	0.62	3426508	0.314	361836	0.033
B78	20767948	16676419	0.803	9541444	0.459	5132073	0.247	4180116	0.201
B71	25476637	18884212	0.741	13194169	0.518	8523227	0.335	2975169	0.117
