sample	host_removed_reads_linecount_1
SRS011061	24011536
SRS011084	200615252
SRS011134	109847312
SRS011239	121019700
SRS011271	113841796
SRS011302	91172584
SRS011405	107755432
SRS011452	44724660
SRS011529	112208064
SRS011586	104148536
SRS012273	108396312
SRS012849	110683732
SRS012902	85650368
SRS012969	129003384
SRS013098	143791568
SRS013158	86604080
SRS013215	75298292
SRS013476	77508020
SRS013521	103749320
SRS013638	81819352
SRS013639	134607340
SRS013687	118888400
SRS013800	93525476
SRS013951	89705700
SRS014235	121112520
SRS014287	54783336
SRS014313	94803072
SRS014459	103530900
SRS014613	118091700
SRS014683	100225996
SRS014923	107244836
SRS014979	101019776
SRS015065	105773452
SRS015133	109975204
SRS015190	97707832
SRS015217	100143312
SRS015264	75717656
SRS015369	40514336
SRS015431	259735512
SRS015578	118190404
SRS015663	132146920
SRS015782	123604036
SRS015794	114538960
SRS015854	90188292
SRS015890	190031888
SRS015960	101598044
SRS016018	101037716
SRS016056	90339980
SRS016095	115315804
SRS016203	42036176
SRS016267	95012152
SRS016335	119755756
SRS016437	97276616
SRS016438	101458304
SRS016495	46961648
SRS016517	86148932
SRS016585	57266916
SRS016753	94680964
SRS016954	100447348
SRS016989	112063140
SRS017103	122267492
SRS017191	110320632
SRS017247	95406588
SRS017307	109379208
SRS017433	108923120
SRS017521	110366572
SRS017701	81689392
SRS017821	67768404
SRS017916	53357508
SRS018133	119921908
SRS018313	93292588
SRS018351	102424856
SRS018427	92729304
SRS018575	94242472
SRS018656	50809420
SRS018817	87607808
SRS018984	208950512
SRS019030	92430032
SRS019068	272931100
SRS019161	102467832
SRS019267	101970144
SRS019381	87038920
SRS019397	109798880
SRS019582	96941920
SRS019601	97934536
SRS019685	87247864
SRS019787	95375380
SRS019910	32546532
SRS019968	90660800
SRS020233	118840532
SRS020328	100244000
SRS020622	103895628
SRS020869	95797420
SRS021153	73568748
SRS021219	126815528
SRS021484	125726848
SRS021948	113127040
SRS022071	112077892
SRS022137	99894872
SRS022524	28441984
SRS022609	104615832
SRS022713	53013792
SRS023346	77455948
SRS023526	126649012
SRS023583	96860236
SRS023829	86316052
SRS023914	116249140
SRS023971	92094460
SRS024009	110022260
SRS024075	124480652
SRS024132	101127180
SRS024265	20504180
SRS024331	102910264
SRS024388	107338936
SRS024435	111687180
SRS024549	85390504
SRS024625	80639312
SRS024663	98995256
SRS042284	67654624
SRS042628	78426804
SRS043001	93606884
SRS043411	88458224
SRS043667	91568024
SRS043701	100359484
SRS045004	106974948
SRS045528	149341704
SRS045645	102718520
SRS045713	95680432
SRS045739	108321116
SRS047014	101319452
SRS047044	71463904
SRS048164	105450740
SRS048870	93233792
SRS049164	50916344
SRS049402	95780756
SRS049712	78997608
SRS049896	142119808
SRS049900	62459384
SRS049959	119831292
SRS049995	132976720
SRS050026	95820488
SRS050299	85768248
SRS050422	79798756
SRS050752	105173324
SRS050925	104080916
SRS051031	117139180
SRS051882	87714580
SRS052027	96287804
SRS052697	105415620
SRS053214	100097560
SRS053335	99666100
SRS053356	85401704
SRS053398	108194688
SRS053573	80555908
SRS053649	113335556
SRS054352	101963408
SRS054590	82072924
SRS054956	92918824
SRS055533	96776456
SRS055982	104374128
SRS056259	101200480
SRS056273	126566860
SRS056519	99819816
SRS057478	34235676
SRS057717	72699340
SRS058070	121057276
SRS058723	85223324
SRS058770	127169708
SRS062427	49847920
SRS063040	30314932
SRS063489	64068832
SRS063518	146068144
SRS063985	98636776
SRS064276	113509840
SRS064557	82612752
SRS064645	30554560
SRS064973	60891276
SRS065504	118963744
SRS074670	97548264
SRS074964	101820688
SRS075078	116778724
SRS075341	94508308
SRS075398	68408492
SRS075963	5932304
SRS076929	120368296
SRS077086	81382372
SRS077194	138554784
SRS077294	64125496
SRS077335	74408596
SRS077502	85663544
SRS077552	134397792
SRS077730	99469572
SRS077753	115365708
SRS077849	108079020
SRS078176	100319940
SRS078242	111093624
SRS078419	114328752
SRS078665	99879372
SRS097889	166654672
SRS098514	159378724
SRS098571	161299072
SRS098644	166021588
SRS098717	119030988
SRS098827	89671080
SRS100021	96265536
SRS101376	100421464
SRS101433	72898360
SRS103987	151533012
SRS104197	157441392
SRS104311	128363640
SRS104400	159885640
SRS104485	80432076
SRS105153	163523708
SRS140492	142068452
SRS140513	68154780
SRS140645	49319280
SRS142503	175293288
SRS142505	49883440
SRS142599	83387732
SRS142712	79158680
SRS142890	122098548
SRS143070	76357696
SRS143181	65203316
SRS143342	114420344
SRS143417	115457092
SRS143598	140068372
SRS143780	152451120
SRS143876	158017176
SRS143991	89003604
SRS144362	161172068
SRS144506	125060884
SRS144537	96113500
SRS145497	109837244
SRS146764	130063132
SRS146812	121536172
SRS146813	71076700
SRS147022	117108720
SRS147088	17050964
SRS147139	139802572
SRS147346	135292492
SRS147445	8371144
SRS147652	162336968
SRS147766	98628596
SRS147919	101722876
SRS148196	88376864
SRS148424	108180812
SRS148721	120169084
