species	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	site	rank
Candidatus Gastranaerophilales bacterium HUM_1	2341.69319932944	-8.70804566289286	0.813114808872724	-10.709490920434	9.18655823262666e-27	1.3940602118011e-24	Bushbuckridge	species
Eubacterium sp. CAG:581	768.53025498896	-5.92097622583721	0.44469577199432	-13.314667237072	1.90218068607809e-40	1.1546236764494e-37	Bushbuckridge	species
Ruminococcus sp. CAG:353	10220.9801413026	-4.914494680141	0.444330662838076	-11.060444599413	1.95127887284321e-28	3.94808758605275e-26	Bushbuckridge	species
Ruminococcus sp. CAG:724	5970.76285292302	-4.451691319796	0.388629987273925	-11.4548322712376	2.22393338314134e-30	6.74963781783397e-28	Bushbuckridge	species
Guerin_crAss_Delta_08	3443.13427831823	-4.1447349443258	0.593045674275264	-6.98889668049751	2.77056350800246e-12	6.46820018983652e-11	Bushbuckridge	species
Firmicutes bacterium CAG:534	3834.84043425223	-3.98411076092769	0.412740290524026	-9.6528273405762	4.78187877895589e-22	4.14657202689461e-20	Bushbuckridge	species
Catabacter sp. UBA7571	777.478907067621	-3.78043949517052	0.425011355035534	-8.89491410142312	5.84645030489171e-19	3.2261775773357e-17	Bushbuckridge	species
Candidatus Melainabacteria bacterium	3315.97008815472	-3.59032704571619	0.429329745355769	-8.3626328819612	6.13338415696469e-17	2.65926013091255e-15	Bushbuckridge	species
Prevotella sp. UBA641	3592.90521508739	-3.55754629059728	0.419902816192508	-8.47230871861144	2.40576522348808e-17	1.12330730050559e-15	Bushbuckridge	species
Prevotella sp. CAG:1092	25010.1356758641	-3.54581726433952	0.427955197454522	-8.28548709170969	1.17626668641124e-16	4.75995919101081e-15	Bushbuckridge	species
Eubacterium sp. CAG:202	3251.69996386022	-3.16535415670842	0.561421854456153	-5.63810284830235	1.7193381563922e-08	2.22050693814908e-07	Bushbuckridge	species
Clostridiales bacterium UBA4638	1167.97955206065	-3.10719382047197	0.309320028573257	-10.0452396658695	9.64130258578856e-24	1.17045413391473e-21	Bushbuckridge	species
Akkermansia sp. 54_46	5003.87163573504	-2.80136813866092	0.584674874772244	-4.7913263585205	1.65682373155371e-06	1.15596782190012e-05	Bushbuckridge	species
Mitsuokella multacida	1885.28328013024	-2.74864644120051	0.433632144040989	-6.33865934288462	2.31773057404737e-10	4.53826599498953e-09	Bushbuckridge	species
Succinatimonas sp. UBA6849	5704.17787592695	-2.74251003281696	0.557309257726833	-4.92098416596052	8.6110097830036e-07	6.53360367285398e-06	Bushbuckridge	species
Prevotella sp. UBA630	3686.27214924692	-2.71462139152034	0.386144858138327	-7.03005966364023	2.06445241115733e-12	5.01249045429e-11	Bushbuckridge	species
uncultured Succinivibrio sp.	1535.31857274454	-2.70751390905449	0.530721000448813	-5.10157673573277	3.36835396565495e-07	3.2410523342048e-06	Bushbuckridge	species
Firmicutes bacterium CAG:460	534.724217694638	-2.58633156780314	0.432632643867341	-5.97812394525688	2.25721971462513e-09	3.42533091694363e-08	Bushbuckridge	species
Ruminococcus sp. CAG:563	4268.47490217949	-2.54018953130375	0.438681852509355	-5.7905051617096	7.01750414915725e-09	9.46583337452989e-08	Bushbuckridge	species
Succinivibrio sp. Phil9	12603.1897245436	-2.5155334607611	0.559316212960026	-4.49751572093419	6.87520787946025e-06	4.09142272826703e-05	Bushbuckridge	species
[Bacteroides] pectinophilus	754.488078229849	-2.49457473178817	0.260670827726162	-9.5698270249433	1.07084682346032e-21	8.12505027300514e-20	Bushbuckridge	species
Succinatimonas sp. CAG:777	55263.6222868472	-2.48449260770565	0.555935381010786	-4.46903128055714	7.85746405110921e-06	4.45745857852644e-05	Bushbuckridge	species
Succinivibrio sp.	8596.64136573774	-2.43754951181042	0.493006690762876	-4.94425239551732	7.64366219486933e-07	5.87304171175403e-06	Bushbuckridge	species
Clostridium sp. CAG:510	8060.63103297636	-2.35011887915722	0.462887765628802	-5.07708143023555	3.83276638101256e-07	3.52498362617367e-06	Bushbuckridge	species
Succinatimonas sp. UBA2849	60075.0905407943	-2.34316893195871	0.555370775248555	-4.21910737184547	2.45271452628789e-05	0.000118158549004504	Bushbuckridge	species
Prevotella sp. UBA6387	674.217565394767	-2.3326195777281	0.423561015859719	-5.50716305416703	3.64662474433238e-08	4.42700243961951e-07	Bushbuckridge	species
Clostridiales bacterium UBA6386	2970.24649674761	-2.33142713528296	0.251033607058022	-9.287310821073	1.58235608899644e-20	1.06721127335649e-18	Bushbuckridge	species
Akkermansia muciniphila CAG:154	1239.35224007369	-2.31045563726592	0.574874727580031	-4.01905932965937	5.84309572910042e-05	0.000238037523997581	Bushbuckridge	species
Klebsiella quasipneumoniae	884.907824040493	-2.25577036782639	0.50402725066381	-4.47549287237051	7.62352422739191e-06	4.36554642078008e-05	Bushbuckridge	species
Ruminococcus sp. UBA4697	516.131857673483	-2.25324508790981	0.299543479348437	-7.52226385568811	5.38357968084738e-14	1.81546270348576e-12	Bushbuckridge	species
Prevotella sp. UBA7267	846.129690055405	-2.24521565199059	0.617619360296024	-3.63527408032426	0.000277685252197599	0.000877890354603867	Bushbuckridge	species
Faecalibacterium sp. AF28-13AC	25840.2373653506	-2.21974577273678	0.286525104101853	-7.74712491491744	9.39964794639797e-15	3.35622723733151e-13	Bushbuckridge	species
Parabacteroides massiliensis	2929.55939535295	-2.21133472508552	0.341186244404455	-6.48131265944042	9.09280216764944e-11	1.83977697192107e-09	Bushbuckridge	species
Clostridiales bacterium UBA3277	381.159615687832	-2.16516467631696	0.238558499416818	-9.07603242646956	1.12604823347074e-19	6.83511277716737e-18	Bushbuckridge	species
Thauera sp. 2A1	758.385555126304	-2.12011443214105	0.424540665163089	-4.99390189471391	5.9171463647104e-07	4.78894379117228e-06	Bushbuckridge	species
Clostridiales bacterium UBA7044	404.746136544822	-2.11830851069336	0.44633846502196	-4.74596898250555	2.07510512064587e-06	1.38416352552972e-05	Bushbuckridge	species
Clostridiales bacterium UBA7187	509.666899318862	-2.11442985245548	0.218164085940829	-9.69192451331776	3.26320858654997e-22	3.30127935339306e-20	Bushbuckridge	species
Shigella flexneri	3319.73213526139	-2.10624892072322	0.507585922121444	-4.14954164197501	3.33141681743414e-05	0.000149790370976483	Bushbuckridge	species
Lachnoclostridium sp. UBA5890	1108.56674512601	-2.0696042114443	0.354160654450349	-5.84368756223441	5.10577503432707e-09	7.37906058532508e-08	Bushbuckridge	species
Roseburia sp. CAG:309	801.723403947049	-2.06468925327295	0.342089476320707	-6.03552402570056	1.58447651594275e-09	2.46609550045448e-08	Bushbuckridge	species
Clostridium sp. CAG:524	722.834299340341	-2.06296896067962	0.49398110751564	-4.17621024223948	2.96405885224941e-05	0.000140561228384015	Bushbuckridge	species
Enterobacter asburiae	588.771715578983	-2.04002700573235	0.455820884860547	-4.47550139427349	7.62322013803975e-06	4.36554642078008e-05	Bushbuckridge	species
Prevotella sp. CAG:732	23791.1292835788	-2.02498593038372	0.397079742462075	-5.0996958893644	3.40199627430104e-07	3.2410523342048e-06	Bushbuckridge	species
Prevotella sp. UBA789	4040.0027958634	-2.01733949323315	0.398260479586429	-5.06537705003529	4.07592780655517e-07	3.63836496849851e-06	Bushbuckridge	species
Prevotella sp. UBA6389	13761.9162618172	-1.93057046794556	0.388575079928136	-4.96833319394183	6.75308549462576e-07	5.25528576312543e-06	Bushbuckridge	species
Sutterella sp.	5309.25553187369	-1.855435054884	0.398814536520209	-4.65237569089957	3.2813255042359e-06	2.09659429586441e-05	Bushbuckridge	species
uncultured bacterium	7476.62335146318	-1.85234335413132	0.370747213291444	-4.99624349886939	5.84578401765534e-07	4.78894379117228e-06	Bushbuckridge	species
Clostridiales bacterium UBA3259	869.600565024481	-1.85119637924641	0.210746660136577	-8.78398916522196	1.57776897440464e-18	7.98088139553016e-17	Bushbuckridge	species
Shigella sp.	1121.8757122911	-1.84926038451507	0.618928052483231	-2.98784386504306	0.00280953043756061	0.00696075500244608	Bushbuckridge	species
Enterobacter cloacae	2349.14484307637	-1.80694670602178	0.368393153833215	-4.90494105881199	9.34553982202419e-07	6.91797886825449e-06	Bushbuckridge	species
Clostridium sp. CAG:302	492.016608628075	-1.76932686838154	0.411108529394217	-4.30379508542113	1.67896965220971e-05	8.5641561251369e-05	Bushbuckridge	species
Prevotella sp. UBA1705	715.132570463394	-1.76738654137511	0.324208050082215	-5.45139622821497	4.99758810125859e-08	5.94810975973327e-07	Bushbuckridge	species
Clostridiales bacterium UBA6330	1310.77681758152	-1.74718273289974	0.346850237125305	-5.03728279784494	4.72186895437317e-07	3.9807978545896e-06	Bushbuckridge	species
Salmonella sp. gx-f5	1661.28798532375	-1.72774410095916	0.372910296754467	-4.63313594715981	3.6016785141348e-06	2.27731131049982e-05	Bushbuckridge	species
Prevotella sp. UBA4339	359.776552398458	-1.70979996684337	0.351077818999639	-4.87014523365581	1.11516252323405e-06	8.05837680479847e-06	Bushbuckridge	species
Klebsiella oxytoca	483.527209136377	-1.68665831621999	0.290429960855242	-5.80745289243992	6.34303900375238e-09	8.75051062563112e-08	Bushbuckridge	species
Roseburia sp. AM59-24XD	491.790365181288	-1.66542033033887	0.309527760889043	-5.38052007211036	7.42709569481004e-08	8.50612657877301e-07	Bushbuckridge	species
Prevotella sp. UBA6339	7151.3861832462	-1.64294320486355	0.390984374277744	-4.20206870900792	2.64486824833682e-05	0.000126412206829957	Bushbuckridge	species
Sutterella sp. CAG:397	4798.83016323584	-1.62712475983288	0.418998965486934	-3.88336223680634	0.000103021912425934	0.000382480476905265	Bushbuckridge	species
Roseburia sp. CAG:197_41_10	1136.07948218021	-1.61974577569036	0.369886636126381	-4.37903297251576	1.19207096717368e-05	6.28876935149781e-05	Bushbuckridge	species
Butyrivibrio crossotus	13539.4652100658	-1.61890522898163	0.412359812247345	-3.92595296849773	8.6387035193496e-05	0.000333993187021988	Bushbuckridge	species
Lachnospiraceae bacterium UBA5895	2071.94674122037	-1.61747646268162	0.317299666521357	-5.09763051570288	3.43931281484842e-07	3.2410523342048e-06	Bushbuckridge	species
Prevotella sp. UBA2739	457.435986944864	-1.61433645032515	0.336845882036565	-4.79250760188872	1.64709528823874e-06	1.15596782190012e-05	Bushbuckridge	species
Ruminococcus champanellensis	4895.73316019022	-1.60491421280138	0.362326747088841	-4.42946656766652	9.44664553926921e-06	5.21283076576037e-05	Bushbuckridge	species
Eubacteriaceae bacterium	1311.11811481768	-1.59646697569121	0.252790579886508	-6.31537368365529	2.69509445353086e-10	4.95734040391889e-09	Bushbuckridge	species
Prevotella sp. AGR2160	846.792074605828	-1.57009988931307	0.337403128113655	-4.65348349937105	3.26373732457371e-06	2.09659429586441e-05	Bushbuckridge	species
Prevotella sp. UBA746	905.247896185331	-1.55455230570685	0.347072980907942	-4.47903579714026	7.49809598803522e-06	4.36554642078008e-05	Bushbuckridge	species
Ruminococcus sp. AM28-29LB	790.176956458645	-1.55223858873279	0.307028874770366	-5.05567624508848	4.28868353231733e-07	3.77279841176322e-06	Bushbuckridge	species
Prevotella sp. UBA631	1692.62523704679	-1.54379389006878	0.397617023508425	-3.88261517690293	0.000103339041536184	0.000382480476905265	Bushbuckridge	species
Zoogloea sp. 1C4	611.539362287305	-1.54057971886925	0.335467078909869	-4.59234248521646	4.38298301630308e-06	2.74275328958348e-05	Bushbuckridge	species
Prevotella sp. UBA633	828.171085624578	-1.49554128537518	0.390969382017338	-3.82521331378542	0.00013065890328636	0.000469289670383552	Bushbuckridge	species
Klebsiella pneumoniae	24888.8095438614	-1.48740448854046	0.368943307389672	-4.03152587063869	5.54158951288229e-05	0.000228826179205412	Bushbuckridge	species
Clostridium sp. CAG:217	2003.37904726441	-1.48108856444293	0.403064370691817	-3.67457079349585	0.00023824958020133	0.000761144711485303	Bushbuckridge	species
Prevotellaceae bacterium	44130.5720851902	-1.47924260187014	0.38319015404164	-3.86033562258334	0.000113231391629761	0.00041404490794738	Bushbuckridge	species
Prevotella sp. UBA6836	609.013725618302	-1.47159740263602	0.392704286545541	-3.74734234653016	0.000178718092657437	0.000596054298038815	Bushbuckridge	species
Prevotella sp. FD3004	461.995570009632	-1.46536918139695	0.352261487181796	-4.1598904073232	3.18400335970773e-05	0.000147754407661244	Bushbuckridge	species
Prevotella sp. P6B1	563.91332276182	-1.4465055623131	0.348585833179612	-4.14963955683125	3.32999216759637e-05	0.000149790370976483	Bushbuckridge	species
Prevotella sp. UBA1395	423.617972066124	-1.41827212306399	0.332106630207407	-4.27053239550878	1.95006891242668e-05	9.86409858202493e-05	Bushbuckridge	species
Prevotella sp. AM23-5	206035.054562004	-1.40142561575258	0.402803158169734	-3.47918229370498	0.000502946335453083	0.00151884788865682	Bushbuckridge	species
Prevotella sp. KH2C16	657.448352810334	-1.40093170746219	0.309425969827983	-4.52751819196365	5.96804646807218e-06	3.62260420611981e-05	Bushbuckridge	species
Prevotella oralis	427.42591308099	-1.37137592509106	0.303336214242539	-4.52097659527903	6.15549943220827e-06	3.69939421321824e-05	Bushbuckridge	species
Dialister sp.	3496.97935438877	-1.3607094460719	0.403478812629999	-3.37244336871711	0.000745044064627463	0.00210344998711102	Bushbuckridge	species
Ruminococcus sp. AF43-11	1057.7885491273	-1.35298568663578	0.305866600327182	-4.42345024003438	9.71370125030419e-06	5.31190689994112e-05	Bushbuckridge	species
Prevotella sp. UBA6381	1011.4237038018	-1.34538081464303	0.389514403278418	-3.45399503412297	0.00055234754621597	0.00163548761245412	Bushbuckridge	species
