MetaCyc Pathway	bushbuckridge_1	bushbuckridge_2	bushbuckridge_3	bushbuckridge_4	bushbuckridge_5	bushbuckridge_6	bushbuckridge_7	bushbuckridge_8	bushbuckridge_9	bushbuckridge_10	bushbuckridge_11	bushbuckridge_12	bushbuckridge_13	bushbuckridge_14	bushbuckridge_15	bushbuckridge_16	bushbuckridge_17	bushbuckridge_18	bushbuckridge_19	bushbuckridge_20	bushbuckridge_21	bushbuckridge_22	bushbuckridge_23	bushbuckridge_24	bushbuckridge_25	bushbuckridge_26	bushbuckridge_27	bushbuckridge_28	bushbuckridge_29	bushbuckridge_30	bushbuckridge_31	bushbuckridge_32	bushbuckridge_33	bushbuckridge_34	bushbuckridge_35	bushbuckridge_36	bushbuckridge_37	bushbuckridge_38	bushbuckridge_39	bushbuckridge_40	bushbuckridge_41	bushbuckridge_42	bushbuckridge_43	bushbuckridge_44	bushbuckridge_45	bushbuckridge_46	bushbuckridge_47	bushbuckridge_48	bushbuckridge_49	bushbuckridge_50	bushbuckridge_51	bushbuckridge_52	bushbuckridge_53	bushbuckridge_54	bushbuckridge_55	bushbuckridge_56	bushbuckridge_57	bushbuckridge_58	bushbuckridge_59	bushbuckridge_60	bushbuckridge_61	bushbuckridge_62	bushbuckridge_63	bushbuckridge_64	bushbuckridge_65	bushbuckridge_66	bushbuckridge_67	bushbuckridge_68	bushbuckridge_69	bushbuckridge_70	bushbuckridge_71	bushbuckridge_72	bushbuckridge_73	bushbuckridge_74	bushbuckridge_75	bushbuckridge_76	bushbuckridge_77	bushbuckridge_78	bushbuckridge_79	bushbuckridge_80	bushbuckridge_81	bushbuckridge_82	bushbuckridge_83	bushbuckridge_84	bushbuckridge_85	bushbuckridge_86	bushbuckridge_87	bushbuckridge_88	bushbuckridge_89	bushbuckridge_90	bushbuckridge_91	bushbuckridge_92	bushbuckridge_93	bushbuckridge_94	bushbuckridge_95	bushbuckridge_96	bushbuckridge_97	bushbuckridge_98	bushbuckridge_99	bushbuckridge_100	bushbuckridge_101	bushbuckridge_102	bushbuckridge_103	bushbuckridge_104	bushbuckridge_105	bushbuckridge_106	bushbuckridge_107	bushbuckridge_108	bushbuckridge_109	bushbuckridge_110	bushbuckridge_111	bushbuckridge_112	bushbuckridge_113	bushbuckridge_114	bushbuckridge_115	bushbuckridge_116	bushbuckridge_117	bushbuckridge_118	soweto_1	soweto_2	soweto_3	soweto_4	soweto_5	soweto_6	soweto_7	soweto_8	soweto_9	soweto_10	soweto_11	soweto_12	soweto_13	soweto_14	soweto_15	soweto_16	soweto_17	soweto_18	soweto_19	soweto_20	soweto_21	soweto_22	soweto_23	soweto_24	soweto_25	soweto_26	soweto_27	soweto_28	soweto_29	soweto_30	soweto_31	soweto_32	soweto_33	soweto_34	soweto_35	soweto_36	soweto_37	soweto_38	soweto_39	soweto_40	soweto_41	soweto_42	soweto_43	soweto_44	soweto_45	soweto_46	soweto_47	soweto_48	soweto_49	soweto_50	soweto_51
UNMAPPED	258843	247131	212400	307861	304248	249897	234138	287413	295387	215305	288012	211944	233348	197476	317977	229380	465638	273604	245285	125934	186635	225030	301815	329668	136094	217520	251714	254062	230168	144083	198888	236358	221640	231398	177860	233767	272976	230535	172484	262911	174946	189970	201778	137729	169216	171065	147472	214924	277784	221780	249215	212523	257657	436307	306512	354299	214104	241401	324566	342634	209648	229269	225616	232687	223729	236106	178225	247932	246524	255398	250591	249160	645168	206874	205622	219073	297182	245261	274378	216145	251492	275149	210202	185859	218918	105104	222128	175707	195133	216680	300585	99238.1	232412	264428	217222	232120	201845	224749	228905	299933	216925	266875	178517	161087	276021	428715	207383	291805	240327	184400	286660	216847	303198	299893	201613	219606	199469	272231	179845	246219	112808	251470	260339	147811	170445	214839	334817	319150	154432	209961	147308	199085	205028	292198	219324	205920	291418	309121	144844	388693	211019	229100	247397	141054	182914	142742	137477	173357	219191	258337	251404	142982	216088	146714	252811	184689	184759	276825	198323	169648	151475	365725	243696	198493	223089	298044	167634	178902	331457
UNINTEGRATED	687098	697420	726920	641396	648308	703299	715471	669798	659501	732006	666173	733676	716287	749196	640346	716520	498873	677149	701019	814649	746533	725174	653432	626055	810773	721707	692511	697072	721804	797039	749257	712679	728502	715292	761478	711753	674484	721307	772203	689252	770666	754443	743319	807856	778969	772821	799380	728677	668452	726861	703235	737204	694856	525460	648364	604292	735177	709737	628612	613461	733590	721129	722019	712558	720314	710019	772326	702420	708942	685789	697229	700664	354368	741589	740883	726678	643195	704148	675397	726527	699047	674589	736089	770814	729624	834191	723289	767075	745616	729291	651401	834890	714063	688555	730395	706703	741241	723943	714386	651545	730893	685344	763994	783513	674511	529132	736744	653996	711017	754814	658723	725323	649442	652369	736774	725917	750479	678525	766861	704750	835225	697957	690365	803152	775932	735229	625331	638285	787645	738967	796887	748270	739905	663449	732410	743140	656143	646633	803645	575364	736207	716400	702010	802852	765355	802512	809835	777120	736261	696036	699527	787122	737591	790410	698973	765120	763500	670745	747360	784560	795409	592247	707154	752987	730026	655852	781675	773993	627129
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	535.431	515.262	666.006	512.493	479.244	483.055	459.338	393.039	347.444	337.55	368.57	426.081	387.582	552.954	575.255	500.845	393.274	421.049	462.292	631.223	355.105	502.679	420.648	446.715	420.897	385.776	499.302	515.503	454.132	299.389	482.494	518.8	398.202	501.699	408.805	469.177	475.723	572.25	474.947	449.18	355.574	420.692	608.569	508.714	420.936	378.997	456.852	406.475	513.64	592.666	496.971	497.887	500.95	354.833	437.234	524.878	474.222	471.402	508.366	452.122	573.61	597.227	431.346	517.558	513.786	501.46	458.894	403.547	483.267	620.21	346.813	606.789	0	683.441	600.968	496.109	691.683	572.45	469.415	551.074	479.419	535.433	590.568	327.208	582.189	423.998	473.748	566.477	560.5	513.89	461.802	328.478	494.522	450.201	535.768	605.454	408.365	522.08	420.16	390.51	452.933	452.418	552.515	455.047	565.678	421.69	590.466	625.527	506.37	515.474	507.003	430.688	507.209	502.748	700.989	624.013	428.946	410.142	436.447	460.585	571.909	442.789	442.167	457.461	518.035	587.586	247.351	504.456	297.865	571.3	547.23	446.007	538.341	448.337	510.575	440.285	560.12	455.967	499.332	380.899	408.931	481.425	470.184	521.847	466.839	581.563	518.511	459.602	544.091	477.83	577.013	365.249	501.952	340.441	500.931	526.583	510.895	556.929	522.851	413.185	492.436	502.754	546.86	516.398	435.649	495.793	442.655	447.823	548.926
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0	7.61939	0	0	3.24049	0	0	0	0	0	0	1.42744	0	0	0	0	0	0	7.31609	0	72.0637	0	2.51117	0	11.9449	0	1.67174	0	0.820121	1.80327	0	1.42919	0	0	49.2021	25.8539	4.8873	0	4.75244	0.706345	15.8574	1.48975	0	2.92263	0.707966	1.3784	7.66311	10.7679	2.47819	0	0	0	0	0	14.0285	0	0	13.4506	8.48128	0	0	1.6665	1.42259	0.677947	2.15021	0	9.31441	0	0	3.24121	23.4324	0	0	4.92953	0	0	3.54196	0	0.314802	5.02702	0	0	0	0	0	2.76298	22.7362	0.818561	0.677938	0	0	8.34413	0	0	1.59262	0.592268	4.19694	0	25.6735	16.9936	0	0.631566	0	10.4841	0	5.01447	0	0	0	0	0	14.4781	0	0	0	2.88589	1.83398	4.30262	0	10.6004	0	3.89996	0	0	0	0	0	0	17.2962	0	3.1534	0	0	2.06596	0	0	0	0.553707	0	0	0	0	0	0	5.45999	0	1.82926	0	0	0	0	45.7891	0	33.641	0	0	2.38625	0	0	0	0	0	0	0	0	0	2.76854	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0	0.636814	0	0	0	0	0	0	0	14.1093	0	0	0	0	0	0	0	0	0	0	0	0	4.50831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25478	0	0.17743	8.29523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.97306	0	0	0	0.408821	0	0	0	0	0	0	0	0	0	0	0	0	2.0279	0	0	0	0	0	0	0	0	0	8.87843	6.70696	0	3.31872	0	0	56.5118	0.123628	0	0	0	7.25593	0	0	0	0	0	0	0.164335	0	0	2.98993	0	0	0.455326	0	0	0	0	0	0	0	0.144082	0	6.08346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.6118	11.723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0	0.824564	0	0	11.0983	0	0	0	0	0	8.67294	0	0	0	0	0	0	0	0.223634	2.24559	12.6509	0	15.7397	0	3.63795	19.8137	0.326467	1.41831	2.17017	0	0	0	0	0	0	0.479386	0	0	3.90093	0	10.7486	23.0748	2.27832	0	6.06074	0	0	3.34653	0	0	0	5.53427	0	0	5.93177	0	3.98749	2.28638	4.38612	0	0	0	5.09188	0	0	0	8.89458	0	0	0	12.7605	0	0	0.686966	0	9.52013	1.15831	0	0	4.46931	0	0	0	0	0	4.03214	0	2.91315	0.2901	0.996569	0.791397	23.1992	3.76042	1.84809	0	8.60843	0	0	4.80679	4.56257	0	0.363336	3.22702	0.15276	0	0	6.25379	0	0	6.01392	0	6.20198	0	3.41846	0	0	0	0.496465	0	9.02116	0	2.12581	0	7.52766	0	0	0	0	0.897922	0	0	0	0	0	0	0	0	6.07786	0	0	0	8.76285	0	0	7.95574	1.69967	0	0	0	0	5.65624	12.4672	0	8.79547	0	0	8.31473	0	4.82856	0	7.72636	0	1.95438	0	0	0	0	0	7.80398
ANAEROFRUCAT-PWY: homolactic fermentation	223.729	292.752	109.479	291.559	168.249	389.216	374.855	291.083	276.891	231.582	212.083	310.137	281.409	319.972	236.013	327.225	92.1925	205.83	322.24	238.257	240.149	201.875	223.942	249.578	281.632	287.944	295.729	342.531	291.28	215.799	350.525	210.681	283.937	216.284	237.845	186.22	240.183	178.415	339.287	303.923	273.27	239.321	365.368	290.821	345.644	195.531	303.164	240.118	286.932	332.229	229.627	329.966	131.784	210.91	290.366	148.969	292.836	273.974	191.546	249.721	242.998	145.708	268.471	243.401	217.653	348.556	310.539	248.422	226.204	133.429	215.535	171.494	0	129	114.382	356.915	412.631	258.735	307.541	325.506	382.416	315.588	184.545	159.861	322.072	298.646	293.942	191.493	253.199	164.318	329.795	303.957	211.619	187.809	193.866	441.387	312.826	315.556	233.382	259.23	282.003	265.034	152.611	359.196	317.875	180.503	226.82	308.425	327.794	261.56	328.112	286.64	236.249	222.833	124.809	137.542	330.427	266.216	119.456	218.184	281.048	158.589	316.311	277.785	77.5544	160.288	310.089	264.985	193.053	193.558	288.488	251.891	305.982	281.288	353.21	372.282	260.092	242.586	325.56	209.373	292.884	325.663	416.477	246.815	263.091	365.861	329.511	117.431	203.832	212.713	179.412	279.372	228.15	312.604	262.95	179.723	348.598	391.63	281.968	268.956	356.542	211.832	265.626	264.544	355.055	282.726	322.047	347.513	248.95
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	456.838	438.752	517.247	489.118	189.154	426.531	406.208	574.234	373.559	340.413	230.768	404.082	352.604	420.509	509.035	380.623	451.294	255.614	378.949	482.102	267.178	257.238	393.496	430.64	351.185	333.446	482.087	384.241	333.573	273.962	419.244	417.149	341.747	406.177	290.348	310.314	433.557	328.137	412.69	362.519	325.081	330.669	429.821	415.422	452.642	320.688	441.514	421.038	428.965	397.853	326.352	403.852	403.474	378.918	428.984	393.853	375.317	392.422	446.585	479.931	378.654	269.592	338.799	401.996	394.336	398.651	369.471	290.553	253.435	508.798	300.268	200.607	0	256.755	254.421	406.22	554.908	294.378	353.366	479.587	454.047	392.487	403.489	290.946	385.622	378.271	396.422	306.27	347.031	421.9	405.463	348.05	404.68	288.795	287.207	535.393	384.33	375.75	386.093	321.786	353.938	341.293	470.051	442.726	375.137	385.156	306.8	497.256	431.485	370.603	409.008	337.039	333.858	506.495	467.498	250.232	375.113	364.399	330.344	351.252	514.962	233.074	401.059	408.893	106.528	284.423	1131.97	365.696	365.635	230.723	491.296	353.672	503.393	371.102	457.091	434.206	487.429	410.483	514.264	437.517	394.048	448.322	482.591	377.352	374.536	513.108	465.341	201.218	307.225	308.366	466.632	363.845	425.235	415.226	407.464	326.476	495.582	463.257	483.57	413.228	440.197	471.869	333.827	311.52	452.897	415.158	432.852	427.303	515.768
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	54.4564	113.323	48.2812	38.0162	111.286	138.268	90.8075	49.0431	117.821	184.252	101.519	201.253	54.0743	80.4785	66.3935	60.7677	26.0699	85.7297	104.913	42.0163	229.671	31.1795	116.233	52.3712	136.271	270.254	76.4085	100.695	68.0741	178.485	39.556	60.061	73.4666	56.6625	180.025	133.224	70.4485	43.5573	129.842	77.4982	135.96	151.725	89.8415	101.512	77.4205	50.7194	63.9412	247.963	72.1658	65.9308	42.3387	74.5466	88.8868	62.2584	131.083	64.798	67.2221	100.955	117.279	65.4931	75.2306	53.8042	128.922	79.5412	91.0043	95.6511	128.173	89.4843	48.3719	45.7924	143.824	56.4906	0	52.4115	38.4649	78.7516	100.711	64.4831	74.7984	85.261	34.676	49.1083	46.1162	10.6788	67.601	146.745	145.318	46.5173	103.879	53.4591	47.7478	288.068	69.003	56.7285	81.8514	80.1686	178.705	107.141	172.308	166.923	79.8014	109.631	47.2368	98.3106	47.5433	96.7976	55.4749	165.573	125.971	105.691	98.0594	142.825	48.5532	77.3329	42.0867	64.715	57.2551	74.9027	16.0858	150.62	50.7224	114.589	153.694	64.4825	50.6858	31.1896	0	74.877	112.884	45.551	60.5189	79.7203	77.8728	115.263	132.909	73.7722	85.3268	78.146	73.8967	29.3545	61.774	196.382	79.0436	109.654	129.911	86.9321	51.2614	38.7458	29.776	25.9752	15.9845	191.183	71.4483	252.518	66.4735	61.2022	65.456	100.615	111.178	22.0749	69.4348	39.2952	61.8327	67.053	60.0213	79.4444	171.599	47.4908	28.3253
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0	21.0107	0	0	13.3941	0	0	0	11.3528	114.406	1.29487	51.691	0	0	0	0	0	2.67841	7.82494	0	124.405	0	6.56498	4.77555	17.8115	0	2.80955	0	2.32213	84.7526	0	4.79644	1.19213	0	102.43	39.2818	6.38001	0	19.1293	2.35433	29.0679	49.8378	3.0168	6.89059	6.62846	4.59389	9.21826	80.0414	7.26961	0	0	2.34829	0	0	37.8286	0	0	21.7597	13.2947	2.79555	1.41576	3.38905	28.1216	13.9194	16.3537	2.54097	35.5323	5.84093	0	7.54048	40.0682	0	0	3.57496	1.57649	4.70242	10.2443	3.21238	0	11.172	0	4.62018	0	0	4.64269	59.3339	57.4218	3.94657	17.4426	1.81895	0.469443	34.1958	10.9472	0	5.92597	2.95707	16.0783	0	52.418	44.2624	2.26444	19.9006	0	24.5701	3.26102	15.9991	4.77034	0	11.5832	0	0	41.715	3.62528	3.69724	1.59246	19.818	6.5639	12.718	0	39.2251	4.94019	10.1097	0	8.30284	0	0	0	0	22.691	1.47003	8.16907	7.1206	0	0	0	0	0	10.7319	0	0	0	24.5014	0	37.9732	7.07689	0	6.91311	0.813343	0	0	0	84.652	0	102.778	0	0	3.88927	0	15.0974	0	0	0	0	0	0	0	14.5289	0	2.31762
