medicine_CATEGORY	medicine_CURATED	n
ANALGESIC	CHLORZOXAZONE/DICLOFENAC/PARACETAMOL	1
ANALGESIC	PARACETAMOL	8
ANTACID	MAGNESIUM-CARBONATE/MAGNESIUM-TRISILLICATE/SODIUM-BICARBONATE	1
ANTACID	RANITIDINE	1
ANTI-DIARRHEAL	LOPERAMIDE	2
ANTI-EPILEPTIC	CARBAMAZEPINE	1
ANTI-HISTAMINE	CHLORPHENIRAMINE	1
ANTI-HYPERGLYCEMIC	GLIBENCLAMIDE	2
ANTI-HYPERGLYCEMIC	METFORMIN	6
ANTI-HYPERTENSIVE	AMILORIDE-HYDROCHLORIDE/HYDROCHLOROTHIAZIDE	2
ANTI-HYPERTENSIVE	AMLODIPINE	10
ANTI-HYPERTENSIVE	CARVEDILOL	1
ANTI-HYPERTENSIVE	DIGOXIN	2
ANTI-HYPERTENSIVE	ENALAPRIL	13
ANTI-HYPERTENSIVE	HYDROCHLOROTHIAZIDE	25
ANTI-PARKINSONIAN	PHENERINE	2
ANTI-PSYCHOTIC	HALOPERIDOL	2
ANTI-SPASMODIC	HYOSCINE-BUTYLBROMIDE	1
ANTIBIOTIC	AMOXICILLIN	5
ANTIBIOTIC	CEFIXIME	1
ANTIBIOTIC	CO-TRIMOXAZOLE	1
ANTIBIOTIC	METRONIDAZOLE	3
CORTICOSTEROID	PREDNISONE	1
DIURETIC	FUROSEMIDE	2
HORMONE	LEVOTHYROXINE	1
INSULIN	INSULIN	1
NSAID	ASPIRIN	13
NSAID	CELECOXIB	1
NSAID	DICLOFENAC	2
NSAID	INDOMETACIN	2
PROTON-PUMP-INHIBITOR	LANSOPRAZOLE	2
STATIN	SIMVASTATIN	2
SUPPLEMENT	CALCIUM	1
SUPPLEMENT	PYRIDOXINE	2
OTHER	GLUCOSAMINE-SULFATE	1
OTHER	POTASSIUM-CHLORIDE	1
