Sample	Raw reads	Deduplicated reads	Trimmed reads	Non-human reads	Human reads removed after de-duplication
bushbuckridge_1	23624288	21945102	17184264	7349786	14595316
bushbuckridge_2	18935770	18167392	14412594	6516122	11651270
bushbuckridge_3	25631666	24385938	19110660	7709338	16676600
bushbuckridge_4	21732264	20814778	16093378	7080092	13734686
bushbuckridge_5	18714588	18062956	13952362	6449556	11613400
bushbuckridge_6	16835430	16263382	12794234	6429966	9833416
bushbuckridge_7	18257284	17665474	13967064	6386956	11278518
bushbuckridge_8	23515872	22307458	17283488	7572176	14735282
bushbuckridge_9	17540586	16961054	13406702	6500116	10460938
bushbuckridge_10	11439076	11175220	8844928	4237826	6937394
bushbuckridge_11	20894408	20073812	15465626	7155996	12917816
bushbuckridge_12	22320918	21491026	16748350	7545188	13945838
bushbuckridge_13	22517868	21383156	16892622	7673558	13709598
bushbuckridge_14	21609916	20650994	16375824	7620666	13030328
bushbuckridge_15	22736448	21785954	16692198	8441994	13343960
bushbuckridge_16	21554404	20696798	16117596	7042554	13654244
bushbuckridge_17	16414962	15724324	12242776	7009822	8714502
bushbuckridge_18	24061608	23044780	18189998	8228628	14816152
bushbuckridge_19	50986310	44316386	36868388	31440674	12875712
bushbuckridge_20	48712858	42129374	36228970	19706878	22422496
bushbuckridge_21	31271856	27797422	23695632	15193008	12604414
bushbuckridge_22	30134056	26720708	22732476	11004666	15716042
bushbuckridge_23	42969464	37321452	30897462	16973336	20348116
bushbuckridge_24	29263384	25654390	22096102	14295692	11358698
bushbuckridge_25	41235690	36007666	30663158	17590584	18417082
bushbuckridge_26	34630386	30740786	26536604	17493852	13246934
bushbuckridge_27	42005276	36779066	31095736	15697780	21081286
bushbuckridge_28	41473364	36174944	30871992	18132058	18042886
bushbuckridge_29	42400580	36920552	31292218	16154162	20766390
bushbuckridge_30	40842080	35160088	30017036	17056986	18103102
bushbuckridge_31	41367156	35700302	30425718	16818480	18881822
bushbuckridge_32	40413588	35269422	30344362	17040348	18229074
bushbuckridge_33	38991938	34607472	29315974	16652454	17955018
bushbuckridge_34	38647354	33292026	28271106	15374732	17917294
bushbuckridge_35	45051640	38648460	33436368	17709118	20939342
bushbuckridge_36	41048430	35778486	30543876	17282206	18496280
bushbuckridge_37	37809384	32787858	28037852	14848774	17939084
bushbuckridge_38	31086484	26920234	23077634	13010752	13909482
bushbuckridge_39	37730462	33596896	28866398	17419186	16177710
bushbuckridge_40	33855028	29914434	25634544	14818698	15095736
bushbuckridge_41	29954530	27067218	23198984	15932292	11134926
bushbuckridge_42	36000100	31788720	27507972	14923906	16864814
bushbuckridge_43	38187478	33672910	28791130	16227394	17445516
bushbuckridge_44	37990242	33124882	28817972	16612094	16512788
bushbuckridge_45	33507414	29469786	25438908	14944616	14525170
bushbuckridge_46	39797998	33662168	28984580	15371552	18290616
bushbuckridge_47	38530280	33392542	28611276	15132456	18260086
bushbuckridge_48	41425448	36583810	31313344	18779254	17804556
bushbuckridge_49	44369230	38224890	32400890	16426918	21797972
bushbuckridge_50	37840690	32840646	28086602	16719832	16120814
bushbuckridge_51	44738682	38009520	32275516	17907842	20101678
bushbuckridge_52	49388788	42369756	35892232	19215090	23154666
bushbuckridge_53	38752418	33842842	28860296	15860140	17982702
bushbuckridge_54	28376374	24831902	21249346	12873834	11958068
bushbuckridge_55	34432234	30514258	26142300	17182906	13331352
bushbuckridge_56	51147130	42893170	35761996	19901422	22991748
bushbuckridge_57	41129126	35632884	30095742	16167130	19465754
bushbuckridge_58	46314082	40493868	33733200	18533966	21959902
bushbuckridge_59	37684282	33026212	28560266	18471994	14554218
bushbuckridge_60	35219670	31078234	26332376	16266390	14811844
bushbuckridge_61	37876326	33480142	28672642	16025438	17454704
bushbuckridge_62	38604150	33030564	28027436	15254458	17776106
bushbuckridge_63	39180288	34178152	29133604	17662120	16516032
bushbuckridge_64	39219354	34427916	29283318	15865670	18562246
bushbuckridge_65	45193232	38827508	32799070	17558838	21268670
bushbuckridge_66	46886558	40452334	33832160	29450344	11001990
bushbuckridge_67	33973966	29776042	25762892	15343702	14432340
bushbuckridge_68	45168702	38416796	32027052	15540952	22875844
bushbuckridge_69	25757164	22789074	19716706	11710850	11078224
bushbuckridge_70	30005792	26170248	22659056	12792676	13377572
bushbuckridge_71	31291218	27618182	23883436	14238840	13379342
bushbuckridge_72	37001430	31858580	27668622	8240510	23618070
bushbuckridge_73	40723040	36397052	32928546	17619788	18777264
bushbuckridge_74	30614532	27219952	23301830	12534552	14685400
bushbuckridge_75	43780136	37630372	32486922	18308132	19322240
bushbuckridge_76	38220382	33315224	28174994	15472686	17842538
bushbuckridge_77	50953274	42155822	34555250	25245866	16909956
bushbuckridge_78	43806982	37148688	31557328	16622570	20526118
bushbuckridge_79	42163924	36065856	30468684	16418052	19647804
bushbuckridge_80	52128264	43752720	37376616	20697748	23054972
bushbuckridge_81	49614944	42016244	35652398	19425336	22590908
bushbuckridge_82	55833056	45650698	37156656	18946496	26704202
bushbuckridge_83	44004240	37672066	32117722	17387678	20284388
bushbuckridge_84	41535896	34612948	29632468	15891224	18721724
bushbuckridge_85	38891804	34420438	29980312	18631024	15789414
bushbuckridge_86	45175446	39730174	34628222	19445384	20284790
bushbuckridge_87	76493774	53760334	47621722	29699174	24061160
bushbuckridge_88	99994544	67125692	59264626	33337786	33787906
bushbuckridge_89	69739926	49632456	44390122	28511074	21121382
bushbuckridge_90	79440470	55779072	49560686	31334214	24444858
bushbuckridge_91	87883384	57828954	50487768	29982742	27846212
bushbuckridge_92	88402752	60320352	52884356	32209090	28111262
bushbuckridge_93	66074676	45541466	40284720	24055966	21485500
bushbuckridge_94	82582778	56462802	49608850	30649038	25813764
bushbuckridge_95	37630122	25493340	21544098	11630568	13862772
bushbuckridge_96	41914638	29313642	24789286	15337948	13975694
bushbuckridge_97	34778914	24987594	22309362	14993902	9993692
bushbuckridge_98	88407652	58474662	49089254	26839234	31635428
bushbuckridge_99	37724642	27023194	23900674	15257716	11765478
bushbuckridge_100	44957576	32719800	27996232	16174046	16545754
bushbuckridge_101	37546290	27519340	24407304	14802884	12716456
bushbuckridge_102	34822548	25753146	22562158	14298792	11454354
bushbuckridge_103	33804850	24666020	22149364	13930880	10735140
bushbuckridge_104	37667724	27593652	24207062	14879128	12714524
bushbuckridge_105	38159410	27924620	24618514	15258072	12666548
bushbuckridge_106	36968914	27442080	24237022	16407158	11034922
bushbuckridge_107	33974590	24968462	22244434	13727262	11241200
bushbuckridge_108	43227228	30712492	27032420	17010278	13702214
bushbuckridge_109	73545982	51821464	45320794	29531792	22289672
bushbuckridge_110	43161638	30071328	26579728	15757404	14313924
bushbuckridge_111	46933938	32799976	27595122	23073092	9726884
bushbuckridge_112	38557968	28027596	24755566	14663782	13363814
bushbuckridge_113	40526982	29416290	25678842	15568916	13847374
bushbuckridge_114	74587374	52900542	46889876	33015634	19884908
bushbuckridge_115	83262226	55434706	48938628	28003042	27431664
bushbuckridge_116	73079616	48673508	43393090	25912022	22761486
bushbuckridge_117	79403444	53679788	46711296	28191162	25488626
bushbuckridge_118	89756470	61328380	53326090	32124610	29203770
soweto_1	17893726	16971232	13527506	6687152	10284080
soweto_2	20405516	19695092	15735416	7844370	11850722
soweto_3	27768066	25808946	20388448	8302930	17506016
soweto_4	21192094	20344370	16201264	8780016	11564354
soweto_5	21215146	20433280	16029444	7742962	12690318
soweto_6	21795374	20400908	15755684	7162046	13238862
soweto_7	22895200	21528186	17131810	7631026	13897160
soweto_8	21237590	20227246	15863474	7222806	13004440
soweto_9	33841450	28960796	22560430	5332744	23628052
soweto_10	24490574	23548422	18420364	15680220	7868202
soweto_11	17899492	16576168	13515138	6191312	10384856
soweto_12	25946990	24860548	19018438	8209750	16650798
soweto_13	22339834	21078284	16043992	7625656	13452628
soweto_14	19071574	18212460	13898740	6328400	11884060
soweto_15	22699338	21672836	16803576	7283502	14389334
soweto_16	18352956	17671580	13585448	6596678	11074902
soweto_17	18826584	18018070	13910444	6787088	11230982
soweto_18	20127596	19382738	15080924	6955642	12427096
soweto_19	18049726	17454550	13659580	6207216	11247334
soweto_20	23820888	22659800	17369266	8624008	14035792
soweto_21	20265532	19487364	15372648	6930630	12556734
soweto_22	13035940	12703820	10062528	5268136	7435684
soweto_23	16610102	15944686	12670982	5915228	10029458
soweto_24	15138046	14702224	11688286	5711896	8990328
soweto_25	19597124	18918088	14919496	7298878	11619210
soweto_26	22907986	21935960	17368022	9103450	12832510
soweto_27	20474886	19702434	15899664	7511018	12191416
soweto_28	21532062	20452512	16161958	6933424	13519088
soweto_29	21012048	20072180	15768030	6782512	13289668
soweto_30	19608880	18496216	14877708	6677430	11818786
soweto_31	20277748	19401462	15115910	11214428	8187034
soweto_32	16832478	16179344	12419632	5752752	10426592
soweto_33	19424606	18447132	14053916	7707038	10740094
soweto_34	21064600	19876618	15466506	6956128	12920490
soweto_35	17699094	16951044	13065256	6206712	10744332
soweto_36	26655658	24971102	18929126	8867220	16103882
soweto_37	25965344	24582318	18721544	8155650	16426668
soweto_38	23966290	22647644	17924384	8468000	14179644
soweto_39	27484214	26052136	19298300	9131094	16921042
soweto_40	26488712	25299834	19313518	8859368	16440466
soweto_41	14543976	14063734	10922220	5334942	8728792
soweto_42	24372232	22952818	18236970	14208946	8743872
soweto_43	19173722	18395580	14489218	6295000	12100580
soweto_44	17573082	16961536	13365786	6760882	10200654
soweto_45	23056020	22033094	16990070	7746944	14286150
soweto_46	25767778	24343786	18942744	8785264	15558522
soweto_47	19144494	18417058	14245044	7167760	11249298
soweto_48	21480358	20688846	16255178	8059160	12629686
soweto_49	19142248	18125410	14369150	6763706	11361704
soweto_50	20711394	19821552	15725864	7655828	12165724
soweto_51	48109350	41392964	35146668	21589362	19803602
