sample	host_removed_reads_linecount
TZ_47979	22324356
TZ_93321	39263064
TZ_67706	21629224
TZ_21460	11646980
TZ_41014	31407596
TZ_10742	26095404
TZ_73414	42072284
TZ_83893	26564364
TZ_65172	49362720
TZ_65642	63483084
TZ_90808	34965884
TZ_16581	8761672
TZ_24827	15462660
TZ_70090	9572492
TZ_86768	14789568
TZ_37609	14050424
TZ_39227	10797180
TZ_81781	10838064
TZ_42864	9660260
TZ_29321	9698708
TZ_87532	13666216
TZ_76219	11007704
TZ_83985	9503404
TZ_25806	7866960
TZ_83788	17067444
TZ_38244	8140540
TZ_43638	13613924
TZ_99300	12618572
TZ_42041	16278228
TZ_86771	13672312
TZ_60579	15380744
TZ_83627	14735316
TZ_91827	9466364
TZ_40311	7682772
TZ_39371	11718092
TZ_21618	12659552
TZ_14139	11317732
TZ_12739	11549492
TZ_61717	13431780
TZ_27689	20270344
