CAW0D	CAWOD
CAX0E	CAX0E
CBY0H	CBY0H
CBZ0I	CBZOI
CCJ0V	CCJOV
CCP0B	CCPOB
CDK0Y	CDKOY
CFI0B	CFI0B
CFV0M	CFVOM
CHP0L	CHPOL
CKQ0T	CKQOT
CKX0B	CKXOB
CLN0T	CLNOT
CMM0V	CMMOV
CQM0C	CQMOC
CRC0S	CRCOS
CRX0N	CRXON
CSK0E	CSK0E
CVQ0N	CVQON
CWI0I	CWIOI
CWQ0Q	CWQ0Q
CXC0E	CXCOE
DBG0S	DBGOS
DBT0G	DBT0G
DCG0V	DCGOV
DDP0G	DDPOG
DDW0M	DDWOM
DDZ0Q	DDZ0Q
DER0K	DEROK
DGE0C	DGEOC
DGV0S	DGV05
DHH0H	DHHOH
1186710	CAC0I
1398468	DGB0Y
1499095	CIJ0I
1554354	CVW0T
1597674	CBP0Y
1625090	CEX0M
1646098	CBH0Q
1930043	DSE0B
2031518	CBX0G
2123689	DIN0Q
2146745	CGA0T
2266332	CXX0A
2554637	CEA0P
3379474	DJQ0V
3480141	CYY0D
3602219	CCS0E
3663723	DHA0A
3823345	CQV0J
3924929	DSI0F
3956441	CXP0R
4042204	DKJ0Q
4152135	CGQ0K
4233802	CGS0M
4858889	CHV0R
4971044	DIQ0S
MB17102	AB2228
MB17095	AB0298
MB17049	AB0810
MB17054	AB0234
MB17053	AB0499
MB17094	AB2890
MB17103	AB2182
MB17004	AB2673
MB17005	AB0061
MB17006	AB2685
MB17007	AB0007
MB17050	AB0125
MB17013	AB2021
MB17014	AB2002
MB17011	AB2381
MB17018	AB0170
MB17036	AB2907
MB17034	AB0202
MB17030	AB2339
MB17039	AB2379
MB17041	AB0985
MB17040	AB2573
MB17044	AB0173
MB17047	AB2099
MB17101	AB0683
MB17055	AB0461
MB17062	AB0321
MB17064	AB0625
MB17076	AB2854
MB17067	AB2277
MB17089	AB0337
MB17073	AB2265
MB17074	AB2999
MB17072	AB2587
MB17058	AB0225
MB17075	AB2178
MB17033	AB0551
MB17024	AB0571
MB17025	AB0715
MB17026	AB0697
MB17021	AB0425
MB17027	AB2288
MB17084	AB2620
MB17016	AB0124
MB17029	AB0607
MB17078	AB2976
MB17068	AB2270
MB17080	AB0237
MB17079	AB2035
MB17048	AB0135
MB17061	AB0418
MB17086	AB0679
MB17096	AB0812
MB17019	AB0619
MB17022	AB0977
MB17099	AB0858
MB17100	AB0430
MB17065	AB2773
MB17066	AB2261
MB17069	AB0651
MB17015	AB0130
MB17081	AB0325
MB17077	AB0767
MB17043	AB2310
MB17046	AB0148
MB17020	AB0543
MB17035	AB0201
MB17009	AB0041
MB17051	AB2106
MB17087	AB0667
MB17091	AB2364
MB17104	AB2257
MB17071	AB2867
MB17012	AB0991
MB17059	AB2144
MB17037	AB0740
MB17093	AB0405
MB17042	AB0424
MB17017	AB2525
MB17031	AB0549
MB17052	AB2368
MB17088	AB2362
MB17028	AB2822
MB17097	AB0819
MB17010	AB0149
MB17057	AB0084
MB17106	AB2143
MB17082	AB0791
MB17032	AB0523
MB17003	AB0057
MB17045	AB0586
MB17070	AB2658
MB17092	AB2736
MB17056	AB0289
MB17038	AB2677
MB17083	AB2599
MB17023	AB0416
MB17098	AB2803
MB17105	AB0095
MB17063	AB2700
MB17085	AB0940
KDRZJ	AB0278
JXTVM	AB0126
JLNGC	AB0945
CQGFO	AB0743
BZEHG	AB2444
HPRXQ	AB2336
EDFHQ	AB0144
FQOSV	AB0561
FRGPC	AB0217
BKHRQ	AB1491
BQNHZ	AB0205
CCLEW	AB0636
CTBOZ	AB2751
DFEZM	AB0215
DGXFV	AB0381
DKWHW	AB2539
DZPJR	AB0566
DZWHL	AB0584
ELHZE	AB0257
EZWQX	AB0548
GWBHF	AB0224
HDWHX	AB0058
HEJHE	AB0414
HGRSG	AB0269
HVFJZ	AB0228
JJNSF	AB0676
JQKFV	AB2876
JRWPH	AB0193
KLHYD	AB0562
HFZEJ	AB0808
CBSNC	AB0956
CLLYS	AB0662
EKZCV	AB0949
