A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A3	A30	A31	A32	A33	A34	A35	A36	A37	A38	A39	A4	A40	A41	A42	A43	A44	A45	A46	A47	A48	A49	A5	A50	A51	A52	A53	A54	A55	A56	A57	A58	A59	A6	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A7	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A8	A9	B1	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B2	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B3	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B4	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B5	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B6	B60	B61	B62	B63	B64	B65	B66	B67	B68	B69	B7	B70	B71	B72	B73	B74	B75	B76	B77	B78	B79	B8	B9	C1	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C2	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C3	C30	C31	C32	C33	C4	C5	C6	C7	C8	C9
Bacteroidia	2022965	1425034	3233094	1781481	750603	1204233	2043475	2574644	2157446	9898	1075915	2053918	2406988	1902843	2757759	1892676	1509414	1833801	625280	1317208	1222225	545455	2120289	816222	2181144	377036	1162757	949692	494558	2844941	1998450	2400537	2355730	2397975	1733492	2506594	1182612	1485287	1773897	1608328	1270138	840301	2712506	1864146	1876564	951915	1321791	3805455	1460651	1114293	1650488	2230954	1058355	938403	1459932	1361438	1118108	1861506	1588580	632044	696068	2229610	824185	918606	383099	554500	1755995	416262	659248	2200991	1178415	2328214	882664	1290215	1013538	360304	1298313	1264740	1252936	3148197	5656881	1991229	2879238	1817075	916448	2941273	1858089	1562479	1505393	3282240	2816528	3989085	917309	3434062	3344306	412559	3173418	4087923	2335161	2071037	3073633	1571363	2760268	2750385	1976732	2737771	2330718	1540267	4018944	2859080	1304861	1287159	1470279	3159068	2767103	1466890	2650920	2579872	651674	788248	1834614	3446585	1478456	2100186	1247196	1647110	1710081	2373553	1655667	3927778	2872746	2491012	2891265	3057003	3233753	2558838	3246418	2689770	1995537	1157491	2156435	2414860	2392805	3152764	3190147	4552015	3057230	496910	1530081	590128	1566004	3877883	848145	3841084	3639424	1900617	2983657	5500846	3438173	6420683	6125599	3849145	3296105	5367793	3614212	3445742	2553688	1552881	2268708	2900680	2618675	1307052	1851846	1811779	3199572	2239521	2284963	1154288	3148316	1278780	2756862	3151115	2084762	2636327	2071927	1452729	6528568	6215027	5203164	3542122	2346595
Clostridia	563059	931248	344689	623488	1718823	1257572	867035	391313	418006	191548	2771116	206514	52944	1094771	357363	322601	910189	519265	1322923	1162221	1353654	1199944	808642	1358289	815398	799220	958304	899472	1447061	814525	903505	592678	540079	254145	1237963	850743	800220	1120227	446152	722082	1357525	1893690	299106	1535017	403738	1735727	646421	842523	883674	531524	710348	944000	1215470	1427584	756791	1221633	877764	534572	490072	1355601	1476554	589004	1434765	989992	1557812	648744	1125569	1792837	1669781	541506	1756042	496478	1230493	1272291	1202851	823407	1318624	1189281	1753723	4531269	1568084	1797544	697718	2345070	2467248	2909345	2065655	2403481	3657011	2073250	2391309	797650	3943224	2034017	1446555	1044670	1425010	1216108	2395217	1950285	1070837	1278673	3520018	1919193	3401352	1785818	3583701	2558133	2079072	2747064	106712	706662	3918102	1215268	2441690	1899504	3158526	2293689	1866226	2863884	2507400	1634931	3631131	2073386	2180734	2146182	1222335	2986947	3242398	972542	2592695	2126657	2288996	4362941	1816488	1508107	1921502	1934976	1714485	1804151	840790	1205136	387807	2054966	877686	341202	1634725	2118671	1030412	1268802	3905506	1976699	1970379	878693	486986	2559549	2794097	681809	4376616	2001920	2307128	4751163	3373912	1971270	2609864	4413687	1439093	1275372	2258438	5863021	1919481	2742398	2588766	2203857	888620	3299207	1572792	1877640	1163432	3004223	5059979	1032959	2790256	1558634	2290260	4854762	419822	783581	3255371	5864385	6478845
Gammaproteobacteria	46632	204162	41559	114701	28038	57964	49363	53824	68819	14874	38719	122437	162351	43825	67943	18291	35205	338669	46649	18204	21427	263283	7161	227182	7648	19391	41617	202526	11393	191549	107936	8124	34230	52097	27762	44532	28233	12375	704410	17046	694768	16760	51599	39693	86514	281330	30233	53052	54109	96111	194509	44272	17896	51141	312674	114917	295485	429474	114976	83864	26635	37302	14083	29083	38765	268389	90572	63798	374614	50315	11678	68824	21008	158939	243786	49183	36871	6119	17501	1712617	74908	1191258	156202	281700	179245	716986	1135388	688437	140916	80421	84921	953600	43202	41857	487190	10285	500643	729586	628420	544870	53126	491694	179994	56764	491523	659930	41453	84347	70824	90956	25279	82957	763148	607045	193804	24892	72441	64531	129062	299643	94884	86654	649666	146080	67213	889132	236569	83854	359704	73872	282724	588357	709953	821301	82682	34062	253236	84073	134426	442819	752332	764942	58350	413948	104366	369951	329396	1742663	131409	161953	949633	82228	327706	604926	71992	63762	188885	1111326	1034890	520804	451822	506946	612340	2850752	757197	114361	154903	857156	421502	55378	444291	438726	185622	284221	275957	195312	261429	165840	180830	48638	129252	262747	752178	475132	87437	89556	872606	527688	564432	94638	319547
Negativicutes	3977	4549	36544	69776	21842	56401	34957	7349	2081	1684	43525	1692	15563	9889	4465	4815	4153	41976	6273	22201	10778	2799	22292	27589	5969	11843	46009	18739	28788	4473	2269	40449	26540	32767	6590	6894	6635	5732	31233	2815	64589	73754	51341	15568	26101	11537	19630	75661	33315	20095	56338	39710	49421	21131	14782	33228	14990	29110	38059	25764	10739	5358	10765	6528	10793	6520	45920	60904	118846	42254	36005	49960	13660	21717	75391	11764	92226	44157	6102	135467	4980	119669	28416	25477	34366	36602	169415	32552	35590	24478	95667	46695	9724	14542	17593	4221	16052	8030	11981	22399	23215	10256	116907	19610	6401	4191	47802	40847	206783	45837	11431	11125	31162	79079	20294	7077	73518	14309	16184	83426	157903	103592	24717	140537	21459	6695	52411	17151	32508	25648	125366	45914	18834	423474	10555	161010	72464	24976	30427	15375	2848	15993	48145	34770	14622	41075	87472	618517	13050	71528	319947	14926	16758	9378	2140	18419	48513	167177	65253	163426	191787	74858	33481	55008	183379	25280	64119	61675	153394	306909	10789	41757	173731	21126	22413	50922	18257	17593	47651	29575	70423	17485	379326	101800	13981	247514	50594	40748	37699	102458	45338
Actinobacteria	2360	9110	12083	36095	16628	19718	44954	1437	3886	20288	34147	5452	2080	14435	6508	2235	4555	9184	11526	12620	17233	13061	3202	65916	36992	32383	30992	29595	262889	5593	7792	4293	9358	2035	15259	11938	16893	27539	2744	9369	189522	12346	1858	23155	3138	15553	16250	17066	18982	41811	20964	27742	144902	16049	30345	7896	15558	77355	20352	11578	10407	3444	8201	15320	16839	11794	97474	12786	10012	21489	7909	7506	35802	24177	8924	27518	121678	4677	10386	66375	183601	155543	11126	55041	65230	31328	103008	41802	86382	41472	96608	27417	49795	25348	26404	31471	35359	6577	23567	37634	149576	3916	24944	33841	54052	25422	19812	81730	9253	23825	2084	3752	40743	36411	62446	14487	46253	51812	36571	60837	87220	74506	43977	51571	57670	11289	8006	18170	34394	59324	33395	51965	47825	229763	10294	11349	10770	55769	42788	26009	27980	84745	10419	21444	31263	10300	155530	59617	9246	32503	42566	22308	31168	18491	3771	256695	68647	3893	46931	26295	22781	47808	116543	11419	48042	210690	8649	205314	23237	73777	93127	55762	26287	48276	14474	32441	71844	118085	9048	118377	71624	7970	98665	45083	79545	126432	10356	10554	68845	45900	92378
Betaproteobacteria	16697	3085	244	41641	15715	22900	9668	36249	1643	3489	17173	6644	16162	16676	20184	22448	20304	19629	12359	7503	12788	9377	7203	12615	27807	10712	3749	7406	7080	1191	22375	42665	28370	23345	8802	10140	7076	37270	33663	15493	17808	16785	57453	13615	13257	19109	19568	42624	14809	7881	12294	25272	6454	16331	26287	31407	12446	18304	11884	20776	7311	45471	25026	6000	6641	17765	22019	32103	7103	8836	14905	14700	13876	7897	8903	13994	9259	1678	23737	43080	86902	19039	19348	25678	29317	154417	33454	44190	55730	17484	30360	41126	23555	75501	46364	21201	55020	38636	47585	46772	13448	30495	58404	61530	66124	36252	85880	27581	76257	19326	5462	11409	50008	58851	52650	8890	47950	28639	31718	52825	21610	48923	45068	36010	62231	26240	62245	54628	35106	39719	73939	57306	73389	79506	90763	44485	42683	65715	19939	23805	46349	21132	5264	52833	9038	57710	19938	27266	35215	19689	52802	31602	33728	90947	29542	42261	59733	20001	95143	93059	68847	63127	49120	111099	148574	68169	39701	33475	100320	42887	60013	43320	32102	33361	44018	34423	84619	48768	57096	60464	57509	60474	22658	85861	46284	82150	85963	49703	73650	65037	70530
Bacilli	60173	14627	4921	12594	54270	18632	11581	7612	30480	350585	43766	2468	16424	16231	39756	12662	17249	16147	13135	11275	128253	12648	11676	16783	19435	12783	139837	7605	19595	6678	12437	24578	15843	14338	14892	14103	13267	10119	27909	16734	68720	20897	8027	20669	9202	15721	7446	15409	268966	32801	79665	13911	18416	30869	14240	16700	15818	6460	44782	20974	14434	16213	34835	19362	13503	13268	10878	21870	32796	47401	18899	57937	13548	22012	10024	16289	23705	21696	29164	51109	6467	13654	15645	43757	23657	34300	21189	26137	39378	46092	23388	13949	51605	25025	144634	8817	20686	15087	34161	36891	49000	12852	78559	26216	11451	14619	26342	31293	18614	17057	9432	5427	29785	25020	19036	17552	26790	20541	39670	32217	133369	20440	34509	36189	35185	11908	17031	19748	29003	22552	14536	27718	67623	36280	42693	36411	15633	45741	46506	67676	16216	69881	6506	42197	8039	29566	20069	297352	9667	19306	32572	27537	23393	18981	4956	44637	24174	37677	73711	146698	19148	49453	85841	23305	38041	64620	18176	16925	29560	118639	32901	31430	17942	34887	31176	12316	29529	36576	18228	41445	67119	14658	49446	117550	57694	84038	19009	26203	39097	43929	67385
Verrucomicrobiae	6752	267	8645	412	61061	80627	18613	0	906	207	1520	0	0	13490	13175	284	464	42903	662	7279	1459	3233	3177	646	32732	828	599	20148	79816	4611	61001	19552	88260	937	203123	211	232	2784	588	634	134148	13612	1140	3393	263	25580	598	2157	7897	555	245	339	505	14726	5225	66834	286	253	1258	13252	27248	10960	38508	840	37589	69653	861	11249	29951	727	15392	277	830	346	117276	127118	892	2112	8895	4205	718	1014	542	160779	174024	52376	1196	8305	1530	2859	774	3234	1708	13907	1364	1826	956	876	876	39353	554	8211	77195	8787	164987	1675	24731	15745	1041	45119	0	3646	51929	728	59517	9694	3570	486	67950	177110	1524	1294	1872	107891	63784	1884	3999	38053	5917	351	6715	2450	2156	181304	14374	4621	33094	2808	27162	6078	1686	20012	429	1113	409	1954	498	189820	932	639	79930	967	590	610	247	2936	73054	358342	2849	265672	6172	935	86919	2336	1655	94389	837	2877	1947	15174	632	14828	631	800	1496	23107	813	68885	521	1331	259195	785	59876	11124	8836	574749	796	821	902	197237	53674
Erysipelotrichia	3347	19403	1854	7860	14330	16777	5311	2994	1810	17078	58106	3448	249	11831	3146	4601	34897	7068	20958	5034	13038	12301	7740	25411	10863	13796	9914	49907	93592	4246	11341	9718	3682	3924	11018	14909	6879	9808	1666	3798	55756	58900	2113	20309	4046	38274	9744	20277	7866	10316	9867	31662	14197	18813	8683	6738	23659	9784	15306	13672	22443	4267	8209	14813	9841	8517	38699	23438	16854	4773	6926	3234	29488	24327	7453	12253	23273	23226	7603	28822	4232	10245	8214	28628	46772	37376	16680	33014	118407	27971	22142	6453	63596	42891	13688	9062	19651	5417	18050	25964	11921	3599	18982	41790	11329	21695	18469	42035	5910	18523	1716	1984	30428	24035	50540	20439	69548	13621	25584	36742	44722	9273	83883	17404	157124	87868	8991	14834	57983	29567	10393	18000	19472	53620	61950	10990	51791	38165	38938	19982	6696	18906	10537	41840	22372	8955	154178	79955	24011	25817	41605	21371	37230	13053	4543	68586	32490	26813	83128	15212	45361	20795	42840	3494	29738	40123	13199	41329	12394	101414	36753	41839	18459	55428	8504	12714	30251	17582	12059	85935	118616	10658	35180	9383	22164	74098	12037	8677	25402	55960	92719
Deltaproteobacteria	1607	3649	4623	6647	16286	49173	10831	429	960	2644	24552	975	5215	14236	27582	8943	20485	31583	37041	3547	12640	8569	13831	20140	4037	8199	3809	22796	15749	16305	42228	4853	20481	1761	18669	3657	2772	19007	3607	12452	18870	18330	24633	62691	28902	15732	10750	38187	556	8695	7001	7911	30773	10562	7615	7305	5222	4436	6953	15616	23495	7114	6505	8447	11442	1424	11528	11758	2750	1547	5714	2597	10210	16592	11181	7542	7054	3265	23747	28186	23267	20861	7050	37075	42033	16959	35173	21548	31516	35548	40507	33945	8792	18593	17658	8239	34610	7530	12086	37555	2789	23963	5515	31332	6151	32532	23131	11751	12182	30967	1588	4434	37086	12096	33341	14478	26280	2932	21353	59833	22917	11009	31972	52908	54841	57264	12952	31673	47207	7753	36249	16604	15992	37859	23755	46070	12427	13717	9386	10189	17962	10104	2517	42414	12823	13111	13060	53058	20099	14428	27356	6132	27423	11346	677	32082	40186	32484	96935	19207	30016	29880	37213	73731	26061	35701	10025	31885	32980	209591	23873	55555	14983	8831	7805	10882	20121	28171	8464	30756	101277	8216	57696	19179	17940	113962	5381	7845	37764	89186	91774
