A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A3	A30	A31	A32	A33	A34	A35	A36	A37	A38	A39	A4	A40	A41	A42	A43	A44	A45	A46	A47	A48	A49	A5	A50	A51	A52	A53	A54	A55	A56	A57	A58	A59	A6	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A7	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A8	A9	B1	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B2	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B3	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B4	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B5	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B6	B60	B61	B62	B63	B64	B65	B66	B67	B68	B69	B7	B70	B71	B72	B73	B74	B75	B76	B77	B78	B79	B8	B9	C1	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C2	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C3	C30	C31	C32	C33	C4	C5	C6	C7	C8	C9
Prevotella	1830246	980493	3404	1618226	235384	62861	3880	2400267	1940970	2963	481801	1632731	2266004	1628892	4204	1621711	1070631	382358	210321	571149	54409	281310	3899	382561	2439	161535	967057	55363	104966	241494	4525	1822	4685	2257372	2617	2029524	985244	3093	1281163	824738	2853	47943	2121235	38375	1064045	298265	670354	2163983	10620	864759	1427099	1931650	17028	524703	1253862	4883	925878	1691943	1403298	420236	155036	27068	3519	365836	79002	31881	999806	161136	143406	2049668	72191	2207670	175041	1069642	544180	15820	1128458	2605	3367	1588033	21848	1685156	2642350	883375	264895	12833	1445870	893119	193503	2821005	1688671	3158248	62600	2235805	2541400	168749	2908507	3670141	2091680	1529341	2859855	372578	17294	1483382	14682	2149934	346947	744653	7697	57193	1161702	3343	1060840	2873904	2074016	1182491	1476268	2342460	198245	100465	697810	2629022	102040	881856	259684	192231	1302511	1218268	25966	3735044	2073759	1859601	2243179	949069	1249675	129745	1085877	2113083	1468610	930729	1963473	2117203	2278715	2440063	2999729	4345060	2372452	119466	1274194	273057	588758	3456482	494468	3554220	3159570	413026	2210946	223252	1075307	5569867	4889410	3361206	2182159	33791	3070966	2457722	2166442	407907	1488148	266722	2291318	394459	1231992	1024172	2884197	424777	1633503	509097	2834134	601986	474107	2642420	1083954	2072595	1355503	166380	6214580	5894144	4525230	1484131	241704
Bacteroides	101645	153815	3038650	90212	419164	675653	1435490	126214	139320	1913	162440	335991	100108	141414	1518279	213851	196096	1115575	253880	368223	897356	172054	1616984	172771	1819684	47045	99259	547353	135333	1218847	1496677	2115318	2018782	98347	489431	220988	64367	394690	429629	558903	942826	604747	406742	1267826	507682	446175	535230	1162941	1088668	57788	128312	227414	725841	132791	130585	983194	60480	99970	76345	123361	256045	1889071	564865	359327	245158	486733	386101	185736	381912	93274	673687	88811	151552	96964	231266	207810	90396	1076938	706821	1345582	4668098	98800	176244	455282	167557	2267412	89748	492262	809359	259370	523214	521386	237582	653953	338684	143872	163512	290695	123703	371727	108372	974002	2113382	874749	1071077	401320	1303906	469788	3270530	2194540	98622	1188305	150482	146082	164161	149224	383993	144843	102070	237757	268488	466307	637621	447057	389366	887636	271512	575634	1247120	113095	569561	418874	402097	1547564	1341936	2014200	1780246	384468	320817	142175	86888	158973	64352	424269	124052	106966	536270	302659	92719	120594	391305	164139	192346	186057	317259	508059	184748	4343064	1180309	534867	745137	196667	367821	4212158	185140	641928	246959	629996	497118	955006	130248	440416	323003	254813	213457	1015061	160975	126364	182511	238459	1259346	313123	566410	166417	283934	337250	210488	188220	211900	1020151	1303483
Faecalibacterium	384258	441238	57929	336541	686391	120565	466201	222197	143259	3797	185642	92092	19407	399487	39154	73594	495006	39401	35741	406381	229939	511204	207814	40235	285064	33270	657812	83955	507660	448431	55836	143297	101784	109447	64457	204326	406194	145161	129496	369982	878513	93818	53826	186517	67846	137988	404959	239865	276738	24000	110379	177225	40116	645029	384442	91446	243891	269410	143988	315896	144249	438064	394953	131468	528175	41348	699414	343168	704591	205913	660437	320051	53503	232555	411732	25148	378651	587790	855411	1667272	844399	601507	355968	193031	71127	902209	833300	677081	530210	113291	287264	400510	182728	383417	163557	367834	625539	396813	730687	565420	187795	832677	557784	448137	1871397	548515	1078719	337795	1130748	1309413	30595	324800	892901	91769	819997	588252	737561	335642	170159	318719	104935	586131	249773	281681	237770	796093	393958	1020995	115406	400185	1316880	851369	889743	1364031	528241	387465	211439	792398	143821	288858	328509	433912	147000	330923	378474	120766	199596	169640	102835	129965	1294793	265715	94658	95659	61625	79673	937359	107131	179157	455651	1153859	1680877	1031949	1587655	740652	1225562	277909	212417	862232	1770268	627873	677552	917702	552287	434828	1250873	193281	128299	397214	265239	1573240	472708	722259	557872	259888	1566730	196932	282592	1673533	1142917	457587
Clostridium	32277	32808	13712	55711	160364	199432	64564	57737	48870	25967	380562	13518	11986	84431	41273	42431	84129	79510	65582	170559	159155	73887	90393	123398	37099	65950	39025	93800	198291	70718	187311	64590	33726	61372	105595	53648	63806	62292	74208	40625	100813	327154	84378	50159	54740	246404	30337	155658	156157	16283	48454	34796	45268	105810	42315	133905	50083	38062	69334	180817	264491	12165	175878	44991	204204	94569	77928	246014	169691	33797	64726	34587	121507	102377	77051	28593	206375	79450	271449	654733	249447	53020	35545	235865	383683	319061	100689	147294	269461	246794	409439	82869	166241	210246	145972	61650	109386	183189	143260	186251	57859	145407	637983	270344	321260	272385	338531	326850	136717	191349	11951	161786	391604	95604	262031	150903	331389	184593	92796	217855	144445	227914	294063	210844	148133	201446	186173	300607	396396	98273	269139	224549	217566	155565	373902	255485	310326	177782	185705	188725	72258	84806	44255	211111	107433	39113	88986	514412	47715	110804	485754	164101	136319	139329	30949	133671	310488	71017	249052	487863	86583	343901	201727	6058	204371	424044	140971	104733	144327	374950	81128	273221	249058	83644	119932	381028	92991	162448	79312	243523	186848	85003	483297	110532	201224	172009	33487	62474	193188	775810	872681
Oscillibacter	14312	120300	11937	49648	133489	110172	65896	6438	27046	721	256922	11669	4541	89709	85688	20071	64683	53812	272155	63804	117381	69759	28541	294669	26944	115162	23628	87988	66057	27545	123255	28215	93672	7748	107790	80734	46152	68197	21596	72653	19014	129533	21000	225159	71581	196793	25378	99132	14469	65631	101218	66610	178196	138819	53117	27699	42654	48819	48752	138626	152872	14816	62522	114633	208911	56115	43691	135941	137978	37247	47702	12286	268093	140744	64388	102045	95547	41149	74863	297388	26944	172476	77739	283951	400242	99738	295712	266349	344313	205150	238365	103529	443072	95490	81018	62840	137224	34487	327024	177727	58832	16240	264432	208301	265392	107104	158079	140682	15777	169201	4970	36583	268782	181575	299064	223179	271430	148698	224793	340482	374958	205795	514374	180060	216392	87861	80628	296530	364065	68399	223089	140040	164065	255261	103402	87273	152726	117943	213964	127418	96491	104539	22677	162313	61128	23324	167654	86049	94467	132451	462552	125783	494672	96400	43033	468215	355685	31999	963453	105435	280262	216282	325506	754	300042	374326	60206	138451	205245	681356	191834	296702	194415	328733	31644	190129	220599	217792	62433	340341	494809	45465	175954	128177	246997	708664	9631	31016	169584	345943	676021
Ruminococcus	6546	39596	19031	21055	61297	106505	46077	8720	26499	20200	84481	5385	1016	24551	61585	83617	21665	29018	108163	30130	377583	45879	63025	34218	275188	37550	55893	47332	178569	45219	122642	131238	32736	17437	140231	43146	20036	38471	6254	19400	81306	203989	3731	211633	70632	181859	9485	17474	149857	15372	51467	17693	88404	53848	46028	77882	255068	23939	31343	82693	96311	27974	77536	65308	100099	74755	62667	336537	138448	71250	75925	8411	72670	56997	298594	56479	297767	34686	29586	204598	217806	521018	13160	150739	231936	398407	107189	355488	202566	170032	471510	17260	186605	507517	219150	236267	116280	71720	103950	237150	291248	13768	1003959	408486	123442	64400	80012	175397	84763	173525	17542	8879	1005528	86120	153202	74788	719861	186691	114499	166724	263496	91173	323006	207305	115303	374280	22564	150400	308691	91527	104742	121695	129695	363768	260578	101156	84116	170769	135448	468841	29496	89810	11180	270329	32128	18034	92543	146322	67713	73769	253127	401250	84332	51197	26804	125269	170374	16653	162064	89695	79305	340427	222936	6068	112865	376190	216538	278072	99002	344499	210570	233138	262389	166821	33368	93711	97708	101572	37709	141627	326411	31039	152275	89515	188571	335900	32319	28232	98573	1425692	330907
Alistipes	33017	123738	170841	8537	26470	191614	235113	10678	19311	618	134848	36274	12622	48753	1089405	18030	96405	111549	71199	217499	122205	41341	278849	155022	222375	47163	28133	263315	93773	1125208	330821	117204	255968	13817	1003366	79653	38935	995882	21392	70820	222821	63555	18008	356499	138255	54599	51136	242304	49066	79862	26064	12734	139390	88813	21724	207983	37129	7267	33320	22206	68780	149335	129333	104176	17660	14254	201931	25827	54669	10938	105031	12370	184130	28365	163331	32207	7752	87270	269262	20488	295176	46384	13998	139206	314135	365628	92774	61828	72590	29021	205440	212440	2324	113162	83662	37305	7046	10026	24108	72290	27789	55736	453484	118613	571799	37654	220053	124544	343703	384079	5505	31245	75907	31249	345136	10659	377238	1094	163551	150725	516055	83859	369622	232228	177414	305423	18022	239129	103194	9272	73759	54565	63435	141025	156201	23351	77546	27197	18411	21333	14475	29728	3774	40177	11570	9879	63915	10829	34253	40402	325228	63289	48638	48498	55308	271399	385761	277950	445759	33802	115069	66858	165106	1449	52477	144797	20157	288426	153740	579311	79694	224845	86616	278958	18388	470090	198036	160935	12909	78314	385043	81210	118427	161855	105859	288211	2782	3358	87125	578614	364904
Actinomadura	0	0	0	0	35278	179747	0	0	0	0	166624	0	0	0	0	0	0	0	0	0	0	0	0	28279	0	156926	0	0	99689	0	0	0	0	0	0	0	0	0	0	0	0	10109	0	0	0	230905	0	0	0	209050	0	0	0	26836	0	0	0	0	0	7261	209922	0	0	198282	27173	0	0	10840	0	0	0	0	269629	317508	0	172671	0	0	0	180176	0	172384	0	263082	305016	0	108606	96502	647521	306576	177506	0	737400	130978	270908	0	0	0	70949	50625	0	0	42794	42592	29358	0	8973	324489	0	37198	0	0	67570	184527	62173	43231	97627	343289	355239	559660	435374	0	557883	306974	310831	0	0	64905	288246	0	42701	165290	229917	220073	0	0	0	45204	219376	97176	0	100251	0	32585	0	0	253775	626286	0	210918	121922	50724	59808	0	0	497061	116017	0	789486	140578	69221	667562	191026	0	73751	434668	0	19683	75753	133848	153043	159326	20006	104710	0	104648	207233	468542	0	395088	148950	0	213905	149058	434811	242113	0	0	116979	112131	525120
Succinatimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	261357	0	0	0	206480	0	135667	0	0	0	103313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	3097	222234	0	158	0	50123	129468	115	0	25374	209967	0	186764	329610	67948	155	0	0	0	0	0	0	0	0	164185	0	0	0	0	87289	178242	13106	115	0	0	1038612	901	4860	78423	14750	92721	369	60681	534472	77502	1336	518	426	479	443	313751	0	360627	2163	181478	338824	321	373264	332	280	218	236228	204	2815	717	797	0	178	1250	364755	103501	216	668	278	53340	631	18584	375	208345	2721	413	442905	168835	1198	261336	579	67380	401073	460385	602917	707	752	892	567	67169	206104	554069	190	12857	127	198	231536	192182	1292891	75202	110303	637277	453	246582	450477	757	1075	96109	832	324638	153108	185708	344836	417963	1761	497356	639	81988	663954	27328	309	387	244	110054	99710	158206	282	151562	1048	73140	4412	476	590	558142	63160	184	424	629411	223618	279536	700	510
Bifidobacterium	23486	47299	11323	31633	192191	80401	88390	3700	3508	220	164292	6414	3944	79312	31184	708	5913	45644	21564	179479	181818	109446	23947	176534	36287	3091	49981	108198	226955	21195	12055	2164	19867	349	75183	8876	55674	150035	1380	6950	184705	174885	3181	20471	20826	69208	20141	16520	80437	103588	10866	60833	147488	80251	45928	10878	36885	25430	90139	1065	4038	5688	60576	99721	96311	83843	128354	83612	19843	6673	82786	10937	10011	45907	13019	81876	74168	176767	86259	226291	186075	133598	6766	26402	178965	39679	1235	8839	87315	164134	24750	29421	2766	126276	213087	60540	18974	3276	1273	95462	67436	1765	18026	77247	261005	14455	418135	198484	16167	17725	4679	1859	116064	105592	149800	249718	32991	158721	8899	22799	2407	25937	10686	1668	1456	119823	9263	105245	1613	60470	142463	96026	10149	539865	9497	143126	16161	91189	235530	163215	500	72381	3741	6035	45668	4093	161295	17743	49812	24649	201007	203661	197864	15392	5691	219399	168976	2412	186453	47715	72326	168286	21547	1795	213376	254343	8494	398034	13298	12844	109368	10026	183333	14409	31698	149593	134125	8670	60185	14775	42914	8561	145892	110763	200650	62993	4721	22549	153255	374240	629538
