A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A3	A30	A31	A32	A33	A34	A35	A36	A37	A38	A39	A4	A40	A41	A42	A43	A44	A45	A46	A47	A48	A49	A5	A50	A51	A52	A53	A54	A55	A56	A57	A58	A59	A6	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A7	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A8	A9	B1	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B2	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B3	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B4	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B5	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B6	B60	B61	B62	B63	B64	B65	B66	B67	B68	B69	B7	B70	B71	B72	B73	B74	B75	B76	B77	B78	B79	B8	B9	C1	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C2	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C3	C30	C31	C32	C33	C4	C5	C6	C7	C8	C9
Bacteroidales	2019981	1423723	3233051	1779128	750160	1202014	2041981	2574525	2151545	9739	1072142	2053142	2406256	1898529	2755653	1889877	1503982	1829591	625302	1314496	1222170	543239	2114129	816068	2181118	377794	1162697	949189	494363	2844942	1998183	2400453	2355196	2395224	1732979	2501102	1179210	1485078	1773681	1606411	1269768	840089	2701570	1863793	1874626	950240	1316943	3787513	1460501	1114361	1649311	2226552	1056870	936239	1458047	1360943	1116415	1856558	1585695	631793	695680	2221407	823225	917010	382595	554453	1754328	415705	658833	2196761	1177816	2325798	877545	1287468	1010713	359937	1296998	1262861	1225032	3148071	5656807	1990058	2877508	1815230	915088	2942427	1857451	1559617	1504080	3273455	2807658	3987572	916574	3423650	3337007	411313	3170185	4083478	2333234	2068069	3069107	1569067	2759659	2743281	1976567	2736031	2324667	1530086	3977899	2858346	1304807	1287141	1469707	3155747	2764425	1465816	2634265	2576066	650000	787635	1831986	3440766	1478321	2097863	1244466	1646882	1706799	2370709	1639707	3924713	2869514	2486263	2886808	3038828	3233203	2523146	3243975	2680444	1992070	1156001	2153839	2413218	2390126	3150464	3186821	4546442	3054684	496234	1526454	588185	1563047	3875828	847550	3835908	3637588	1896502	2980966	5496363	3435585	6411727	6121814	3837522	3287284	5366894	3610528	3445116	2551319	1552768	2265010	2898227	2617425	1306401	1847418	1808596	3198363	2238624	2281931	1153109	3145840	1278004	2756776	3149835	2076132	2636015	2067662	1450904	6525477	6212100	5196418	3530421	2344114
Clostridiales	562674	916622	344670	622894	1635895	1177610	865357	391178	417591	158034	2610447	206375	52883	1034178	356088	314999	882071	518142	1271171	1145239	1353435	1139726	789545	1272414	813871	711464	958110	844360	1446423	784635	863203	592510	538786	253900	1213390	818182	751739	1068807	451360	696065	1357354	1892597	298195	1461779	402212	1669772	645782	834152	883440	531262	710006	943168	1187620	1361485	743261	1219534	850810	533601	489474	1274036	1403250	588654	1403466	946745	1493339	592740	1124494	1689833	1598920	541022	1730761	496280	1164012	1183491	1201823	775530	1317872	1180946	1692063	4411571	1549192	1796370	697350	2193712	2288661	2689482	2064550	2215476	3386860	1942021	2345199	796170	3633616	1958661	1444713	1011800	1360246	1198623	2286307	1835593	1070284	1260339	3518488	1830978	3355168	1690471	3534559	2366640	2077283	2723019	106929	696777	3753418	1150136	2381976	1810454	3013478	2033352	1754776	2785770	2504745	1633037	3396538	1987225	2178143	2144959	1132264	2908318	3001171	922504	2591151	2071781	2213917	4358876	1743064	1504563	1739412	1843021	1549215	1749452	800940	1162991	387430	1995149	852332	340915	1634009	2117448	979189	1213807	3902373	1897477	1881212	840487	465494	2438856	2724250	681019	4140225	2000367	2306416	4475876	3174334	1970862	2608236	3859722	1438516	1274641	2256909	5848950	1745880	2583586	2586121	2061012	888349	3175365	1467726	1748693	1162791	2905551	4778537	1005356	2787102	1446273	2160175	4665924	419341	782915	3099939	5673928	6191093
Enterobacterales	16271	187094	38858	56394	13167	48029	43040	15764	26195	7252	11998	96692	126931	15239	63397	3130	15693	22166	35506	8987	12107	6136	3861	52546	3848	5740	4145	76128	4230	180930	103924	3301	29358	13400	23200	5669	9209	5852	603389	5159	688154	6597	15449	33721	30034	9995	24674	8151	7238	7273	12031	13684	11055	5800	14871	111005	53520	6997	8616	74358	17036	32231	9269	8828	30004	260533	66312	56690	159845	11502	5544	26080	6591	23119	12427	21599	13125	3246	5767	424338	48150	1149159	21894	234355	43065	688533	1038427	44965	25453	19873	34371	914305	17442	13539	44918	3784	23192	618550	372556	91658	13038	13922	148216	30243	476116	344504	28639	53983	56368	71874	5329	69412	737300	115565	30105	9882	36904	28551	21975	271975	30983	24789	372306	113218	40976	350231	11276	56281	26291	29302	164807	81293	119611	42065	37595	14544	237138	47172	24536	77660	53591	723821	21470	363550	65469	26529	61544	180632	18471	13138	169125	24169	15370	11227	8275	36827	34323	1073768	608027	63440	166446	32752	45209	2841177	97712	40638	33476	44504	357339	29338	408694	412728	24229	132957	7457	178207	32827	125224	45650	17815	91026	82239	26797	323617	26618	45210	36877	161467	105181	60606	274606
Aeromonadales	339	423	0	246	392	279	0	137	397	275	698	0	132	601	122	410	143	305008	729	472	239	248812	0	162133	0	354	747	122234	259	198	223	0	176	285	220	731	355	161	198	181	298	379	636	764	3142	262215	235	267	190	59649	146382	569	346	30003	252634	130	223781	401146	81965	430	299	148	213	378	312	611	177	373	203216	677	210	212	420	104239	216391	15703	640	122	125	1232798	1203	6611	94106	18525	111747	684	73345	616791	93348	2615	1062	670	1767	975	371117	423	428777	3185	213523	412071	727	454483	1257	886	1377	280833	654	3236	1033	1213	164	288	2042	433626	125160	563	1182	691	72629	1898	23458	709	255132	4335	1240	522702	202974	1654	311504	1741	78231	475433	552845	710026	1088	1391	1623	1298	79651	283407	662128	1634	15823	1545	606	273122	228602	1542529	88296	132199	753336	1216	292698	532815	1017	4642	115891	1081	379891	186425	225195	417859	488902	2034	590503	1971	96468	797382	32680	1286	953	1303	130540	119397	182065	601	177316	5028	89334	6195	2104	798	679278	75944	956	2117	750059	267959	334674	1617	2310
Burkholderiales	16039	2005	174	40358	14283	21621	9362	30497	928	2790	14176	6233	13609	15486	20062	21979	19762	18829	11396	6836	11951	8243	6801	10988	27430	9358	3234	6381	5920	745	13181	42469	28068	22321	8222	9263	3981	36861	33031	14509	16908	15683	56598	12639	9994	17546	19256	42170	14383	5400	10706	24339	5681	14789	23696	30893	11669	17507	10764	19734	6144	45108	24304	4820	5252	16623	21417	31044	5902	8057	14080	11610	12210	5025	7647	11742	7713	1022	21948	38160	86161	15713	17789	18351	24214	153514	28517	41861	52209	10288	27838	37188	18634	73616	43276	20535	52258	33375	43610	43210	12501	29535	56757	59288	63980	34048	83652	24701	74910	17417	5108	10785	47063	55112	50527	7152	44447	25899	26797	47483	16078	45392	41287	30795	57390	23136	60246	51018	31232	35477	71066	54746	70221	74880	89713	41507	41607	62412	17511	19679	44078	16972	4028	49911	7871	51314	16364	25192	33312	17963	49691	28518	31441	83583	28726	37267	57204	19406	90839	88103	64474	57624	40134	109969	144558	60247	38447	31118	97330	37991	55199	38777	29689	30159	40593	32665	80153	42677	53922	55063	51487	58542	18665	78594	42073	73113	79824	45141	68508	61540	62432
Halanaerobiales	0	0	0	0	0	0	0	0	0	494	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45666	0	0	0	277	0	0	0	149860	176961	0	119	0	268946	638	0	0	308450	69940	109	0	0	0	107509	113120	0	0	0	86510	0	0	0	102	0	0	0	0	163547	64281	0	88025	235	258645	109890	76724	294	0	233721	84145	301	0	0	76948	235404	0	0	53012	73494	243	0	270	0	229	164026	266	0	40939	0	253	0	0	0	577	0	0	139	140	88447	37529	0	118708	0	0	234833	112	130	271	195703	0	165	545815	0	170	0	244	172945	156696	0	138672	0	0	103368	257	0	97822	279511	0	261	0	128178	185523	0	0	153465	181094	284044
Verrucomicrobiales	6674	281	8654	490	61157	80609	18611	0	1363	330	1733	0	0	13405	13175	275	446	42710	663	7602	1468	3782	3119	736	32732	1090	612	20318	79865	4637	61000	19549	88250	943	203167	372	257	2787	589	645	134113	13635	1161	3390	261	25786	574	2147	7915	717	347	338	575	14789	5212	66811	360	300	1378	13261	27463	10870	39057	847	40189	71626	869	11242	29919	744	15500	269	1115	464	116027	127945	887	2087	8347	4212	757	1469	550	160662	174150	52433	1642	8470	2172	2749	773	3228	2241	13612	1355	2461	1016	917	1176	39140	556	8112	77185	9545	165838	1908	24609	20583	971	45122	0	3647	52215	1016	59552	9790	3467	495	70473	180873	2042	1352	2624	108979	64841	1884	3953	37891	6207	479	7274	2952	2776	187960	16789	4670	33054	2776	27070	7813	2231	20483	430	1134	410	1932	635	190321	1029	835	79498	987	607	648	246	3395	73168	357901	3249	262432	6165	1253	86796	2357	1671	94509	934	3007	2045	15983	734	15737	929	919	1608	23133	963	69805	525	1451	262826	882	59850	14506	11811	576083	796	818	1035	195299	55508
Erysipelotrichales	3343	20311	1854	7856	16691	19980	5295	2994	1807	17070	58026	3447	249	16155	3139	5077	40882	7046	26496	5233	13037	16796	8068	30162	10863	17044	9913	52050	93582	5186	12668	9716	3670	3921	11597	17083	8200	11753	1906	5361	55754	58873	2109	24311	4032	43485	9741	20263	7866	10316	9861	31634	14845	22245	9107	6726	24718	9770	15290	15670	31056	4266	9096	16436	12292	9392	38663	24872	20173	4769	7682	3234	36072	35040	7445	12088	23266	23033	8584	28826	4365	10210	8212	28607	46734	60401	16662	38517	118381	27908	23327	6406	63586	42788	13646	10681	24954	6034	18036	25928	11910	3882	18962	41758	11825	29880	19531	46120	5905	19168	1759	2181	30417	24020	55658	20428	69412	13611	25592	36725	44670	9245	83880	17346	157043	87809	12126	14823	57745	38258	10369	17972	19452	53578	71874	10944	76103	38130	38903	19893	7090	18884	10534	41798	25215	8949	154148	79958	27558	26984	41521	21363	37219	13035	6391	68532	36714	26803	83098	15183	45353	20765	42748	3494	29708	39877	13192	41328	12366	100629	36748	41742	18403	54977	8502	16473	30209	17554	12053	85941	118615	11977	35137	10526	22131	73989	12035	8671	25364	55678	92619
Desulfovibrionales	1421	2133	4525	5841	14352	47518	10469	242	192	389	20813	833	5092	13773	27325	8668	20049	30566	36060	2757	11735	7523	13542	18688	3718	6081	3505	21802	14811	15984	41456	4720	20149	1600	17116	3288	1932	18404	3396	11959	18488	17119	24242	61659	28542	13710	10485	37887	257	6124	5885	7375	29090	8693	7085	6714	4317	3963	6105	14009	22356	6974	5514	6925	9826	927	10865	10119	2018	960	4754	2228	8664	15361	10263	4963	5717	2663	23201	24404	22971	17500	6348	31179	35715	16290	30139	17579	26883	31141	38651	33400	2037	15891	15672	7472	32774	6531	8290	33762	1168	23474	4167	29488	3931	31159	20913	9394	11329	29173	1555	4053	33818	9841	30821	13015	24516	1225	16736	52021	15175	9946	27375	45259	50547	55799	12298	29555	41656	6799	33079	14858	13689	31873	23001	44414	10925	10878	7425	7985	16412	7334	1905	40124	12272	11779	11620	51036	18671	12333	23441	4366	24162	9971	306	23549	37185	32264	90700	17308	27888	25085	30193	73008	21430	25289	9276	28449	30879	204100	20964	50485	12411	4261	7155	9274	16365	19759	7354	24489	90875	7573	52880	16454	13093	100027	4345	6838	32710	84300	82851
Pseudomonadales	24129	10207	2467	34896	4671	5155	2509	34494	32961	2907	16843	20209	28839	23637	971	12967	15860	7210	8306	5694	6113	5193	2144	8387	1012	11060	14357	1877	3170	9178	1826	760	3691	30442	2549	31489	12929	2705	12931	9452	2983	6378	29177	3422	47265	4334	3524	40692	2775	23022	29986	26115	3433	8298	38565	2230	12446	15846	15451	6348	5776	1866	2285	15163	4526	5448	21250	3107	7508	23063	3226	24641	8055	24668	11374	5385	17347	1554	7052	25453	24197	19480	33577	13897	12471	15497	12539	15513	11531	38582	32524	25934	11343	17668	35675	4132	35828	93209	30791	23403	26230	17887	4952	15697	9513	23172	4341	16274	9355	3758	12134	2156	11279	35690	31515	9920	22874	27549	14982	10328	23121	46655	10759	15198	12874	11293	16132	19220	10044	32647	30477	21981	25764	16101	19676	10091	10023	26170	22182	26957	26436	19090	14433	18431	31292	58547	32269	6811	18912	10057	13356	44834	9470	41135	59981	10423	31075	10656	27677	54264	51334	33192	41734	3225	35991	50802	21013	7948	17385	12545	24280	10396	22364	17307	37736	11290	35131	18813	32506	12680	17166	31167	31111	33646	16420	18705	76811	78910	59021	19991	16996
