A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A3	A30	A31	A32	A33	A34	A35	A36	A37	A38	A39	A4	A40	A41	A42	A43	A44	A45	A46	A47	A48	A49	A5	A50	A51	A52	A53	A54	A55	A56	A57	A58	A59	A6	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A7	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A8	A9	B1	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B2	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B3	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B4	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B5	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B6	B60	B61	B62	B63	B64	B65	B66	B67	B68	B69	B7	B70	B71	B72	B73	B74	B75	B76	B77	B78	B79	B8	B9	C1	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C2	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C3	C30	C31	C32	C33	C4	C5	C6	C7	C8	C9
Bacteroidetes	2022044	1430866	3234056	1786938	753269	1206209	2044237	2575894	2156142	16138	1078636	2054000	2408779	1905487	2758607	1891669	1505486	1832761	633406	1316445	1223770	546513	2115201	821901	2181888	382566	1162099	959651	497867	2846117	2000653	2401357	2356305	2396872	1735032	2504001	1181731	1491733	1774750	1609696	1271208	844742	2705759	1865470	1876406	954002	1319898	3789987	1461796	1119279	1652920	2229702	1065332	943121	1465668	1361851	1122344	1859791	1591797	636467	699550	2226279	825604	919026	385432	555768	1757647	419275	660959	2199475	1179165	2328526	883734	1291406	1013005	364898	1302406	1264172	1227424	3168094	5658002	1997114	2884905	1837433	932496	2943638	1868690	1568198	1514919	3296555	2813766	3989595	924819	3428760	3351443	412404	3181559	4091533	2350909	2083456	3075301	1570435	2776070	2748443	1979696	2741027	2333559	1534862	3979981	2861585	1305729	1288237	1476644	3169893	2773435	1470160	2643949	2583611	677682	800500	1856662	3447572	1487542	2116339	1260908	1649423	1712603	2375329	1649606	3935113	2879053	2495523	2896528	3048531	3236559	2529043	3247731	2687429	1999876	1169917	2165618	2430081	2395904	3165754	3193038	4559368	3063187	556278	1533440	592440	1569129	3885437	852423	3842715	3642902	1911346	2990462	5499015	3452932	6422179	6137836	3859188	3331173	5370489	3624613	3502013	2557081	1557518	2271900	2909548	2624554	1315230	1855322	1821507	3201561	2241054	2298617	1184896	3155019	1292116	2798243	3156377	2099277	2646570	2077975	1472717	6543520	6232762	5211440	3538365	2364798
Firmicutes	630131	969530	388038	713354	1809042	1348423	918927	409133	451061	1134825	2914467	214103	85047	1131459	403984	344147	964696	583244	1363310	1200035	1504902	1227094	849615	1428113	851722	837615	1153604	974741	1588952	828737	927488	667271	584778	304672	1269106	885603	823984	1144373	506933	744088	1546601	2047417	359809	1588116	441503	1800962	682878	953051	1193705	594571	855775	1028281	1297645	1496068	792790	1277737	931484	578974	587355	1416082	1522630	614461	1487908	1029906	1591706	677086	1220632	1898833	1837437	635344	1817277	607289	1285817	1338921	1295184	862209	1457269	1274868	1791077	4747814	1583817	1940245	750046	2443200	2572304	3017817	2272741	2494773	3850379	2170305	2531017	862969	4068701	2111019	1620592	1065650	1481019	1243605	2458855	2034464	1154550	1302557	3733492	2005913	3430131	1826036	3673983	2668282	2307864	2828676	129298	725219	4009523	1343277	2530408	1944541	3320666	2341201	1948663	3016662	2842965	1766437	3775130	2266675	2394496	2252120	1299388	3038174	3356750	1048790	2742101	2216469	2392808	4873929	1930411	1714691	2057539	2041313	1830078	1904702	865948	1309583	452735	2172778	922094	420565	1896212	3116109	1076484	1384761	4296600	2040633	2047736	919801	498595	2690015	2897945	912139	4599232	2324696	2563335	4890227	3533620	2055393	2860303	4538641	1534403	1395587	2452373	6375291	2000004	2856850	2796615	2310243	950600	3374082	1649945	1949114	1241119	3161019	5317408	1075231	3251317	1787626	2382069	5260239	501428	858805	3356083	6056984	6685314
Proteobacteria	65904	216148	46937	164748	72787	138622	77353	92536	70294	28950	96196	130554	185118	76222	118672	50956	76914	401394	102125	34692	60341	287801	31245	269538	40591	80376	50757	240391	40093	211364	192706	56381	84164	77163	66963	57767	39912	195838	743514	48481	732393	59102	133413	121308	129465	324085	84759	135139	72705	120755	221099	79848	61996	85805	353613	158556	314997	451903	147506	126731	62975	90788	54804	50176	63944	290954	126769	114165	389274	61626	36102	91633	53866	197468	267292	91899	58537	82037	73792	1819402	187654	1396627	193424	369655	281050	908191	1258189	770119	248441	154818	185196	1027515	107721	150525	576319	53370	598513	775012	701007	643525	114769	560741	252965	189479	574124	733119	179329	130134	286067	150340	33112	101020	885916	691182	291211	57208	158868	110075	210314	443255	171160	151556	747432	265718	210707	994792	322375	180391	462225	151608	421104	684876	819372	981637	204120	218419	367909	237580	172724	498942	822291	805956	74875	516530	127661	444473	397015	1836040	192620	205615	1047968	133380	405214	729947	106361	169591	301811	1164346	1253533	642942	564847	617043	752919	3039901	1017248	265113	210387	935946	565319	337730	538339	564157	241295	341090	332365	256423	390591	276834	252045	260426	344382	336490	853971	597567	234765	346522	975775	596272	691129	266561	532909
Actinobacteria	3639	11895	12401	13480	20552	26259	48674	2311	5282	20734	51483	5970	2992	16039	8633	3751	6850	12780	20307	15634	23407	17163	8194	83440	38377	18729	34860	32758	239690	8264	13705	8859	14315	2776	20245	15279	8210	32358	3163	18021	220879	22039	2571	31747	4330	34193	18322	18621	21111	54024	26441	36712	164141	26432	8751	24105	21057	16407	14763	17190	14171	6439	11465	38727	20534	16862	111224	23449	20458	11658	10062	9698	37365	17132	12667	28706	9650	8511	24762	75415	189581	31533	12567	62726	102661	36964	52082	46785	111514	44208	38773	11110	80134	23519	28076	8421	18543	8791	46536	42450	15294	4890	34936	29600	68836	15033	23741	102295	14178	28336	3101	4901	48983	28167	74438	22735	61036	24519	50758	65688	92985	20074	70171	67811	84304	16744	6874	31327	45127	15536	66909	33338	29953	52385	15144	13806	12742	35288	17684	30603	14411	39241	7691	27078	11107	12371	283928	93977	12523	26383	49676	31498	51262	15002	5670	308608	86103	12270	84130	32475	84355	58251	106567	12640	46686	421676	15817	492844	34368	79823	40264	88718	35689	59059	15683	32455	62974	122870	10434	71004	109350	10299	52992	49958	37775	154977	22975	16048	58095	57157	137955
Verrucomicrobia	6740	660	8657	2776	61235	80712	18641	143	2188	824	10481	268	0	13447	13188	312	499	42773	823	7700	1551	70976	3151	3905	32772	2875	614	51922	79526	4651	61072	19565	88264	978	203246	758	1338	2851	619	2068	134126	13812	1286	3499	294	26011	598	2216	7909	5149	815	407	1820	14871	5248	66866	807	335	1554	13553	27544	10896	39352	970	40456	72029	950	11495	30191	795	15532	303	12461	951	116078	128579	1073	2131	8380	4813	772	2880	676	161017	174606	52458	9028	15565	20542	3227	1834	3277	4355	13760	1707	2754	1466	1019	2486	39279	798	8139	77394	9749	166074	1998	24844	21881	1020	45281	0	3683	52475	2000	59787	9919	3685	1390	73571	181548	4548	1450	5696	109737	65402	1978	4065	38257	29474	985	7470	3666	3479	189864	17068	9262	33196	3032	27184	8097	2707	21175	529	1430	533	2172	1328	190326	1169	1807	79838	1325	2534	724	400	54965	73374	357989	3702	262581	6610	2643	87751	2401	2158	95548	1008	11235	16573	16428	21820	16164	1672	7871	1753	23204	5086	70404	644	11501	263346	965	60582	15312	13535	576898	1025	1099	7585	195447	56386
Ascomycota	3317	9968	1239	8339	12254	8981	2019	3618	6476	23736	21523	1905	3323	6303	1737	2842	3290	5455	9923	5273	4579	7629	2219	12047	1716	11362	3734	5344	7975	2151	6000	1164	1441	2349	6913	5749	6730	6783	2815	4618	2642	8444	4347	5764	3320	9959	2741	3566	3030	14356	7847	5765	7206	13501	7393	3196	6574	5385	9996	9043	6728	2862	6489	9412	9200	3946	4667	9219	7344	6090	5352	4957	13732	11436	6552	16790	10639	3049	3755	30896	3452	19987	11345	35151	35134	6650	31046	22042	32297	42941	17821	5450	39937	18775	24387	4825	17701	15848	24079	27474	14496	3401	14977	21940	12909	15078	17369	14222	5213	11324	1786	2452	23639	25257	19200	14882	19780	23714	41283	37509	47259	19206	25540	40735	32118	9374	9316	15745	29228	16060	24897	21534	22316	31027	8405	14480	12771	25875	18911	48609	16862	23132	10601	25197	10233	16752	16483	36248	11975	13524	24751	30332	17880	17162	9012	47040	21347	2647	40898	17768	25329	46242	65833	4444	37475	58327	11364	15252	19488	33627	24747	32914	18432	28411	8703	9401	29379	45397	14081	37463	49515	10265	33252	28162	31475	80800	22609	25296	38498	29841	61702
Lentisphaerae	0	13710	0	11123	3187	20681	0	0	590	156	9123	109	110	4534	1248	266	10634	10586	238	4025	13880	12600	2455	13953	0	40564	153	4517	55576	8097	5496	0	0	140	8943	2945	4516	16045	174	1313	0	10683	1750	1490	5897	15511	1690	576	240	947	6297	15734	17217	27444	1979	123	17015	2363	967	37874	2762	0	1860	11188	22853	6336	1476	53062	10025	106	1625	0	22790	1679	8562	30708	262	120	210	43995	0	32795	416	63363	29991	3550	39828	11613	47072	24490	9877	6011	1797	255	4182	3952	12963	1648	14159	43386	4346	1411	567	2521	59220	2438	1833	18391	982	10637	0	0	84139	13800	21057	35413	77630	10282	15271	44759	38517	578	92170	10195	26001	127	1435	43112	60849	5104	5940	3477	2888	38903	11261	24804	13979	11535	6401	12957	14743	11025	307	3696	1864	753	1049	7265	13620	4535	20121	4887	2670	5027	131	103458	23975	2176	26857	1089	3396	4341	156490	1835	6915	54342	204	44904	19330	17117	6379	213827	52233	36344	229	292	12773	27063	266	25628	88244	1492	28720	6971	42116	96593	333	180	6564	24649	94363
Candidatus Melainabacteria	6610	3421	0	30225	1364	4463	0	2596	12485	4523	9986	1563	2217	9206	1519	4395	11970	8838	1013	4342	1433	4943	14591	2009	0	9308	3318	3003	36138	2465	2965	469	3378	5732	2743	13724	14097	2929	1042	4002	1974	10981	19262	5246	9196	2624	5907	22384	757	1926	2758	8152	364	8943	20635	1727	6396	48086	11135	704	2652	9171	2948	3257	6077	560	3675	2353	6658	14184	1719	5161	12738	12625	6969	3065	117268	6385	66815	62228	812	12384	3070	7173	3875	6774	3065	12747	5352	25978	71834	19473	1276	30559	17639	10371	27862	19835	7068	10576	129453	7850	1994	13939	1318	14968	12817	22815	100431	1276	0	0	9018	24248	9753	5048	37423	43639	7515	3326	10137	45463	7326	3997	16067	1431	7484	7214	55602	57671	9163	32914	31128	118465	4890	79975	15305	36553	21018	7274	19691	59521	8584	17219	19244	12557	6864	76099	7220	15393	12334	3650	1919	12784	3190	9420	7625	20344	5623	23102	5646	33859	34601	1843	9548	128676	5705	5120	11239	52297	67223	4309	11950	16323	3212	21234	33580	3642	6335	4427	22163	2859	56738	6779	10632	7715	5328	28972	18809	35012	5457
Spirochaetes	0	871	0	605	1342	577	187	268	487	1305	4195	0	219	463	0	196	622	547	996	743	527	1023	144	2392	124	25824	412	599	1000	162	513	0	115	269	894	686	713	461	186	342	183	1345	345	314	207	930	210	322	140	61590	1036	583	853	1076	888	484	641	606	1190	822	862	182	703	1375	1135	474	269	702	985	397	638	416	1329	999	469	3307	2024	213	527	3164	325	1892	663	3191	3153	624	2373	2146	2624	3671	1761	426	5156	1543	2366	477	1495	1253	2108	2708	892	347	1273	2043	1700	1162	1974	1071	660	913	168	190	3156	4895	1288	3039	1729	6698	43132	4162	4228	1389	2460	109847	2930	888	813	1446	2738	1564	1538	1678	2049	3231	816	2923	1147	4364	1802	3282	2669	111858	82942	2285	776	1199	79994	2383	1339	1165	4690	1558	122843	1581	463	9151	1399	215	6646	1184	1785	4417	6177	535	2737	5165	663	1117	2994	2667	2448	3011	2368	2560	772	1103	2207	204297	946	254188	4337	699	4120	1330	2749	249638	2790	1376	2333	2522	5659
Elusimicrobia	0	137	0	150	26911	182	164	0	0	270	387	0	0	107	0	0	0	133	174	0	0	185	0	202	0	16055	0	0	139	0	0	0	0	0	196	0	106	0	0	0	0	173	0	292	0	5046	0	147	0	153	148	0	214	1790	0	0	126	0	2097	6748	112	0	143	201	219	0	0	16855	135	109	116	0	311	158	109	456	196	0	0	668	0	305	1001	5886	906	0	176553	495	548	61000	291	309	753	315	324	0	237	296	2361	467	187	115	147	394	258	164	195	245	140	179	0	0	448	29986	30672	262	326	386	3279	6274	936	244	373	11582	735	123	133	236	679	224	74352	52404	40148	1286	115	325	132	509	270	345	203	7488	6321	4433	104	211	566	545	201	9590	404	318	5383	245	256	53195	33148	0	687	35852	1582	107253	1112	0	397	1220	3075	79139	86927	721	898	822	311	462	0	147	50001	3774	156	34297	10044	187	644	6778	692	2359	1179	206	127509	597	12453
