A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A3	A30	A31	A32	A33	A34	A35	A36	A37	A38	A39	A4	A40	A41	A42	A43	A44	A45	A46	A47	A48	A49	A5	A50	A51	A52	A53	A54	A55	A56	A57	A58	A59	A6	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A7	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A8	A9	B1	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B2	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B3	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B4	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B5	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B6	B60	B61	B62	B63	B64	B65	B66	B67	B68	B69	B7	B70	B71	B72	B73	B74	B75	B76	B77	B78	B79	B8	B9	C1	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C2	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C3	C30	C31	C32	C33	C4	C5	C6	C7	C8	C9
Prevotella copri	1032844	233249	732	759957	27203	10307	1497	1207282	573132	860	182263	1308737	698301	551357	848	301562	770829	50420	66988	67971	14825	88007	1034	71334	531	51540	598691	9547	39410	5858	801	598	2010	1119489	718	730023	303627	826	1049978	345952	787	6583	911787	10518	847744	48214	54111	1303226	2264	340880	577843	755663	4110	140467	420147	1434	428801	617412	479222	96698	70023	3234	566	202610	37121	1350	770306	18530	55186	883445	1494	971392	111913	505566	418864	4040	418583	896	1037	433606	6588	523744	1100043	221687	94668	2613	379052	632036	13370	1089959	964281	2055670	26150	876891	993999	42045	1074985	1447715	912351	695325	978294	7573	1916	649253	2224	749341	2889	403888	2291	3864	712702	575	244001	992443	1104764	314333	1131256	854962	41592	33121	107295	1099000	57993	118820	25115	74130	348544	473146	1969	1343186	681062	603068	749098	169399	973754	3330	27514	1086527	575030	447863	667898	944807	651568	778081	816546	2081199	796390	46521	529719	126773	212655	1148861	128753	871758	2179360	5684	1153062	172575	186378	3162339	2021021	1044155	1067847	1983	1195442	1734863	695882	142641	305626	152430	971509	85482	801736	475122	1147796	310464	464949	96906	825000	133811	36023	1069272	305251	957408	501717	17651	2498272	1879720	1330986	1070401	84550
Faecalibacterium prausnitzii	228377	142358	17316	146055	272293	76868	166961	168180	58516	3074	119651	45837	17553	111504	28593	56017	206907	29453	24860	117019	174732	258603	82213	31978	231990	18984	410958	62883	181613	159580	31684	129726	37984	57442	47468	102196	137755	92381	84686	107860	301463	64455	43324	133052	59435	104992	322889	78635	178559	17633	79513	139877	31514	198736	168456	46996	159643	122328	39729	180102	101652	212939	170108	75895	189094	19145	348740	290812	388586	128493	427275	179513	33945	157694	273909	17879	256660	274993	206992	771906	578609	361863	149141	142960	52868	585142	278362	241190	248337	85178	206246	199975	131571	220029	113071	252203	230136	172748	311298	184808	112510	497199	341925	294026	1047575	243369	437972	259025	571480	708564	28358	131123	659697	59115	347340	177425	541648	198510	126455	135196	74981	227499	201844	197480	171737	640235	165391	583980	83632	123752	657075	411203	438610	598212	368534	201952	132624	414480	92133	234146	149762	139290	102444	257408	170041	71057	140170	118407	68580	87049	379979	159077	68618	62556	17654	52802	389992	86871	124893	301662	600185	630634	456749	1530500	349697	539306	201434	170717	441124	726667	248797	274599	482524	168941	240365	404233	142280	83807	228837	187105	616594	251320	312417	302355	171595	543163	128115	138540	904282	876221	332915
Ruminococcaceae bacterium	35302	158819	1300	108321	125967	190120	204864	6980	40202	6282	181076	7982	1241	195086	12352	34848	179546	44103	283560	52580	136215	116566	77336	181279	81828	118993	125287	58169	154674	162635	41193	23390	39537	17386	404482	235055	93521	242061	13494	149151	449506	72299	67555	301750	10190	291357	14890	93260	40139	193318	177099	303262	447682	237637	137275	158118	86372	52569	57718	80851	223490	107684	64723	227945	169643	64016	204907	108710	188750	25798	65337	55194	203775	341067	142830	149447	126828	191401	359426	365708	83294	200530	143089	228319	275411	180490	375339	305356	699459	165582	184681	117561	802977	124891	200073	69745	234931	106007	214717	161817	77954	203662	389827	100363	374664	142020	469046	414781	260651	310678	5498	20927	261508	148079	319583	252600	210080	291722	308754	540700	428646	128149	595590	263069	272376	157277	119776	221297	328112	169387	402516	238563	215736	391337	104916	109408	290272	160867	147071	134502	96345	105185	11409	91030	153406	27250	246712	684646	100804	170240	478307	164109	208565	123374	18197	434739	368947	132672	768120	64151	376801	644176	279963	2012	200708	396346	65586	92610	148879	441641	203837	208136	261191	209117	71567	450655	161609	292272	75935	265840	464040	49111	197316	79159	392056	740598	29776	62596	294749	568017	584796
Prevotella sp.	167623	182512	1203	238478	37361	36716	725	240349	129437	353	43892	93007	192811	324972	348	65377	101570	193412	39283	332935	6368	72752	500	16165	350	13742	26167	3431	20590	1805	799	274	415	283478	249	182051	266031	377	145017	289223	547	17754	428377	2413	63076	8357	401109	459954	2260	65971	191706	202660	2544	23011	123595	484	95439	199974	71452	13256	8571	1965	276	28105	10026	17394	48119	3168	24694	182992	1739	312604	11023	115643	31679	1330	103710	315	314	132258	2535	259067	230504	55884	30107	4175	149822	63853	6783	243418	117710	177208	13305	883696	185931	29377	356633	431815	185189	108509	225911	348102	869	86663	796	133411	16055	76222	1167	42147	66082	255	116163	207932	184807	540727	110045	362562	10412	8042	91250	442552	8925	149381	7335	16604	207212	70989	1808	454839	224413	189871	263541	36928	133265	109387	118787	202007	226049	114236	126029	256142	143205	400902	331063	347608	248638	12146	111910	16445	114080	255160	84673	514309	215503	6501	205173	16397	154734	287497	506267	274604	143383	922	448214	199183	287756	29963	486354	18009	279002	10572	89190	112655	550465	30208	259644	34183	374260	44381	11987	155090	228370	243980	75623	27379	461977	531807	657400	94689	22286
Prevotella sp. AM23-5	99628	107229	268	141994	1768	5654	268	384290	291057	224	53624	37762	434459	185332	0	622349	44044	26633	42760	3156	25157	75878	0	5030	0	21514	8193	1155	3605	538	0	0	0	193741	0	182979	62105	194	9057	13423	0	700	83761	790	20838	10646	2468	53481	220	114076	101770	101367	337	67571	86302	0	49541	273806	80357	8672	13659	338	0	7927	6528	1083	18964	1945	2923	76093	214	312827	7660	108125	16110	1748	239733	0	0	764998	881	169266	350983	122650	18206	871	66976	41884	1248	400566	44694	541246	4313	29758	413596	20964	222266	558706	305859	332253	294778	1543	504	20087	647	541511	644	78385	508	840	233326	0	71272	180438	138622	56106	36185	168736	14004	5231	15776	284718	11697	22774	15332	33941	180307	404882	732	732657	101766	99060	187903	26736	33355	870	6739	408593	254779	60467	159562	210110	268484	234722	485685	621879	247362	15355	137709	30430	172529	271187	66943	126596	228689	927	148562	7679	118116	92176	764893	501143	243844	364	221724	69549	460621	176986	209033	50061	283856	11485	56523	107760	619942	14063	236390	31549	510496	51964	10572	839361	42371	210100	269293	5159	793302	859782	367806	130621	32020
Bacteroides vulgatus	12590	38655	140139	13349	171501	100355	353556	19721	13133	0	35395	46120	18035	18097	160003	53527	35462	178817	42433	56114	71801	44138	270239	67755	92886	3220	12455	45116	9670	127083	87143	121639	449423	18974	24034	10533	7244	28244	39467	262784	227752	221038	76351	206482	94981	113267	136341	526830	244926	4488	6005	49357	151205	7890	18343	478713	4996	5071	8727	16700	80110	722962	51575	90318	8614	16821	76224	8707	49374	22549	171352	9629	14522	6729	35646	115583	8076	117137	141245	106533	975297	7759	54708	16737	10364	223515	6107	186888	164856	22945	114864	46213	34577	225073	27869	13480	26753	24506	8496	29156	11717	75407	65443	186142	258671	69275	308446	148061	1047474	602173	5453	50924	12257	8615	24274	22321	94542	10847	7116	42524	17418	87511	135068	159238	149157	485270	62266	26579	65639	13700	26708	22502	24197	332561	501285	597624	511844	36120	63785	12032	12424	6576	5839	25985	13747	14701	12087	19393	10994	5611	28292	12989	85376	21173	64433	48719	27557	1250868	219555	60163	127715	19626	40598	1198366	22208	95890	39357	84774	15116	77305	12894	82585	65675	12497	26446	177414	10921	7518	33635	18858	187521	67600	176332	24722	45106	5376	17116	12707	24150	243918	287435
Clostridiales bacterium	26651	23964	1000	17756	216415	61667	46596	3624	9392	17260	131363	2178	3625	88222	35600	12119	30316	37098	51054	194808	196159	122520	22844	151955	10364	45257	24485	93252	40441	8871	22708	6949	14808	5981	69480	27655	50750	143477	8159	11981	6525	204144	2740	79672	24528	67345	5113	21792	84056	70542	28958	36701	77922	47374	48809	16850	25422	9857	81967	35270	77970	2630	58408	86818	98757	82719	27569	64738	56095	19266	80131	5069	90196	31155	17393	67065	62327	193467	79924	185546	4472	83192	21705	197201	148267	18959	173355	135848	411876	132282	124318	17118	287160	131661	145121	48950	46162	17792	108519	78825	70956	5687	72930	63918	205532	21631	465194	108236	13937	107553	2443	8024	94067	73574	142102	276098	118825	164708	138170	317601	256549	48214	277503	204631	380808	125110	17483	105731	304829	48092	123460	82360	75045	578257	21886	162149	41961	62492	218228	110399	54783	47382	10779	60291	24019	6540	56331	20425	25834	26436	173413	187623	199659	29530	13705	389528	158529	4824	153761	36899	50448	129342	349609	914	192136	197142	18317	240441	50812	517188	66217	117197	189923	131642	25208	138744	95408	138859	22556	426133	681309	20053	143973	42923	191857	336929	3336	18556	118999	353292	643966
uncultured Prevotellaceae bacterium	90997	102199	312	161345	45594	5485	638	194360	139815	667	46364	51203	217664	190958	592	42499	35846	47495	15969	103714	1668	20038	413	13639	512	13017	19030	16373	12396	2794	740	445	542	94604	742	173334	86423	566	21872	67984	329	4200	140422	49658	39384	5281	98155	155201	1411	63319	120982	166358	2980	16693	253103	533	106492	132127	149458	14886	8326	6461	1095	48677	2916	2038	30220	3954	9331	100354	120523	149949	16093	58807	23164	2437	90840	466	868	72132	3237	186257	147471	69871	22407	1136	83627	38145	14894	155815	192305	86738	6453	251253	158832	32908	150806	262723	136529	66934	314709	8006	3936	51814	1918	144075	46974	48131	921	2296	41790	439	51967	166677	118421	143050	51220	331991	17747	8342	95558	220336	11487	62134	12971	15347	133965	69125	5963	340793	104462	98687	133639	280215	48595	3553	10368	114953	79968	74740	201905	139478	111433	177843	461260	373107	128220	11231	129416	12657	30723	202404	28920	206111	155095	17723	127457	8167	43722	164245	368447	220842	128442	1597	239634	146938	194924	11705	144791	20518	115454	8451	73090	58933	194527	15931	123231	49122	145027	123663	10651	147930	166511	158182	172691	22844	434593	530229	360632	57318	28904
Oscillibacter sp.	5113	51602	314	22226	78395	51075	24907	2017	10838	274	122604	5746	1828	39943	29682	8340	25383	20921	106047	23466	51911	34863	12293	180114	7570	46017	14395	46732	46317	11644	67119	2158	39863	2545	62586	42752	25033	43027	8728	33969	9614	69282	5278	111605	20345	95767	9848	48486	4773	33719	58269	23264	103574	78071	33818	16654	19078	23803	25549	81496	62601	6340	35992	52281	163550	36102	21640	86237	69105	21186	25200	6252	120741	71418	31180	58181	67656	17082	28081	138546	6840	98635	40675	157514	190884	40840	183158	148340	190495	89297	128377	46035	275490	37355	36164	42368	78582	13042	158322	93639	25765	6523	101406	106011	127475	41615	59525	66432	5954	78534	3004	17729	162573	96986	189423	123017	117539	74833	124485	187814	212059	124879	348764	93234	141498	35873	42253	151075	286126	35122	109883	74144	95306	165557	39276	40532	92878	61532	137428	71847	49937	45531	10483	95973	30607	12198	86321	50204	51480	71684	274512	50692	323044	48383	13361	305159	225657	6951	504173	38798	134142	112188	153059	350	168161	200906	28326	93879	107134	375561	88605	123053	85617	214258	14569	123898	104355	97897	28522	165071	280605	23646	107618	51751	133714	342866	4184	10298	95545	145327	435338
Escherichia coli	7540	75891	26228	7661	5722	38501	37734	9646	4102	1847	3793	7219	10557	11906	52829	2373	2474	14770	16832	4197	7730	2851	785	14800	2532	2432	2651	57836	1696	152670	78530	2274	22156	8404	14069	3683	6561	2739	34168	2858	53368	3041	9344	30721	29383	4635	22788	3182	4916	3347	6247	10439	7622	1805	6974	8265	8493	3403	4186	48671	6451	7785	5907	4434	25606	225725	43284	43023	140895	9031	2701	17734	2707	6980	9672	14096	3846	1926	3589	75430	24601	913903	16938	203874	7455	114762	987183	14932	15133	7709	13506	422820	7026	7117	16507	2697	11254	469779	19487	13365	5220	11735	96922	4639	87335	284818	5798	44560	51462	48628	4112	3826	23407	28351	11046	5088	29113	6672	5817	36859	14070	11734	28571	91811	22713	129318	7966	25092	13119	10143	131690	47278	59162	5832	10555	3279	41412	31902	18026	20222	16253	127246	11530	98933	5914	13637	53072	9465	4429	8335	20885	9579	8601	4957	1937	22368	12470	856377	462549	12322	136996	9089	10089	2277576	60531	9950	24991	31876	234658	12666	13854	41037	17932	84486	3936	130009	5038	26872	36092	6306	67056	70478	7109	12959	9887	24553	11520	131475	19960	33482	69372
