SRR13378614	SRR13378610	SRR13378559	SRR13378572	SRR13378597	SRR13378569	SRR13378573	SRR13378607	SRR13378577	SRR13378635	SRR13378632	SRR13378554	SRR13378574	SRR13378624	SRR13378623	SRR13378596	SRR13378583	SRR13378578	SRR13378618	SRR13378592	SRR13378626	SRR13378599	SRR13378591	SRR13378588	SRR13378631	SRR13378604	SRR13378620	SRR13378551	SRR13378546	SRR13378593	SRR13378590	SRR13378564	SRR13378613	SRR13378634	SRR13378556	SRR13378550	SRR13378598	SRR13378560	SRR13378584	SRR13378605	SRR13378547	SRR13378585	SRR13378575	SRR13378581	SRR13378562	SRR13378633	SRR13378587	SRR13378608	SRR13378611	SRR13378616	SRR13378565	SRR13378595	SRR13378579	SRR13378625	SRR13378609	SRR13378586	SRR13378621	SRR13378567	SRR13378622	SRR13378558	SRR13378606	SRR13378603	SRR13378576	SRR13378594	SRR13378582	SRR13378548	SRR13378627	SRR13378561	SRR13378549	SRR13378619	SRR13378568	SRR13378571	SRR13378555	SRR13378570	SRR13378612	SRR13378617	SRR13378589	SRR13378557	SRR13378600	SRR13378630	SRR13378602	SRR13378629	SRR13378566	SRR13378552	SRR13378601	SRR13378553	SRR13378628	SRR13378580	SRR13378563	SRR13378615
Milneviricetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Monjiviricetes	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	3	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	2	0	0	0	0	1	0	1	0	2	1	1	0	0	0
Ellioviricetes	0	0	0	0	2	1	0	0	1	0	0	0	1	1	2	0	0	1	1	2	1	4	0	0	0	4	0	1	0	1	2	0	0	0	2	2	0	5	0	0	0	1	1	2	0	1	2	0	0	0	0	2	0	4	1	0	0	0	0	0	0	0	1	0	0	0	0	13	0	1	0	0	0	0	0	4	0	0	0	0	1	1	5	0	4	0	2	0	0	2
Chytridiomycetes	100	188	49	448	254	33	276	168	85	276	85	20	51	42	96	68	150	96	51	162	180	226	48	117	56	147	253	107	253	111	100	53	101	116	64	195	75	74	60	127	41	36	338	188	171	127	249	33	71	390	26	259	93	117	144	113	54	96	17	174	31	135	136	57	94	99	113	53	27	90	31	125	46	28	98	73	41	54	215	44	130	101	409	40	227	76	403	66	267	122
Monoblepharidomycetes	3	17	6	7	8	4	6	15	9	11	4	3	8	4	14	5	2	2	4	9	9	20	3	6	5	4	10	5	5	2	5	4	9	19	0	3	4	9	3	25	2	6	21	4	25	7	21	4	22	7	1	31	9	4	4	3	7	0	3	4	5	23	25	6	38	4	28	6	15	73	2	4	1	3	6	5	3	8	18	4	4	14	25	2	25	10	63	29	13	9
Neocallimastigomycetes	564	140	32	772	707	150	1239	25	212	654	195	31	102	22	151	20	248	261	79	284	1877	70	70	112	85	1664	110	7	88	348	142	228	282	61	239	201	211	217	8	66	239	66	280	493	101	121	67	9	22	187	40	1016	165	124	979	37	107	135	68	196	3	70	52	71	33	209	130	87	123	190	27	319	93	26	32	132	217	312	68	78	597	111	2292	114	1888	108	582	61	1520	429
Blastocladiomycetes	23	41	19	7	24	11	121	42	21	51	31	8	5	13	29	31	22	4	8	25	21	41	31	44	15	15	29	35	3	11	5	14	52	35	3	41	13	26	34	17	11	13	142	17	50	19	35	8	29	33	2	40	43	27	34	22	26	3	6	20	4	48	32	24	64	11	22	9	5	20	7	22	9	4	49	16	7	6	120	15	20	44	43	9	19	28	61	21	49	22
Glomeromycetes	6601	1392	750	10079	8553	2292	15505	691	1760	8553	1301	268	1645	436	2122	701	3945	3457	1145	4723	15732	1124	492	808	1034	15450	2184	185	1836	5113	1181	2469	2933	1180	2327	1300	2312	1439	478	1121	3745	680	4861	7823	1917	1773	1058	320	429	2195	581	13805	1243	1842	9402	960	1069	2449	671	2879	159	1162	859	506	1052	2761	1299	1212	797	2822	374	2978	805	465	761	1673	2807	1802	1213	976	6129	955	23012	723	17977	531	7091	724	13144	4914
Endogonomycetes	4	2	1	8	2	2	5	6	0	0	7	0	16	3	0	4	1	2	3	0	1	4	4	1	2	1	9	0	3	1	2	2	1	11	0	2	1	2	1	5	0	3	11	14	15	2	9	0	2	1	0	4	13	3	1	2	2	1	6	2	1	8	6	0	0	3	1	2	8	0	1	3	1	18	3	4	1	0	13	3	4	6	5	0	5	2	9	3	2	1
Mucoromycetes	5510	1005	1035	8481	5509	2547	12385	1249	1084	6434	779	289	1767	778	1405	885	3689	3479	1682	5386	9756	956	562	610	376	9979	1420	304	2570	3842	775	2990	2041	715	2536	1571	1438	802	825	666	3994	506	3888	6471	2989	1090	1454	411	514	2057	482	11043	1154	2258	7945	1100	536	2674	401	3704	248	1672	1585	483	1451	1903	644	1141	597	2698	490	1687	656	490	985	1008	1088	636	1369	869	4368	959	15696	587	11013	987	5419	629	9049	4225
