SRR13378614	SRR13378610	SRR13378559	SRR13378572	SRR13378597	SRR13378569	SRR13378573	SRR13378607	SRR13378577	SRR13378635	SRR13378632	SRR13378554	SRR13378574	SRR13378624	SRR13378623	SRR13378596	SRR13378583	SRR13378578	SRR13378618	SRR13378592	SRR13378626	SRR13378599	SRR13378591	SRR13378588	SRR13378631	SRR13378604	SRR13378620	SRR13378551	SRR13378546	SRR13378593	SRR13378590	SRR13378564	SRR13378613	SRR13378634	SRR13378556	SRR13378550	SRR13378598	SRR13378560	SRR13378584	SRR13378605	SRR13378547	SRR13378585	SRR13378575	SRR13378581	SRR13378562	SRR13378633	SRR13378587	SRR13378608	SRR13378611	SRR13378616	SRR13378565	SRR13378595	SRR13378579	SRR13378625	SRR13378609	SRR13378586	SRR13378621	SRR13378567	SRR13378622	SRR13378558	SRR13378606	SRR13378603	SRR13378576	SRR13378594	SRR13378582	SRR13378548	SRR13378627	SRR13378561	SRR13378549	SRR13378619	SRR13378568	SRR13378571	SRR13378555	SRR13378570	SRR13378612	SRR13378617	SRR13378589	SRR13378557	SRR13378600	SRR13378630	SRR13378602	SRR13378629	SRR13378566	SRR13378552	SRR13378601	SRR13378553	SRR13378628	SRR13378580	SRR13378563	SRR13378615
Negarnaviricota	0	0	0	0	3	1	0	1	1	0	0	0	1	1	2	0	0	1	1	2	2	5	1	0	0	5	0	1	0	1	3	0	0	3	2	2	0	7	0	0	0	1	5	2	0	2	3	0	0	1	0	4	0	4	1	0	0	0	0	0	0	0	1	0	0	1	0	13	1	2	0	0	0	0	0	6	0	0	0	0	2	1	9	0	6	1	3	0	0	2
Chytridiomycota	668	345	87	1227	969	187	1521	209	306	942	284	54	161	68	261	93	401	359	134	455	2067	316	121	236	146	1816	374	119	346	461	247	285	392	196	303	400	290	300	71	218	282	108	639	686	298	255	337	46	115	584	67	1306	267	245	1128	153	168	232	88	375	39	229	213	134	165	312	271	146	165	353	60	449	140	57	136	211	261	374	301	126	731	227	2727	156	2141	194	1049	157	1801	560
Microsporidia	700	142	39	835	696	173	1270	201	227	833	160	21	135	35	200	58	252	300	68	354	1406	189	51	97	135	1245	265	17	88	456	126	151	260	116	183	114	200	186	69	234	314	48	307	538	168	160	74	22	37	194	25	1112	126	126	622	86	226	160	61	176	12	86	93	53	54	302	148	96	88	247	13	350	83	30	72	266	246	209	141	64	394	74	1793	83	1586	99	767	67	1186	535
Blastocladiomycota	23	41	19	7	24	11	121	42	21	51	31	8	5	13	29	31	22	4	8	25	21	41	31	44	15	15	29	35	3	11	5	14	52	35	3	41	13	26	34	17	11	13	142	17	50	19	35	8	29	33	2	40	43	27	34	22	26	3	6	20	4	48	32	24	64	11	22	9	5	20	7	22	9	4	49	16	7	6	120	15	20	44	43	9	19	28	61	21	49	22
Cryptomycota	12	16	4	39	15	5	77	2	2	10	3	1	3	0	3	3	12	10	1	15	24	5	7	33	5	26	7	3	0	6	2	19	14	20	5	130	5	5	2	8	19	9	29	21	1	6	4	1	2	0	10	74	5	2	21	6	41	4	1	8	0	1	1	8	25	3	3	4	7	15	0	10	2	3	3	10	5	3	3	2	105	1	80	15	16	3	23	4	69	11
Mucoromycota	12427	2501	1796	18763	14212	4928	28309	1995	2855	15151	2104	574	3511	1223	3592	1635	7728	7039	2882	10208	25750	2127	1069	1482	1438	25538	3707	508	4490	9044	1968	5476	5087	1968	4946	2909	3881	2257	1348	1834	7816	1212	9014	14578	4982	2915	2615	733	985	4338	1068	25066	2468	4218	17568	2131	1641	5247	1114	6692	428	2898	2521	1004	2586	4716	1980	2393	1405	5593	872	4780	1475	983	1795	2771	3936	2449	2629	1857	10659	1956	38976	1329	29188	1590	12836	1399	22420	9273
Zoopagomycota	995	675	152	1639	1339	313	2898	269	394	1345	397	101	349	132	649	171	607	544	199	1052	2658	426	130	204	333	2666	762	136	305	1118	319	509	656	438	402	372	586	397	268	483	671	217	1252	1459	614	563	361	96	213	495	83	2421	333	358	1428	191	312	371	162	567	56	334	265	380	308	541	411	358	230	708	70	828	195	179	208	497	693	385	461	229	1174	361	3616	219	3075	261	1973	237	2208	779
Ascomycota	32416	28340	11671	63397	47527	15886	73721	28612	20812	59247	19532	4228	21530	7194	27801	16279	42728	23412	12888	43458	73299	31477	7886	16375	11882	70717	36193	12842	16814	30486	15281	18109	26781	21036	20776	28606	24597	17900	22572	21755	18329	8668	81028	45697	51995	28653	27180	10508	16562	28678	6790	76357	25779	24833	51924	21715	19841	16117	6379	26790	6013	38568	25016	13344	25180	18962	20780	12101	8279	25172	7936	30889	8061	8348	24370	20021	17278	13285	43202	12020	37441	36464	105567	9879	78378	31690	85227	15426	64551	29234
Basidiomycota	7071	8676	3314	13037	10002	3881	15495	5494	4801	10605	4431	1067	4670	1605	7584	3578	5298	4714	2306	8909	13350	7323	1808	3696	2910	11622	9051	2763	3612	6057	3037	4599	5525	5394	4203	7394	5051	4130	5969	6041	4133	2004	21153	10736	12053	7078	6094	1878	4505	6369	1866	15202	6024	5557	10736	3442	4341	3038	1253	6340	1437	13413	6232	2738	6364	4738	5012	2664	2104	6444	1782	6132	1949	1922	4504	5068	3626	2814	10813	2865	8250	6270	22362	2034	15289	8012	18279	3691	12643	6187
Proteobacteria	296846	170073	105057	408720	218963	176024	311490	215431	257885	181694	232090	73697	196549	61409	562651	152739	341167	1394818	56173	436263	142071	137531	113893	303316	175020	68641	259948	139569	44791	288760	145623	743388	138107	283698	166712	209833	329188	158999	190661	144535	328067	177919	826445	724864	217707	122715	422679	395273	187443	999094	114159	413145	209466	856471	298638	184322	152914	828682	53050	654531	29899	267006	464773	63765	106508	1384589	120406	75155	180974	210469	33499	354572	56074	197089	583630	94251	113689	154025	588405	234186	266376	295926	1353584	241801	220092	295215	524340	512585	1421080	191923
