SRR1927149	SRR1929408	SRR1929484	SRR1929485	SRR1929563	SRR1929574	SRR1930121	SRR1930122	SRR1930123	SRR1930128	SRR1930132	SRR1930133	SRR1930134	SRR1930136	SRR1930138	SRR1930140	SRR1930141	SRR1930142	SRR1930143	SRR1930144	SRR1930145	SRR1930149	SRR1930176	SRR1930177	SRR1930179	SRR1930187	SRR1930244
Monjiviricetes	2	4	3	0	4	1	1	0	4	0	0	0	0	0	0	0	3	1	2	4	1	2	0	0	0	0	0
Ellioviricetes	6	9	2	1	2	0	2	0	1	8	1	0	7	1	1	3	4	0	0	0	6	1	0	0	1	0	0
Insthoviricetes	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	3	0	0	1	0	0	0	0
Mammalia	3276	3352	985	569	1549	1342	2652	1462	3406	1409	471	475	2308	920	552	662	3015	654	856	383	1690	582	364	576	343	823	1055
Chytridiomycetes	361	398	73	52	167	142	421	123	403	101	49	79	236	74	34	59	381	97	60	57	171	38	24	30	12	60	80
Monoblepharidomycetes	29	52	4	8	18	6	32	11	39	7	7	6	17	14	7	7	52	17	11	11	6	5	2	6	3	6	9
Neocallimastigomycetes	681	777	329	191	446	416	336	609	565	450	97	65	472	268	65	177	626	72	141	61	333	178	93	167	75	218	237
Blastocladiomycetes	26	55	16	9	13	21	73	11	94	17	3	27	12	5	3	8	73	33	7	10	11	27	0	9	2	3	21
Glomeromycetes	8128	8841	3402	1898	4576	3544	5618	5119	7339	5104	1311	880	5878	2833	1115	1926	7091	1076	2026	814	4470	1292	1110	1743	1153	2233	2598
Endogonomycetes	0	35	4	5	6	5	23	5	32	5	1	4	2	5	1	3	12	1	1	4	6	3	1	0	0	6	6
Mucoromycetes	2913	2667	945	580	1968	1127	2840	1866	2886	1451	275	365	2414	1088	355	590	2831	397	434	294	1205	499	303	494	338	1185	764
Mortierellomycetes	110	224	64	51	109	103	286	48	268	95	61	20	122	85	117	56	264	105	163	20	97	44	13	75	15	13	62
