SRR1927149	SRR1929408	SRR1929484	SRR1929485	SRR1929563	SRR1929574	SRR1930121	SRR1930122	SRR1930123	SRR1930128	SRR1930132	SRR1930133	SRR1930134	SRR1930136	SRR1930138	SRR1930140	SRR1930141	SRR1930142	SRR1930143	SRR1930144	SRR1930145	SRR1930149	SRR1930176	SRR1930177	SRR1930179	SRR1930187	SRR1930244
Negarnaviricota	8	13	5	1	6	1	3	0	7	8	1	0	7	5	1	3	7	1	2	7	7	3	1	0	1	0	0
Chordata	3276	3352	985	569	1549	1342	2652	1462	3406	1409	471	475	2308	920	552	662	3015	654	856	383	1690	582	364	576	343	823	1055
Chytridiomycota	1072	1227	406	251	631	565	789	744	1008	559	153	150	726	356	106	243	1060	186	212	129	510	221	119	203	90	284	326
Microsporidia	1073	1203	445	209	552	419	742	605	941	655	146	94	780	326	126	227	992	135	238	121	597	138	94	188	512	189	370
Blastocladiomycota	26	55	16	9	13	21	73	11	94	17	3	27	12	5	3	8	73	33	7	10	11	27	0	9	2	3	21
Cryptomycota	73	70	37	13	17	18	19	11	49	27	9	5	54	7	6	20	34	11	5	4	8	2	0	15	17	13	25
Mucoromycota	11151	11768	4416	2535	6660	4780	8768	7039	10526	6655	1649	1269	8417	4012	1589	2576	10198	1580	2626	1133	5780	1839	1428	2313	1507	3437	3430
Zoopagomycota	2455	2759	1009	531	1632	1140	2540	1203	2739	1386	380	342	1739	806	330	573	2522	430	581	281	1399	460	302	507	311	606	781
Ascomycota	57320	80087	22220	13018	37411	29586	83154	30117	81403	34245	9848	16164	41733	19707	10931	15700	81881	22733	15983	10155	36413	11630	5318	12378	6159	12514	18296
Basidiomycota	13924	24937	6307	3796	10194	7771	23341	7454	23123	8763	2533	4241	10486	4776	3062	4097	22535	6030	4153	2583	9449	2997	1344	3278	1913	3515	4442
Proteobacteria	715892	1393438	382787	187610	186764	116466	441757	411852	284323	259246	102162	173601	440952	52265	54804	84219	420570	132408	64440	26498	115607	21134	12057	47400	81596	93036	88665
Fusobacteria	5969	2994	956	557	1203	1015	2086	927	3188	1381	267	338	5609	726	274	576	2521	319	379	197	1128	266	228	409	215	457	10399
Nitrospirae	572	1245	290	157	339	307	1348	289	1168	229	121	278	439	185	131	154	1163	571	147	192	407	109	53	116	72	127	188
Acidobacteria	1219	3805	769	407	1398	1054	6335	1065	4397	687	266	1581	1121	566	647	473	4823	2442	594	795	1205	483	130	230	162	184	573
Dictyoglomi	9	20	3	6	18	12	20	4	21	11	4	5	9	4	3	6	19	3	2	5	7	6	2	11	0	2	14
Elusimicrobia (74152)	24070	60215	14367	7313	453	954	1352	17068	16550	289	1405	279	11177	550	633	342	4849	1223	620	178	411	276	46	154	3805	140	157
Aquificae (200783)	133	196	53	30	68	53	154	54	192	53	24	21	107	34	21	27	178	28	26	17	71	20	4	21	50	13	48
Thermotogae (200918)	409	777	219	125	270	257	550	205	788	267	93	115	376	147	94	100	695	128	120	106	393	81	55	81	60	136	253
Deferribacteres (200930)	160	300	100	58	74	116	198	111	237	101	27	40	133	49	27	55	273	37	41	41	86	36	17	52	34	42	43
Chrysiogenetes (200938)	2	17	6	2	4	9	32	9	19	3	2	4	9	5	6	3	40	15	7	11	14	2	4	1	4	4	7
Thermodesulfobacteria (200940)	85	59	17	11	19	12	41	21	35	16	4	18	48	15	3	5	47	10	5	9	24	11	7	12	6	12	18
Spirochaetes	118983	658066	141877	87321	169983	59452	280313	108998	139541	86173	46955	10127	134357	21368	10972	34003	327518	7945	15082	18855	127589	16858	82489	7403	80981	266152	499304
Synergistetes	265	717	157	73	146	155	749	120	844	118	64	186	194	84	79	39	619	294	80	85	174	52	20	21	44	53	60
Calditrichaeota	93	109	19	13	27	33	73	31	93	16	7	9	74	19	12	16	77	21	9	11	75	4	3	4	10	15	20
Coprothermobacterota	2	6	0	0	0	0	2	1	1	0	0	1	0	0	0	0	3	6	6	1	6	1	0	0	0	0	0
