A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A3	A30	A31	A32	A33	A34	A35	A36	A37	A38	A39	A4	A40	A41	A42	A43	A44	A45	A46	A47	A48	A49	A5	A50	A51	A52	A53	A54	A55	A56	A57	A58	A59	A6	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A7	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A8	A9	B1	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B2	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B3	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B4	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B5	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B6	B60	B61	B62	B63	B64	B65	B66	B67	B68	B69	B7	B70	B71	B72	B73	B74	B75	B76	B77	B78	B79	B8	B9	C1	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C2	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C3	C30	C31	C32	C33	C4	C5	C6	C7	C8	C9
c__Bacteroidia	2273506	1974321	3385925	2586630	788054	1326404	2163114	2917717	2583257	58188	1747021	2476776	2773457	2159246	2935227	2303965	1634705	1931310	716225	1484893	1226129	568566	2121081	1043801	2201881	673943	1272753	993460	854992	3093974	2018262	2464455	2358743	2596078	1820038	3521748	1357965	1615343	2018190	1776686	1331204	904983	3265212	2011383	2165896	1087983	1532873	4866971	1614362	1487691	1979417	2605252	1247868	1233648	1754000	1439428	1362493	2097135	1906575	740098	729136	2483559	876893	977627	384283	561590	1965980	462768	705442	2425731	1284918	2644184	1529612	1556914	1156242	444043	1535036	1316789	1272931	3826336	7170307	2527543	3790601	2461166	1315525	3606098	2452598	1873700	2124413	4501738	3618274	5801462	887868	4393694	4369491	1772604	4024241	5422795	3030645	2410632	4086336	3108789	2962299	3345423	2146060	3647197	2756865	2278281	4816231	3144724	6447291	4301353	1854917	4012437	3777574	3023193	3819030	3364319	911736	1537124	3010222	4583445	1690583	3662131	1903868	2685796	3746990	2898080	1905818	5148498	3529103	2994346	3451760	3819206	4293816	2945967	3936241	3381587	2337038	1480172	3027462	3227408	2845795	4044229	4374752	7305230	3674939	672845	4064433	1840136	1642592	5552734	2023024	5273492	6217116	3570607	4156863	6446619	4607067	11434437	9243612	6049721	5347172	7084717	5242024	4809342	3257735	1775969	2781234	3089407	3434545	1489357	2726562	2361404	4841069	2481863	3389102	1908616	4440354	1952427	3917511	5621855	3513073	3492373	2716302	3314596	10183755	9872869	8534754	4180411	2660993
c__Clostridia	625068	1094414	355993	864997	1915452	1458580	963941	403576	549011	106933	3885781	225182	56629	1169496	405866	350647	1036343	679133	1730528	1075758	1451908	1260591	882849	1719270	891203	738976	1031397	990307	1662537	876805	1065033	643206	566266	295005	1274822	1136322	891606	1146234	497906	855485	1469751	1805621	364272	1951220	434671	1903109	698099	1099070	1025156	640768	933526	1143312	1513629	1791301	856529	1297324	1013696	610998	575086	1502613	1670438	655688	1676330	1524565	1783458	718748	1206631	1984540	1902476	734249	1999249	557954	1573718	1508906	1389915	892718	1529993	1225018	1776133	5862718	1688104	2193168	795405	2795275	2969006	3403300	2600764	2811146	4332287	3149647	2715284	926537	5087600	2395359	1859325	4660227	1694527	1296634	2900450	2501704	1207741	2394090	4383890	2300802	3845889	2151663	3636800	3553461	2263342	3281305	446975	2284514	4883342	1526693	2883379	3469118	3877257	2584569	2445988	3333369	3462918	2165901	4560967	2603470	2278429	3367442	2603637	3518287	3813240	1134506	3189650	2499493	2702788	5596428	1991364	1527314	2209132	2315599	1948157	2170133	975030	1342320	461885	2653475	1014389	377096	1969750	2887672	2511775	3868550	4877692	2240785	4252275	1030870	566844	2974170	3300141	738530	5800938	2282232	2641160	6093105	3973782	3337649	3173981	5368235	1638063	1388894	2705811	6773546	2371345	3185546	2946000	2730235	954771	3760458	1915844	2238359	1321048	3477253	5464362	1121604	3855784	1889977	2462808	6484640	422939	854848	3613860	6885771	6472204
c__Gammaproteobacteria	29609	165760	30131	125847	38511	71075	45190	40141	25468	6766	50731	109389	141032	41824	73442	24838	36375	373934	38715	16072	23359	282475	9894	236347	32420	20508	33163	204378	10731	143978	135563	54941	53923	38044	28157	21994	18081	46293	685107	36903	691177	20308	71438	34638	22377	320036	43888	60055	65028	73973	172950	41864	18846	58701	305149	131211	298858	485307	110619	86078	35770	73915	32148	15225	36724	290252	78140	77883	366851	27344	27120	51095	28467	129970	249519	56677	39596	4231	26959	2358982	126158	1374936	141120	252736	199122	898974	1408304	1108162	225886	44541	93636	1003257	43867	99721	639881	118774	702936	791165	664961	696341	31139	1300747	220553	92275	518704	730186	123810	111893	133474	101073	83087	378524	823881	790684	219459	24470	94408	56469	254962	349712	66670	76212	700922	155423	96123	1641242	579177	116963	455136	66640	324225	790914	968831	1127306	152338	95997	275404	117372	121782	1771108	1341460	734228	51383	391215	62797	429588	356990	3335540	296635	419105	1691336	59325	722433	973848	39261	94213	223186	1170030	1314748	580705	510337	740993	867844	4135276	1296200	130818	171692	1843668	500013	109914	454888	436116	193775	278439	320891	209869	332349	183582	199682	87378	133441	265920	1009903	499979	100418	169518	1645852	536072	668045	121792	294164
c__Clostridia_A	7929	78274	1313	70560	287325	196800	32677	2469	12209	486218	481216	1785	425	102904	21724	9647	32271	82012	179596	278100	216825	345079	28624	286630	5532	385127	24043	176340	196367	11422	20399	3168	14510	2662	472459	96290	90892	200914	6241	13761	9002	679919	2842	26838	17493	266065	5717	59487	67326	160106	105436	26040	95545	93653	78269	96198	56919	20201	116544	120094	265642	3351	104077	202465	283838	149054	84920	164981	115464	22678	87228	8167	136358	114879	75656	1209522	86629	191119	159459	691329	5447	134726	28976	826447	745805	28558	348068	566744	654734	252494	366154	34893	1063920	191266	170874	365459	65048	14537	756780	475456	97963	19092	30818	96612	456536	21742	463220	296673	16965	128763	7252	7686	285957	180419	284546	946371	169986	293727	736861	1128876	1205278	103949	554523	618168	2224295	174311	28831	255771	755373	82744	296293	224370	192703	846482	24780	370816	72494	124078	435514	208146	110557	260687	6378	94699	35236	12590	72949	438668	98082	307685	554605	206437	460188	93968	9566	861482	317955	9438	529029	50764	135425	115846	1247403	7031	268624	1239101	16043	653169	276376	824086	122944	996373	275440	405448	32037	223625	289145	1031116	21784	706851	2264947	20425	337571	111804	762276	2066622	17161	18218	280575	741578	3341675
c__Bacilli	31247	15046	3206	28324	65171	14368	7046	6725	8948	1369465	245846	4941	16005	39463	23064	6280	24303	12103	36219	23953	61215	50654	9125	53741	13392	29816	139355	28030	59841	17820	9086	17126	9024	18428	9375	42549	23350	12075	26952	12441	85993	53954	11114	19938	7517	33707	12437	31314	72806	41272	36929	24562	14938	52978	23665	11518	25279	12098	68619	33001	35115	7892	26219	385908	50893	18651	41557	54994	45916	33697	6421	46534	57258	31018	19105	10649	64052	9560	25597	294638	8869	16504	26602	91688	55606	46329	79273	74051	84111	85505	53049	22166	97486	53497	76799	58031	41078	26513	38422	81915	52933	16031	78620	136116	15218	27095	58967	109615	10323	27240	34899	19849	84957	103647	19833	61126	74314	27526	94978	48874	113940	29055	139709	24531	73486	93517	30293	28095	106149	48460	16862	50409	59046	160441	80655	16652	53716	149504	63022	74743	22972	75473	20481	79722	24221	32910	106777	1402112	85177	131535	59407	62891	87734	64161	19548	103830	18526	52387	205591	158615	32410	72174	169774	24641	70506	162594	27264	71671	27547	188354	79782	49992	23338	64578	39448	24001	73077	48502	28229	92353	198747	18297	210794	106850	80169	153072	31395	35859	179132	71535	176599
c__Negativicutes	4536	8436	42298	23825	31651	34840	18173	39103	2864	8970	49393	2978	16663	10343	6094	5165	8899	23991	7699	14294	20313	4764	17056	52921	8237	13051	39854	19037	14275	5927	5732	17600	21091	13967	7865	15060	7034	7557	15501	6555	80036	40397	19303	17199	21831	15371	9627	35131	35908	15288	76907	26564	27556	21818	9762	16199	28593	58925	52087	31928	22816	7058	14375	12104	26906	7193	23323	43466	78944	46132	15474	52084	14752	46821	25209	16420	45096	26775	8135	166896	8262	79730	17630	32347	46629	34909	133549	59289	46493	32970	47598	20027	23176	18023	19264	26719	25723	8709	25973	28963	23093	25577	58175	23615	31968	8715	30947	85354	241733	32382	45802	17555	47741	85776	40067	26075	52872	15041	27874	42994	90968	30168	36092	126490	41850	24138	71617	39711	66713	55366	67672	27526	25726	287864	13066	498589	38001	24152	30855	19561	6212	31324	34029	62433	22015	44832	144952	1103322	53990	99875	152405	23903	66634	18489	5352	34067	48242	178071	75965	98921	204077	37111	57218	138631	117381	36111	66308	93276	81266	189715	21969	38588	105463	35400	17837	67423	27399	21926	28648	41550	124187	36261	313666	98992	15791	260211	138718	36554	45180	50825	60817
c__Lentisphaeria	0	14792	0	25864	3679	70308	0	0	39748	0	16671	0	0	16460	1354	273	11318	11044	0	4588	15335	66692	2719	67474	0	65105	0	4857	57413	8692	5869	0	0	0	10794	3519	4920	17056	0	7887	0	11426	2022	1611	6350	108080	1934	927	279	45375	11810	16524	18660	39103	2287	0	18734	2510	38984	124179	3218	0	4642	12605	24198	6529	3447	120807	11068	0	1678	0	30256	14168	12929	39392	13577	0	366	46178	0	349454	4388	96298	109311	3619	44882	53600	50320	38862	11017	6107	567	803	5847	71946	13307	1803	34114	45315	5494	2575	374	2557	60824	3347	2142	45105	976	11074	0	0	93974	25613	73281	62322	79318	11052	23963	68796	72509	540	107863	208734	98727	0	13729	45584	247030	5356	10450	6357	5255	175728	11547	25668	14374	58013	6627	17740	23148	26133	1250	6048	2086	787	32642	49266	59356	24985	20852	4846	62227	5637	0	311163	82461	2244	53543	1697	30384	4170	436936	1893	35649	52235	0	50588	20291	16838	6597	422321	53945	42734	0	284	17371	258929	1695	31634	152646	1788	181340	23684	102983	179646	1186	415	8888	25364	295818
c__Verrucomicrobiae	6164	415	0	18605	58486	71006	16010	0	7168	340	11050	0	0	12990	12105	0	0	39072	609	16758	2302	86119	436	7828	29356	3697	410	51958	67993	3365	51281	483	93481	884	173939	5732	7377	2786	433	2024	123788	14708	921	502	0	27120	0	1707	0	29954	1843	305	10405	19373	4759	57179	4417	709	2051	12787	27974	8145	36379	786	109231	77039	1284	10395	56215	632	15831	0	112361	2608	105965	142007	830	276	7560	2569	554	9279	405	161033	182865	44248	5453	37564	29518	1688	1128	3029	10187	9911	1410	19392	1105	1057	4955	37890	544	9979	76762	27362	180324	6563	21962	35101	521	41614	322	4610	62720	6290	63893	17325	2989	1126	90694	252640	10983	912	39818	106761	81413	2268	5921	49214	34413	2695	7480	3577	3427	210468	14083	8399	29661	2405	24849	35919	2734	20298	321	816	459	1489	912	218573	4236	21804	73919	1141	2397	683	259	67940	77858	405218	3485	246558	5343	5844	109028	392	2216	71222	952	21247	15640	32917	27094	15821	5279	10126	2596	20470	38429	59290	890	6098	341575	955	70834	14904	13967	748236	630	524	6616	178659	76801
c__Vampirovibrionia	989	637	368	55800	1098	4730	703	0	0	5280	28389	0	0	34893	626	284	14442	3878	696	2902	1013	5202	10452	1431	401	6289	298	374	35383	4316	599	622	866	0	1107	4063	12028	1815	0	1005	1229	9237	21474	680	279	2971	636	2514	669	0	0	395	855	35264	55545	3609	18466	77143	18401	784	948	627	2576	2584	12670	1515	436	4285	9935	14665	1125	421	24340	14782	4242	2009	127555	1207	46288	126925	2643	6697	2357	25801	12962	33420	3013	32072	14980	55482	95064	24210	1322	30443	46279	80465	32319	153598	7131	55464	187729	2641	705	62844	1193	22514	17576	11066	84737	4058	512	1868	14185	30646	7892	10821	46964	95486	13869	7691	13352	88235	14634	3236	29335	4902	13241	25530	43294	69224	5485	60009	68546	275880	6841	65693	10192	163089	40931	1638	29721	114446	13912	51570	28625	2834	2527	193398	832	39628	41313	873	2947	61161	330	12331	3209	24732	5699	6031	1987	202305	90301	3625	10258	584251	3588	4016	20622	81151	76134	10599	5273	29077	1294	20934	47446	4033	12185	4337	54039	21635	139462	7383	73182	8334	3076	51484	35877	58895	10021
c__Actinomycetia	2580	6643	11879	7610	13063	13812	41688	2437	3231	22802	23474	5080	3385	6924	7230	2476	3639	6372	11793	10464	15256	7169	3345	45808	32866	9998	31312	24696	219761	7341	5000	4541	9874	3303	10238	10380	7257	26441	2358	8100	179520	8223	3740	17270	3627	10212	15957	20110	17214	34563	17066	26481	126503	11950	5897	6765	6533	13693	11428	8140	6940	4326	6763	12230	8549	10929	93193	8678	9406	9879	6588	7744	14566	12793	6748	13108	6534	4420	10575	25957	185803	17917	8116	25718	29602	23408	22694	17502	68852	19011	24114	8430	32228	20119	17260	16889	10872	10120	15289	15568	11007	7394	21301	14936	43242	8546	17302	77268	9534	17572	8083	8050	20179	18708	15278	20030	29501	16265	24992	33149	33059	10629	28244	26916	20335	15286	7838	13154	16541	8227	21497	12606	13342	24470	10503	7905	7617	21559	8907	16615	7433	17898	4132	11709	6338	8851	138696	31800	12725	26270	26068	19108	32730	11069	4856	207712	17005	13814	25608	22714	13720	33457	38606	16410	21644	49158	5524	169157	15026	31974	25259	26073	18335	24227	13433	9088	25010	31877	7013	27214	31023	5839	16322	28481	25847	84809	9963	9389	38698	23203	50776
