A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A3	A30	A31	A32	A33	A34	A35	A36	A37	A38	A39	A4	A40	A41	A42	A43	A44	A45	A46	A47	A48	A49	A5	A50	A51	A52	A53	A54	A55	A56	A57	A58	A59	A6	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A7	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A8	A9	B1	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B2	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B3	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B4	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B5	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B6	B60	B61	B62	B63	B64	B65	B66	B67	B68	B69	B7	B70	B71	B72	B73	B74	B75	B76	B77	B78	B79	B8	B9	C1	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C2	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C3	C30	C31	C32	C33	C4	C5	C6	C7	C8	C9
g__Prevotella	2091464	1106539	11496	2213607	244776	76415	13200	2709001	2363988	2538	551766	2067697	2441472	1834342	8387	2045548	1160471	434110	223455	608165	57432	295124	9810	321236	7923	186904	1078786	65309	118667	362518	7508	10245	15904	2453163	4235	2622175	1045530	5464	1491246	906761	10261	58669	2452584	75857	1266370	85382	796167	2926769	20209	950360	1500500	2278614	21834	311760	1502703	10237	1017368	1731538	1525677	250765	190516	20404	4259	397027	66236	41415	1119881	53737	154571	2103061	273311	2517053	181227	1212107	573767	15130	1278467	9304	8848	2029682	59323	1960630	3277152	779137	284652	27205	1562587	1144368	368110	3795277	2313096	4904646	70430	3172190	3365972	764685	3510675	4910661	2510324	1747179	3452564	882097	20787	2023929	19809	3006605	571127	1255115	24567	74036	5915205	31064	654682	3198215	2614981	2555754	1968274	3092893	140113	94867	751949	3763935	139936	656835	140854	367180	2619763	1733205	13919	4824584	2611804	2277770	2676769	1398675	2112139	157315	1679649	2833942	1688019	1149084	2694486	2696426	2347264	3078896	4042798	6848313	2659489	153743	2992663	626153	647214	4694217	857601	4814897	5661201	57241	2830031	276950	1121128	10318419	7448778	4997467	3133206	66870	4150216	3746017	2865044	500294	1749414	330597	3042605	158684	1809856	1260984	4497371	542985	2107783	435318	3621369	689366	737992	5080772	1917113	2692600	1865360	154488	9224132	8989773	6910549	2005374	253783
g__Faecalibacterium	332954	197721	58003	224503	440767	107327	226057	198671	91857	1857	195148	83312	18729	188683	38165	67140	247434	34047	30659	272104	224028	299143	123098	36422	281776	38646	520652	73538	253258	277836	54394	139666	41295	73717	54375	243272	308337	157875	111288	170482	409549	93415	46322	181090	60106	131248	345461	132384	229675	21309	109411	165222	34481	316259	233222	96039	252578	208145	67702	212085	128926	329352	301022	124472	289059	40234	424013	333510	459614	208614	629411	249623	52039	214364	418516	20631	401564	350429	434161	1407699	877942	595935	183809	216423	67062	831924	422268	326170	528517	107957	280295	245195	163336	397394	148449	1442590	304771	237375	413870	269820	184155	1099422	585573	440733	1626172	336634	535877	375837	906700	1133352	113503	949912	932444	88748	438453	462429	723541	292361	162395	339007	91700	383503	231618	266962	232765	1121964	392622	704167	112697	179730	895710	560758	618310	887089	508976	210702	181173	586321	131269	297347	212114	200313	117151	320396	190167	83871	195231	196444	193887	285386	687267	321515	154764	94224	22973	82727	490149	99334	153074	336886	725212	893935	706942	2891440	444449	754580	259970	216398	604683	1021015	362898	369612	605808	290114	335067	701256	179481	117508	289937	252765	789751	386539	489620	462209	238158	798116	158987	199792	1243786	1264894	433982
g__Bacteroides	56865	41968	1724500	19389	193161	381585	931487	57801	31517	1070	73894	90560	41808	64357	1187059	115781	88666	810114	134534	192622	507076	77308	602403	23399	1317615	10703	51635	232447	62115	899069	702111	1104095	1149533	46951	387340	42361	16956	217363	174845	129327	556769	235676	225996	671137	260814	192682	196766	516733	574760	7640	15539	26703	367527	62890	87143	428967	13315	23569	18830	74554	119272	996060	385708	168863	188972	387543	116567	152648	295583	34723	355164	17884	82457	12749	40136	42492	8701	597076	479467	991882	4463831	15258	22220	376309	74776	714398	11755	188013	274350	101681	292008	289790	194864	276855	148154	325466	25210	86064	21242	120727	22654	1061532	1375345	454540	618828	199793	526020	251856	1802018	1633789	235785	1261269	93771	20359	78116	100313	150001	52275	54453	69099	129206	267145	296160	36805	157404	381597	129905	355119	904131	24399	311424	197543	195021	872994	600721	1010916	1109345	242083	100226	18560	20719	19357	11939	105798	25733	34336	416364	15594	33223	128964	289414	35840	20387	91670	205553	308083	88755	3159670	757741	207227	304259	44826	183587	2651250	57749	273228	108377	405063	504218	583939	39195	205635	152140	61706	103561	474414	19582	10356	56741	16252	1016872	118372	84576	92655	149806	36404	61477	58964	105181	421101	674985
g__Phocaeicola	22125	77374	1362779	20078	210214	294994	425193	34689	14156	623	70406	201630	28164	43561	254504	66550	85091	282075	72453	133433	303506	66139	947101	100535	452483	8973	47834	287696	39331	242915	765170	965854	693894	19100	57708	40522	20625	104268	276016	342933	365069	260736	172674	481241	228216	200422	343771	787339	466073	5023	13711	105953	235380	32568	29000	582423	15988	13620	18388	28420	110093	1102243	137389	159512	13832	50552	188875	17196	82135	34237	319675	19908	55729	17951	170216	135595	44630	475268	173670	505174	1447073	15770	110041	48732	24211	2145449	19167	302469	401157	81561	192425	181275	76843	328280	35147	188727	66774	65900	45903	51633	26354	741800	737353	407714	476907	192059	778336	307677	2092689	726564	95901	2607978	27511	28358	43921	85845	229239	34301	18438	66439	35187	117080	285502	244478	188716	1015146	318320	179560	354839	27703	51143	50444	56180	708145	732934	1325176	733079	111409	112743	28119	54443	15999	15344	195771	41585	52544	39378	71800	178538	71235	103268	33831	183675	43846	118167	80599	49041	1907176	435159	329521	252885	85945	87767	2913134	72532	323043	70216	167890	34879	307391	36938	194241	108857	54030	93395	528423	30513	10860	162459	56273	221181	191027	566208	50308	166603	23157	74652	40873	123709	560457	456148
g__RC9	1089	440008	729	20465	20862	1088	1154	1282	111317	0	853767	774	1001	19172	1035	988	1026	1279	1010	300253	42608	35244	633	363713	1706	304605	749	825	552202	1602	839	1599	1507	1019	1150	471994	225358	576	600	55445	1160	109166	6930	1544	1808	194744	2382	2352	140278	365187	204497	83889	196182	385525	1309	986	202241	109077	153404	923	657	1739	789	1126	19607	23648	160179	548	698	1864	1049	43334	943409	168510	189166	158464	114642	1689	684	2847	3607	315962	68982	705539	740051	2425	305819	55795	569024	175472	3202	1683	2773	6379	114265	2780	71882	99697	54020	192432	198272	2499	3439	3152	2299	1422	2563	1774	3245	56289	2611	2201	2170	253303	582146	2211	908636	44695	413734	1163728	1599580	2990	440802	1755021	1008652	2173	148357	1322	1252	41053	163198	170194	202651	3712	108006	2752	2660	1933	115989	129415	2554	290038	22442	202793	58620	24599	306867	3134	391355	683009	2188	434536	677323	5469	1847	2173313	671309	3273	521754	197298	670266	450618	1277453	3997	256626	4244	31480	21245	2643	4553	41258	417758	249841	727211	3198	2800	921512	983451	92616	707505	1270806	1914	506022	159999	2603	2779482	23925	68922	395803	2033	212050
g__Succinivibrio	0	0	0	0	318	0	0	0	0	0	0	0	0	0	0	0	0	336050	0	269	0	267973	0	163465	0	0	0	123963	0	0	0	0	0	0	0	365	0	0	0	0	263	0	0	288	0	278072	0	331	0	59358	148817	493	0	28901	271911	0	239504	455435	81114	0	0	0	0	286	0	0	291	0	212789	0	0	0	0	104365	230723	15197	0	0	0	1865062	1197	6026	100657	17383	120082	535	80999	1026004	97379	1613	735	500	639	614	524965	497	625552	2544	256158	558881	480	1229189	459	859	311	366236	357	869	1073	1244	633	699	2205	616849	140417	484	2039	376	64004	929	21169	509	312392	3337	414	1138397	443617	985	402879	722	88878	655427	778333	958528	889	975	1279	740	82795	302130	1247507	580	15481	1379	355	352077	279102	3103144	189123	339370	1471078	618	629849	859729	879	1457	132327	1290	564147	214819	272355	642767	769463	1032	1045077	999	100915	1761623	34170	773	558	530	148104	132628	224455	980	214378	1287	94834	5327	4459	927	966518	78623	466	425	1521744	343296	461935	1142	1604
g__CAG-83	4984	108962	629	35504	124704	108947	15297	1525	19364	8620	354017	1724	474	97999	16374	7079	31332	57387	207463	44812	173308	43799	22581	254208	16924	110782	17237	147179	183633	55604	152592	3154	39281	4394	293371	66554	45084	130732	5943	72135	12995	187924	2286	354615	11736	181405	8967	62731	10565	89386	93404	38357	280214	196352	37718	64873	39228	32679	53865	144108	159922	7143	69923	128194	196201	62100	29612	157010	132542	25270	34322	10008	301870	133515	73764	167188	67987	23529	62518	384973	20817	164819	56980	400591	497338	48421	267161	387466	354789	164415	165757	50103	673026	100174	88099	220029	103104	13631	233036	222566	46921	7619	107780	144889	228657	63731	114092	166749	5641	240844	11638	7179	268091	146100	262011	367039	210380	152996	220607	662155	418830	164807	601127	189024	338620	70242	79005	193006	383506	57934	209334	117905	128025	444013	61430	61065	124108	97965	155692	110090	90294	88413	8884	130710	55437	16623	161799	177313	175879	404636	446998	92642	780055	83541	25714	633553	309656	12941	768436	50680	206595	163559	430925	4767	307238	289273	34781	228429	171127	658590	213410	319331	146006	322276	18745	148156	236687	203460	49429	401863	618406	22213	212168	111693	186717	991178	4543	17311	145786	349785	1004545
g__Alistipes	27973	22157	203195	7662	26632	263383	205333	10327	1600	0	19593	23221	14107	41036	1232806	14000	93747	116751	72228	73943	115307	26407	305967	5188	250841	9548	11091	239445	33635	1273296	332351	113283	294081	12403	1101736	12136	2757	1041533	23252	69032	233880	61274	20079	393642	163639	16544	52315	235960	61422	1123	5260	8702	124752	30511	20857	172705	5579	3506	12400	20256	69937	169730	137048	111620	18002	16418	189878	24547	51981	9463	112938	2844	70567	3571	54877	6742	1615	44220	258315	22006	365273	5407	3219	44731	7689	364541	28168	55222	129724	23069	190253	235114	2923	107407	83816	149440	5046	5953	24045	74928	5202	75377	531688	115035	692336	43813	219096	168452	399865	370099	19207	118613	60528	5626	67616	17919	292877	1818	14573	23757	8291	83822	173761	3172	43514	490731	26250	272098	102104	6755	86735	57266	62086	200014	169970	16285	80340	28272	14934	34612	11761	2010	1536	34226	6844	2701	3527	8317	11142	12102	281215	5778	2444	47850	52904	59409	75867	304740	397250	14543	36765	15708	12815	4663	16670	164534	16855	322416	153679	576662	77409	30857	48757	24292	20004	540127	11048	1765	5000	8513	211076	80376	8865	183469	170691	10438	6119	5205	70590	646758	243207
g__CAG-170	12928	53423	534	26607	150606	155666	34677	1093	19611	461	486955	2120	670	49927	17828	33487	27241	66554	125408	58411	120083	70777	22652	309728	11789	30671	39475	60486	91889	30210	30060	4474	6765	4465	23169	39295	17957	79957	7949	75720	3963	75944	3481	66808	10418	102179	8302	37262	4168	93071	129222	77889	130902	45160	17469	29092	23946	27688	32031	41516	152277	5168	20269	147228	125050	33980	46654	65009	60517	16733	48080	8408	105046	68263	55801	68176	61569	72353	44475	677853	7910	88035	39776	247241	198873	71836	169476	93324	213230	170023	160586	51786	538531	53325	75644	151298	92568	10484	174439	84274	53998	15840	218688	89593	246377	75043	114092	162798	4337	83484	12220	8616	263323	74584	167838	160484	423731	65540	172291	374651	300748	89458	429337	92740	166320	29411	34289	90423	148998	47299	204146	118524	119904	124929	22567	62255	52449	47232	83318	65526	53448	40971	12796	60321	48100	10460	90488	41393	99836	139578	195646	105423	346635	56782	32585	222281	190660	9813	187279	28655	164599	73715	218371	674	161434	348144	24596	24688	187028	326295	86393	151075	75090	146178	20982	272778	120204	152687	21896	215163	292895	37994	145046	46742	126671	644445	3368	13498	119819	183859	272257
g__CAG-177	23841	105172	0	18697	13660	95237	124004	0	16585	0	231392	1016	0	80555	0	16176	123895	18000	144420	299	30039	59021	15565	111937	271	113398	5433	48307	35453	6963	0	0	268	8962	15472	181454	37954	237660	0	59464	0	65947	11811	284121	0	171062	0	84549	427	168201	112216	186003	334361	114148	28872	37038	36773	11802	40043	105390	209603	5560	854	51776	39182	44551	147746	108173	41779	4486	2588	2759	199035	203596	8290	80694	26430	105265	289758	132147	347	97250	56862	178631	348112	13287	234692	177517	298018	33600	8730	23614	352500	8482	2878	54004	193765	524	78684	14770	9736	442	26470	53706	976	6215	1584	53274	952	12599	6291	0	115363	49779	141787	211035	94080	62125	161219	469728	82558	29594	401697	218511	152048	1966	6274	124992	246530	6462	182703	79524	60344	7750	1313	57492	76512	83788	81122	4789	34984	20488	792	1877	1783	1453	40592	621208	74217	143902	177577	2856	192198	47907	321	280799	162776	2148	704159	961	154484	79408	34427	0	74864	34780	397	21823	24650	284146	106783	207476	130804	80769	754	51061	33318	265660	614	279560	204278	3032	45760	18945	316592	597992	443	0	22290	215747	413676
