A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A3	A30	A31	A32	A33	A34	A35	A36	A37	A38	A39	A4	A40	A41	A42	A43	A44	A45	A46	A47	A48	A49	A5	A50	A51	A52	A53	A54	A55	A56	A57	A58	A59	A6	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A7	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A8	A9	B1	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B2	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B3	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B4	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B5	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B6	B60	B61	B62	B63	B64	B65	B66	B67	B68	B69	B7	B70	B71	B72	B73	B74	B75	B76	B77	B78	B79	B8	B9	C1	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C2	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C3	C30	C31	C32	C33	C4	C5	C6	C7	C8	C9
o__Bacteroidales	2270926	1971356	3383235	2583579	783371	1322954	2088756	2914861	2581295	51383	1739968	2474516	2771417	2155438	2867892	2302431	1629931	1928149	707781	1483278	1223626	566295	2118437	1041341	2199396	671528	1270886	980016	852306	3089360	2014564	2461835	2354950	2593953	1817358	3517168	1352944	1593068	2014767	1766360	1328615	900785	3261912	2008055	2155913	1085410	1529193	4860407	1609054	1485292	1976859	2602545	1237266	1230239	1751024	1436798	1359991	2094871	1903041	736978	725096	2473623	874729	975384	382385	559594	1962466	460037	701202	2422647	1283246	2641766	1526069	1554152	1152155	442154	1532083	1314735	1269342	3805662	7163980	2523947	3787106	2453259	1305286	3601456	2448321	1867281	2118081	4492621	3611827	5795176	881724	4387815	4362969	1767973	4019395	5414988	3026495	2397296	4081985	3105035	2945198	3337344	2142373	3643069	2749862	2262924	4810992	3130527	6438462	4295934	1850294	4005997	3773679	3016249	3811422	3358623	885421	1529814	3003480	4576538	1682977	3656119	1893606	2650330	3742441	2893453	1898881	5142271	3524250	2989193	3446091	3805748	4287755	2934333	3930405	3374317	2332204	1475592	3023467	3221468	2842519	4035244	4370827	7299454	3670171	657653	4059302	1834569	1637925	5545239	2017707	5267046	6211902	3562155	4152708	6438668	4599176	11422914	9236428	6041439	5333882	7063143	5234839	4789813	3254058	1768863	2776169	3077974	3429482	1483858	2721811	2356274	4836089	2478738	3383142	1903437	4435892	1947002	3871924	5617639	3501821	3487472	2708945	3305518	10174974	9864257	8525036	4172995	2611738
o__Oscillospirales	475507	892202	178286	619916	1474886	1034045	770819	243318	255123	28303	2525741	137249	35874	727499	315736	216585	706688	433950	1490969	767227	1064346	906038	543115	1476393	703829	632855	850916	814412	1283359	676499	623031	333630	237476	164885	1123258	875547	717490	943288	226896	687585	1156050	997280	166492	1698866	303442	1433875	495610	530088	435448	558575	789377	867227	1216990	1437133	686075	738171	737864	453523	479387	983519	1384075	532078	892840	1339701	1440605	550781	999891	1463647	1366133	463903	1119235	377261	1366478	1145185	1023098	727132	1096469	895994	1276537	4400343	1231677	1960358	590443	2351705	2431535	1668697	2140664	2230502	3436045	1622997	1673018	692921	4130304	1482235	1373497	3567806	1337656	631654	2132198	1971178	772994	1647323	2599788	1789527	3305623	1041844	1809093	2415614	1437195	2455669	251250	1331470	3661976	1098738	2128978	2460384	2809896	1671667	2046121	2909371	2820284	1509713	3712652	2136943	1692421	2445715	1174360	2153008	3055450	785352	2521209	1631576	1725144	3832579	1076560	845221	1091499	1745721	1252071	1537188	793081	1006922	230662	1417715	653288	204941	1240518	1740550	1314255	2966824	3482304	1510690	3421310	668744	240373	2505375	2433226	463235	4154604	843030	2102665	3182819	3246859	2974351	2073013	3902149	686397	948496	1838784	4701488	1868903	2464444	2057772	2142618	608273	2363636	1539506	1907686	720034	2809566	4583979	718169	2142024	1396623	2009026	5490890	246803	440290	2769167	4705277	4949300
o__Lachnospirales	145582	174460	170705	219618	384054	377467	186710	157307	290307	64114	1212597	82527	19928	423926	80180	130279	312107	228250	219517	294752	328289	323361	325265	202710	180894	73660	165507	154468	349796	188336	433501	292160	321772	127078	131567	232261	156399	191417	261591	154644	303952	765018	185827	242175	125160	424334	196219	551030	581599	69283	130437	264177	260520	313517	157719	540108	255489	145753	78902	477012	260853	116836	770929	159720	289091	144154	190037	469342	507474	259644	865336	170254	171385	332237	345831	135281	412082	316725	478321	1325974	448019	199634	188625	345098	409013	1710043	387153	526452	788699	1440811	980945	214770	875036	858264	450915	1029997	325469	644901	707588	449265	412584	737414	1744946	470936	504548	1077026	1796320	1023756	812534	777582	179832	941450	1144780	385299	689562	905948	988412	854851	301379	329214	538448	632646	721617	388610	503691	886153	1390889	1333619	648734	328296	640618	831110	936810	1625028	890092	659454	1067823	513211	620188	581775	148368	288125	217295	1189997	346699	156695	694298	551968	1157991	827082	1287612	661952	762470	330407	318732	346775	789695	264918	1429899	1398993	490938	2860047	569428	347096	1016527	1314328	918299	398283	832037	1930620	459164	598633	833507	520020	333880	1367587	325121	279814	583715	615926	742437	392036	1509148	466787	388779	755341	169791	389115	775396	2091655	1306178
o__Enterobacterales	11442	159490	28335	73234	10556	31682	26099	6067	22438	3250	4502	92420	124073	8010	51682	1292	11014	351593	23381	6721	6971	269778	1176	205087	3606	1551	23062	195899	2450	137085	100449	4791	23319	12449	13504	3489	2473	5815	644665	1466	668077	2175	8796	19728	7243	282714	21101	3150	46684	64717	156183	8043	8379	33434	278229	97210	283921	458839	88264	57138	11331	26582	5564	5539	20520	235668	50845	40811	338083	15452	2738	34155	3119	119816	236546	26863	10632	1122	3356	2302261	37968	1342109	119186	220455	147265	738234	1352534	1060683	114246	13007	31008	946828	5762	13009	579607	8879	646135	742597	614047	630321	14055	1241316	155924	24280	448728	687885	21088	52241	55405	68572	45845	221187	764548	723474	160402	4891	30995	20139	208103	228963	39212	23206	648049	100824	28276	1585244	461366	43909	415157	25515	235283	724735	887933	1030141	53768	6198	229138	42143	99810	1738167	1286222	706166	34528	331952	51278	370382	326943	3294722	215100	365517	1618759	20060	653502	876077	3163	25281	156376	1104601	1200608	469328	416557	663975	806827	4004790	1139803	25845	124579	1800956	388195	17609	392112	361425	158177	242443	277013	157406	240094	98682	138846	14433	70800	199357	979674	410812	49467	21919	1537933	480347	583460	53102	220231
o__Christensenellales	7929	78275	1313	70560	287327	196802	32678	2469	12211	486228	481217	1785	425	102905	21725	9648	32271	82013	179598	278101	216826	345082	28624	286632	5532	385134	24043	176341	196367	11422	20400	3168	14511	2662	472460	96290	90893	200915	6241	13761	9002	679921	2842	26839	17493	266066	5717	59487	67327	160108	105437	26040	95546	93654	78270	96198	56920	20202	116546	120094	265643	3351	104079	202466	283840	149055	84920	164982	115464	22678	87229	8167	136359	114880	75657	1209535	86629	191120	159460	691331	5447	134726	28976	826451	745811	28558	348068	566745	654735	252495	366154	34894	1063928	191266	170874	365459	65048	14537	756781	475457	97964	19092	30818	96612	456536	21743	463221	296673	16965	128764	7252	7686	285957	180420	284546	946371	169986	293728	736870	1128883	1205284	103949	554524	618170	2224300	174311	28831	255771	755374	82745	296293	224370	192703	846483	24781	370816	72495	124078	435514	208147	110557	260688	6378	94700	35236	12591	72949	438672	98082	307686	554606	206437	460190	93969	9566	861488	317955	9438	529030	50765	135425	115846	1247408	7031	268625	1239102	16044	653170	276377	824086	122945	996381	275440	405449	32038	223625	289147	1031130	21784	706852	2264950	20426	337572	111804	762278	2066627	17161	18218	280576	741578	3341680
o__Burkholderiales	15526	2445	720	49660	24521	34516	17730	30134	1061	1253	38950	12957	13770	30933	20267	22428	20382	20052	11802	6997	14402	10098	7306	27436	27856	15411	4444	6481	5785	3161	32942	49353	29572	22278	11847	14682	13012	37789	33412	33156	18942	15166	58133	12777	10798	33942	21219	52269	17457	6032	13287	30154	8150	21491	24309	32636	12127	23254	18777	25471	22464	45484	24625	5631	13147	50909	23942	33406	23112	8873	22547	13877	21552	5878	9849	25726	26115	1523	21825	43360	85459	23162	18094	19571	41963	157137	48575	40468	104630	21632	53855	43531	26237	79538	51418	98236	50840	36738	43786	59592	12879	56004	60211	60727	65334	36476	98313	53153	75315	29210	27716	154904	53112	59794	52301	12582	55246	28818	36257	109289	17442	47282	45137	46130	61135	48084	113240	68284	33708	35848	80564	60089	74592	85939	90756	86266	42829	66444	18278	25439	51626	20968	13163	52372	7966	52562	23946	32737	75068	44890	63704	30297	61128	91437	26442	58366	59344	34952	104225	96974	85059	62941	45300	110132	146173	90127	42901	37614	102560	81563	56391	64629	28209	27928	39819	49131	84688	75657	56470	64495	50022	62754	22239	79985	42248	129792	98821	48440	72175	59101	59425
o__Victivallales	0	14771	0	25846	3643	70255	0	0	548	0	16603	0	0	16439	1344	269	11309	11024	0	4558	15315	66633	2698	67397	0	62430	0	4826	57362	8684	5852	0	0	0	10767	3497	4905	17036	0	7872	0	11391	2013	1583	6340	29831	1912	894	0	9410	11769	16512	18634	39061	2265	0	18685	2478	2548	47032	3169	0	4632	12554	24150	6500	3421	66683	11055	0	1661	0	30218	14122	12897	39333	307	0	342	46052	0	287283	4345	96190	109174	3587	44787	53534	50238	38765	10938	6096	468	760	5823	71925	13288	1760	34059	45258	5470	2543	332	2491	60764	3329	2110	45053	939	10984	0	0	93844	25535	73230	62235	79251	11001	23820	68630	72396	524	107772	29273	98658	0	13672	45527	246950	5333	10350	6286	5157	175604	11521	25616	14355	57975	6581	17703	23116	26106	987	6008	2070	777	32606	13534	34120	24895	20807	4804	37440	5560	0	170958	82380	2226	53493	1630	7564	4120	436690	1888	35556	52115	0	50527	20241	16770	6523	422198	53881	42668	0	0	17262	24389	1625	31559	152352	1776	168391	23646	102879	179393	1181	335	8828	25280	295592
o__Gastranaerophilales	967	626	366	55780	1088	4725	695	0	0	5223	28364	0	0	34884	623	272	14436	3876	665	2894	1009	5193	10451	1404	398	6275	297	374	35368	4311	589	620	862	0	1096	4059	12016	1805	0	1000	1223	9223	21456	658	265	2958	630	2468	665	0	0	389	850	35225	55529	3602	18457	77130	18379	777	936	626	2567	2551	12655	1508	427	4276	9925	14661	1118	417	24331	14756	4227	1979	127543	1202	46286	126852	2639	6682	2348	25772	12929	33413	2988	32031	14954	55430	95041	24158	1281	30428	46252	80434	32310	153584	7109	55415	187721	2623	693	62787	1183	22494	17561	11048	84725	4044	510	1850	14158	30630	7857	10767	46947	95444	13842	7651	13317	88215	14618	3205	29305	4895	13218	25505	43275	69209	5454	59984	68514	275828	6824	65683	10181	163028	40915	1625	29706	114314	13907	51549	28613	2825	2504	193338	812	39602	41275	838	2920	61148	330	12306	3178	24713	5683	5911	1984	202258	90204	3607	10244	584213	3579	3999	20597	81104	76112	10565	5254	29058	1252	20912	47396	4016	12164	4309	53991	21630	139428	7371	73142	8248	3066	51465	35862	58826	9955
o__Verrucomicrobiales	6053	0	0	0	53048	64734	15843	0	525	0	712	0	0	7879	11937	0	0	37689	0	5167	1011	1912	288	291	29261	436	0	16711	67708	3036	51064	380	93368	818	172971	0	0	1412	352	266	123596	14390	539	0	0	21624	0	1378	0	0	0	0	0	12644	4590	57032	0	0	702	10395	22822	8033	33934	353	29087	68647	617	9262	55819	399	12435	0	343	0	100798	116681	395	0	7357	1140	341	898	0	158743	158149	44032	550	3851	636	422	497	2798	676	9328	313	2418	0	494	418	35470	0	9759	76298	6518	156142	917	21551	17612	0	41148	0	4418	47598	349	53103	13585	2199	297	56591	161900	558	260	663	88212	54718	1838	5552	29587	3365	0	5100	1841	1616	184278	11315	3668	29237	1658	23505	3121	1460	19095	0	259	0	1262	293	198618	459	543	71493	416	570	0	0	753	65923	405004	1156	245711	4638	401	42074	0	467	69785	469	1562	307	11311	338	6712	289	335	1264	19839	423	49212	265	537	253398	0	65407	10252	7586	687344	0	0	393	177420	42527
o__Veillonellales	2928	5759	41913	12140	9707	20547	16966	1086	2345	8600	6717	2543	10055	1348	2679	649	7061	14411	1779	7476	17186	3013	5531	43697	4228	520	38008	4128	1500	5147	4284	6584	15004	11019	4678	11739	1686	3465	14999	1473	23225	1700	2314	5096	14432	5014	3462	3235	31568	8988	66702	21708	3321	12931	4377	2623	20113	8142	27216	8243	18275	4061	3062	8465	24145	677	10919	8327	11737	43030	1521	51567	10157	20078	1472	10797	22659	16844	5835	85903	3256	45461	8260	12160	20901	12533	75708	46798	18135	2549	40532	11232	11318	5736	11468	20700	15675	2674	18706	12305	5348	22286	51223	8881	5350	6823	14540	77939	3948	6527	19721	16365	35526	66484	34440	21122	19810	2769	21489	3808	8209	5859	16421	96990	36717	21342	6482	5248	55920	8314	20802	9316	7800	58518	8863	6438	15332	3305	2379	1763	4923	9590	25938	2988	14067	26154	97571	944603	47229	48753	113864	14604	55949	16272	4396	23623	41561	119560	20280	83426	28282	5802	46531	58696	17830	20661	37226	87515	56007	11107	19344	2370	36096	24863	12005	59754	20283	12938	6755	22603	88744	3244	5263	54099	5787	192520	26528	15679	37459	8889	11180
