A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A3	A30	A31	A32	A33	A34	A35	A36	A37	A38	A39	A4	A40	A41	A42	A43	A44	A45	A46	A47	A48	A49	A5	A50	A51	A52	A53	A54	A55	A56	A57	A58	A59	A6	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A7	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A8	A9	B1	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B2	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B3	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B4	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B5	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B6	B60	B61	B62	B63	B64	B65	B66	B67	B68	B69	B7	B70	B71	B72	B73	B74	B75	B76	B77	B78	B79	B8	B9	C1	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C2	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C3	C30	C31	C32	C33	C4	C5	C6	C7	C8	C9
p__Bacteroidota	2273589	1974508	3386043	2586840	788303	1326646	2163195	2917861	2583424	58632	1747695	2476980	2773555	2159389	2935330	2304032	1634806	1931463	716439	1485096	1226290	568769	2121157	1044104	2202004	674191	1272876	993584	855170	3094093	2018416	2464532	2358810	2596140	1820167	3521942	1358094	1615534	2018263	1776789	1331334	905190	3265401	2011536	2166015	1088264	1532988	4867224	1614429	1487931	1979623	2605420	1248072	1233862	1754225	1439532	1362677	2097311	1906808	740301	729323	2483703	877022	977832	384482	561719	1966118	462971	705644	2425867	1285082	2644426	1530048	1557173	1156458	444425	1535276	1316923	1273047	3827925	7170446	2527912	3790743	2462002	1316239	3606327	2453150	1874217	2124948	4502539	3618612	5801618	888587	4394114	4369993	1773064	4024560	5423144	3031089	2411080	4086609	3109003	2962619	3346131	2146402	3647475	2757254	2278784	4816411	3144975	6447762	4301606	1855478	4012982	3777897	3023646	3819409	3364692	913539	1537876	3011136	4583908	1691013	3662930	1904596	2686391	3747295	2898488	1906411	5148864	3529558	2994782	3452200	3820369	4294081	2946292	3936559	3382271	2337328	1480808	3028018	3227827	2846042	4044693	4374959	7305559	3675258	674098	4064846	1840736	1643044	5553380	2023573	5273944	6217438	3571437	4157265	6446819	4607692	11434848	9244140	6050693	5348681	7085208	5242584	4810157	3257921	1776537	2781585	3090222	3434892	1490029	2726934	2361835	4841286	2482092	3389601	1909400	4440584	1953061	3918314	5622139	3514014	3492723	2716915	3315599	10184331	9873268	8535331	4180939	2662045
p__Firmicutes_A	633009	1172737	357327	935608	2202852	1655456	996663	406051	561239	593465	4367234	226973	57078	1272435	427610	360304	1068639	761177	1910230	1353896	1668807	1605745	911535	2005993	896754	1124217	1055482	1166690	1858977	888294	1085469	646397	580809	297692	1747396	1232693	982542	1347196	504159	869281	1478783	2485663	367155	1978090	452202	2169268	703837	1158659	1092501	800898	1039029	1169411	1609249	1885057	934856	1393561	1070646	631255	691704	1622778	1936159	659076	1780484	1727099	2067410	867857	1291597	2149613	2017981	756975	2086533	566150	1710156	1623876	1465634	2102327	1616719	1416181	1935652	6554672	1693621	2327971	824458	3622018	3715016	3431905	2948972	3378055	4987202	3402401	3081554	961492	6151810	2586724	2030303	5025816	1759664	1311262	3657325	2977304	1305846	2413215	4414826	2397620	4302513	2173460	4100108	3850292	2280371	3410160	454311	2292267	5169548	1707255	3168008	4415672	4047370	2878436	3183203	4462499	4668451	2269950	5115695	3221796	4502964	3541862	2632560	3774132	4568913	1217348	3486050	2723972	2895625	6443213	2016194	1898224	2281780	2439899	2383783	2378401	1085632	1603120	468328	2748341	1049663	389738	2042805	3326863	2609961	4176467	5432474	2447393	4712725	1124909	576435	3835998	3618202	748006	6330278	2333092	2776668	6209118	5221611	3344796	3442755	6607671	1654150	2042211	2982366	7597868	2494394	4182159	3221546	3135830	986858	3984177	2205212	3269681	1342893	4184283	7729667	1142092	4193612	2001847	3225388	8551698	440177	873119	3894599	7627557	9814548
p__Proteobacteria	31154	170347	31316	129447	58919	79652	47294	41586	27520	11456	64150	110581	142685	51882	75683	26509	56581	410781	45388	44057	97992	290137	23582	244269	34016	38440	36897	216831	15587	148452	157093	56100	55428	39377	34571	25809	22051	182245	687724	39822	695316	27701	76365	38463	24446	327003	68966	79779	68563	79616	176926	45416	23551	65466	309991	155769	302516	488066	130450	91888	39642	76407	61986	21017	42526	293312	84014	84379	374831	31425	30640	53743	36798	139241	253814	67146	44347	79198	81525	2426824	129749	1385589	144583	280415	224722	917964	1480940	1120829	250168	75290	107369	1007092	67158	235730	693047	132035	710176	802873	676122	706697	35302	1347543	228950	131294	527369	736124	152082	121348	274674	110793	86793	382229	861460	805720	228850	47401	121509	84603	275915	373214	87987	81981	717199	172721	111618	1691675	611807	147142	476160	141135	450829	904891	1060422	1293399	179950	247856	378921	203724	129412	1857017	1346442	749893	67601	400607	66022	432587	379557	3347804	304681	437097	1709461	72148	739638	979308	43283	118579	233247	1193061	1330491	623968	518717	759154	944603	4142141	1399841	153115	175505	1855596	521572	132460	465450	454862	202574	297511	324383	224503	356822	205000	207262	109359	162836	275105	1036395	521865	118664	212987	1651067	541423	681490	135804	325208
p__Verrucomicrobiota	6274	15401	267	44535	62303	141520	16128	289	47026	448	27986	0	370	29531	13519	380	11611	50177	1003	21637	17709	152965	3191	75687	29457	111214	686	56885	125541	12112	57233	538	93569	1140	184878	9331	12390	19966	653	9984	123935	26285	2993	2192	6556	135424	2166	2731	530	153283	13758	16903	29153	58670	7154	57298	23240	3277	41165	137135	31302	8306	41108	13545	133598	83640	4884	131421	67382	863	17587	531	142832	16919	119110	181750	14499	409	8011	49187	841	359026	4975	257811	293127	47935	283574	91553	80269	40904	12378	9242	11346	10938	7494	91607	14561	3020	39334	83505	6149	12700	77413	30197	241334	10029	24358	80438	1617	52851	512	4847	157006	32146	138117	79973	82617	12542	129814	322032	84676	1579	148323	418795	180507	2729	19770	95006	281794	8161	18143	10090	8910	386676	25788	34193	44159	60692	31675	73808	26009	46608	3126	8186	2642	2395	37379	268109	63814	47285	95062	6205	127766	6514	496	380350	161279	407551	57380	248401	35934	10406	546788	2485	38240	658641	1313	72020	36196	50336	33903	438891	59435	53546	2897	20894	56496	441574	2756	342572	494979	2864	284670	38837	117467	1002004	2013	1041	72191	204428	373767
p__Firmicutes	31258	15074	3220	28345	65214	14404	7061	6746	8961	1369590	245945	4946	16013	39485	23082	6288	24334	12120	36288	23969	61237	50681	9132	53774	13413	29856	139380	28056	59887	17882	9120	17131	9033	18435	9405	42573	23377	12100	26958	12461	86015	53984	11118	19960	7528	33753	12450	31348	72823	41294	36947	24583	14977	53010	23689	11549	25297	12136	68640	33023	35137	7901	26270	385973	50928	18682	41586	55028	45966	33704	6443	46545	57293	31086	19138	10713	64082	9589	25618	294776	8889	16591	26612	91812	55770	46354	79353	74126	84220	85602	53094	22194	97627	53561	76860	58110	41111	26564	38496	81999	52952	16054	78668	136175	15271	27138	59027	109685	10344	27270	34910	19872	85031	103698	19875	61242	74394	27617	95242	49039	114098	29125	139791	24668	73584	93583	30335	28150	106222	48493	16921	50448	59101	160567	80678	16687	53766	149568	63063	74833	23006	75527	20506	79787	24237	32941	106848	1402143	85226	131632	59486	62961	87820	64187	19557	103987	18586	52497	205719	158662	32468	72335	169932	24663	70582	162721	27288	71738	27708	188460	79832	50118	23417	64682	39476	24054	73165	48626	28268	92446	198908	18309	210872	106893	80278	153321	31406	36006	179228	71621	176824
p__Firmicutes_C	4536	8436	42298	23825	31651	34840	18173	39103	2864	8968	49393	2978	16663	10343	6094	5165	8899	23991	7698	14294	20313	4764	17056	52921	8237	13051	39854	19037	14274	5927	5732	17600	21091	13967	7865	15060	7034	7557	15501	6555	80036	40397	19303	17199	21831	15371	9627	35131	35908	15288	76907	26564	27556	21818	9762	16199	28593	58925	52086	31928	22816	7058	14375	12104	26906	7193	23323	43466	78944	46132	15474	52084	14751	46821	25209	16420	45095	26775	8135	166896	8262	79730	17630	32347	46628	34909	133548	59289	46493	32970	47598	20027	23176	18023	19264	26719	25723	8709	25973	28963	23093	25577	58175	23615	31968	8715	30947	85354	241733	32381	45802	17555	47740	85775	40067	26075	52872	15041	27874	42994	90968	30168	36091	126490	41850	24138	71617	39711	66713	55366	67672	27526	25726	287864	13066	498588	38001	24152	30855	19560	6212	31323	34029	62433	22015	44832	144952	1103322	53990	99875	152405	23902	66634	18489	5352	34067	48242	178071	75965	98921	204077	37110	57218	138631	117381	36111	66308	93276	81266	189715	21969	38587	105463	35400	17837	67422	27399	21926	28648	41550	124187	36261	313666	98992	15791	260211	138718	36554	45180	50825	60817
p__Actinobacteriota	6901	13731	15157	11587	22405	24416	50448	4609	5660	23434	52055	6579	4874	12654	14828	5234	9970	13856	26473	18558	26975	15718	11870	75333	38421	20660	39024	32953	242386	23188	14446	11088	18894	5229	26802	21568	11628	38877	4352	23221	223876	23383	5832	38352	7796	39109	22299	27098	21695	52071	26024	39091	158592	22055	10173	27273	15635	19274	16518	20918	17384	11134	17396	45748	22046	18747	114460	33092	28943	15681	14159	11870	25354	23185	17091	21427	13445	13363	32244	49417	202725	32846	15613	42699	79668	36704	45073	34232	109879	29588	41255	16182	70412	31395	24347	40028	20208	15111	40227	26202	17463	21383	44986	36197	76537	14079	28151	116821	20482	29641	13426	16405	49167	32337	44892	42996	60960	29254	44748	48634	57425	24132	67693	57538	64619	38809	15542	36205	39119	16345	67391	33628	31795	51590	21159	15944	14417	39852	16389	25753	12618	25401	8364	23740	13298	13094	294098	80451	24741	59452	51423	35630	81894	17171	8320	295328	51294	26734	80045	38248	88080	55150	58882	24608	43393	102586	18150	554292	35545	92024	41106	76980	38062	46259	17840	35918	52237	44947	12461	58385	88145	11251	40807	37253	37876	128510	27347	16848	59648	51523	126098
p__Cyanobacteria	1197	932	496	56278	1469	5044	845	330	328	6246	29453	330	0	35185	772	363	14637	4192	1121	3181	1254	5491	10639	1822	523	6652	516	566	35689	4580	815	735	1070	464	1417	4515	12276	2135	375	1184	1444	9634	21740	900	435	3343	768	3196	852	514	493	670	1095	35691	55919	3768	18746	77438	18896	1152	1313	750	2855	2906	12971	1809	658	4662	10326	15055	1353	621	24703	15347	4565	2378	128014	1451	46507	129552	2982	7213	2766	27068	13855	33718	3698	33218	15881	56646	95759	24682	2417	31185	47034	81137	33175	154212	7918	56293	188272	3042	1244	64146	1550	23066	18177	11663	85078	4449	945	2189	14882	31477	8345	11637	48007	96178	15211	8829	14422	88768	15373	3957	30142	5950	13762	26042	44306	69751	6119	60772	69354	278208	7256	66073	10849	164300	41444	2489	30361	115265	14278	52452	28930	3439	3137	196385	1458	40470	42271	1927	4028	61859	659	13805	3682	25248	7031	6993	2728	203398	92257	3894	11345	586106	3984	4951	21201	82352	76734	11659	5783	29933	1670	21271	48249	4747	12603	5198	55415	22077	141327	7989	74240	9806	3756	52204	36905	60179	11978
p__Desulfobacterota	1505	2787	5244	6845	17048	14312	10763	0	252	511	23321	937	5099	13642	28529	9108	19163	29794	7948	3210	9011	7195	7307	18447	4084	6198	1745	24182	15389	18563	41318	4985	24050	1668	17285	3843	2167	18300	3835	11851	21433	17521	22328	68912	31529	14662	9285	43954	451	6501	6066	7165	55298	8147	7530	6999	4702	4170	6140	14843	23391	7840	5911	7536	10466	896	11492	10878	2366	1200	5042	2773	8358	14767	11344	5842	6007	3118	25098	27393	23430	18451	5071	32952	35460	15931	30715	18106	25793	30977	38693	33411	2810	16429	16630	31306	33112	7919	7894	31868	1253	42991	4816	28490	4524	30337	22956	11000	13791	29473	6066	12337	32673	9071	32428	21736	24465	1299	16917	58169	15907	9630	28992	45596	48571	79663	20753	30511	34641	6301	33797	15098	14773	35531	22846	45749	12088	11589	7238	7343	17236	7245	1371	39512	12349	11176	11667	58588	38408	31081	25108	4263	42662	9661	559	19962	39182	32424	77562	17714	23679	25973	28543	75206	17720	25260	9197	32867	30126	216326	16938	37463	8773	4765	8528	16004	13386	18979	6700	25018	87288	7594	54273	16724	14157	103772	4103	6567	33871	86995	79137
p__Spirochaetota	0	388	0	539	652	446	0	278	0	681	1509	0	0	386	0	0	312	620	628	393	370	473	0	67348	0	29470	472	277	490	0	285	0	0	0	701	444	354	317	0	277	292	619	766	472	0	523	1241	648	446	42195	534	350	381	586	535	285	402	341	561	543	396	0	443	680	518	391	310	645	407	431	444	252	635	637	386	114420	922	0	345	3164	609	31658	477	1846	1664	451	1066	1250	1317	1769	854	699	2107	901	958	1171	872	931	1238	1336	534	764	831	1061	644	634	704	922	560	564	406	453	1113	21597	914	1154	1270	1462	27574	1930	1959	841	1450	86128	1197	1167	1470	803	1329	728	1094	1334	1352	2310	555	613	5236	1291	661	1123	1587	145080	82230	1073	449	570	50505	2214	3367	1420	1319	1554	181788	911	856	325124	949	324	1948	2071	953	1382	2991	699	1759	2784	520	1064	745	2011	858	1427	1016	942	345	713	1391	813250	786	340492	2066	740	45603	896	1635	267102	1053	1170	1391	1772	3201
