#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	C9_concat_metaphlan_bugs_list	C8_concat_metaphlan_bugs_list	C7_concat_metaphlan_bugs_list	C6_concat_metaphlan_bugs_list	C5_concat_metaphlan_bugs_list	C4_concat_metaphlan_bugs_list	C3_concat_metaphlan_bugs_list	C33_concat_metaphlan_bugs_list	C32_concat_metaphlan_bugs_list	C31_concat_metaphlan_bugs_list	C30_concat_metaphlan_bugs_list	C2_concat_metaphlan_bugs_list	C29_concat_metaphlan_bugs_list	C28_concat_metaphlan_bugs_list	C27_concat_metaphlan_bugs_list	C26_concat_metaphlan_bugs_list	C25_concat_metaphlan_bugs_list	C24_concat_metaphlan_bugs_list	C23_concat_metaphlan_bugs_list	C22_concat_metaphlan_bugs_list	C21_concat_metaphlan_bugs_list	C20_concat_metaphlan_bugs_list	C1_concat_metaphlan_bugs_list	C19_concat_metaphlan_bugs_list	C18_concat_metaphlan_bugs_list	C17_concat_metaphlan_bugs_list	C16_concat_metaphlan_bugs_list	C15_concat_metaphlan_bugs_list	C14_concat_metaphlan_bugs_list	C13_concat_metaphlan_bugs_list	C12_concat_metaphlan_bugs_list	C11_concat_metaphlan_bugs_list	C10_concat_metaphlan_bugs_list	B9_concat_metaphlan_bugs_list	B8_concat_metaphlan_bugs_list	B7_concat_metaphlan_bugs_list	B79_concat_metaphlan_bugs_list	B78_concat_metaphlan_bugs_list	B77_concat_metaphlan_bugs_list	B76_concat_metaphlan_bugs_list	B75_concat_metaphlan_bugs_list	B74_concat_metaphlan_bugs_list	B73_concat_metaphlan_bugs_list	B72_concat_metaphlan_bugs_list	B71_concat_metaphlan_bugs_list	B70_concat_metaphlan_bugs_list	B6_concat_metaphlan_bugs_list	B69_concat_metaphlan_bugs_list	B68_concat_metaphlan_bugs_list	B67_concat_metaphlan_bugs_list	B66_concat_metaphlan_bugs_list	B65_concat_metaphlan_bugs_list	B64_concat_metaphlan_bugs_list	B63_concat_metaphlan_bugs_list	B62_concat_metaphlan_bugs_list	B61_concat_metaphlan_bugs_list	B60_concat_metaphlan_bugs_list	B5_concat_metaphlan_bugs_list	B59_concat_metaphlan_bugs_list	B58_concat_metaphlan_bugs_list	B57_concat_metaphlan_bugs_list	B56_concat_metaphlan_bugs_list	B55_concat_metaphlan_bugs_list	B54_concat_metaphlan_bugs_list	B53_concat_metaphlan_bugs_list	B52_concat_metaphlan_bugs_list	B51_concat_metaphlan_bugs_list	B50_concat_metaphlan_bugs_list	B4_concat_metaphlan_bugs_list	B49_concat_metaphlan_bugs_list	B48_concat_metaphlan_bugs_list	B47_concat_metaphlan_bugs_list	B46_concat_metaphlan_bugs_list	B45_concat_metaphlan_bugs_list	B44_concat_metaphlan_bugs_list	B43_concat_metaphlan_bugs_list	B42_concat_metaphlan_bugs_list	B41_concat_metaphlan_bugs_list	B40_concat_metaphlan_bugs_list	B3_concat_metaphlan_bugs_list	B39_concat_metaphlan_bugs_list	B38_concat_metaphlan_bugs_list	B37_concat_metaphlan_bugs_list	B36_concat_metaphlan_bugs_list	B35_concat_metaphlan_bugs_list	B34_concat_metaphlan_bugs_list	B33_concat_metaphlan_bugs_list	B32_concat_metaphlan_bugs_list	B31_concat_metaphlan_bugs_list	B30_concat_metaphlan_bugs_list	B2_concat_metaphlan_bugs_list	B29_concat_metaphlan_bugs_list	B28_concat_metaphlan_bugs_list	B27_concat_metaphlan_bugs_list	B26_concat_metaphlan_bugs_list	B25_concat_metaphlan_bugs_list	B24_concat_metaphlan_bugs_list	B23_concat_metaphlan_bugs_list	B22_concat_metaphlan_bugs_list	B21_concat_metaphlan_bugs_list	B20_concat_metaphlan_bugs_list	B1_concat_metaphlan_bugs_list	B19_concat_metaphlan_bugs_list	B18_concat_metaphlan_bugs_list	B17_concat_metaphlan_bugs_list	B16_concat_metaphlan_bugs_list	B15_concat_metaphlan_bugs_list	B14_concat_metaphlan_bugs_list	B13_concat_metaphlan_bugs_list	B12_concat_metaphlan_bugs_list	B11_concat_metaphlan_bugs_list	B10_concat_metaphlan_bugs_list	A9_concat_metaphlan_bugs_list	A8_concat_metaphlan_bugs_list	A7_concat_metaphlan_bugs_list	A79_concat_metaphlan_bugs_list	A78_concat_metaphlan_bugs_list	A77_concat_metaphlan_bugs_list	A76_concat_metaphlan_bugs_list	A75_concat_metaphlan_bugs_list	A74_concat_metaphlan_bugs_list	A73_concat_metaphlan_bugs_list	A72_concat_metaphlan_bugs_list	A71_concat_metaphlan_bugs_list	A70_concat_metaphlan_bugs_list	A6_concat_metaphlan_bugs_list	A69_concat_metaphlan_bugs_list	A68_concat_metaphlan_bugs_list	A67_concat_metaphlan_bugs_list	A66_concat_metaphlan_bugs_list	A65_concat_metaphlan_bugs_list	A64_concat_metaphlan_bugs_list	A63_concat_metaphlan_bugs_list	A62_concat_metaphlan_bugs_list	A61_concat_metaphlan_bugs_list	A60_concat_metaphlan_bugs_list	A5_concat_metaphlan_bugs_list	A59_concat_metaphlan_bugs_list	A58_concat_metaphlan_bugs_list	A57_concat_metaphlan_bugs_list	A56_concat_metaphlan_bugs_list	A55_concat_metaphlan_bugs_list	A54_concat_metaphlan_bugs_list	A53_concat_metaphlan_bugs_list	A52_concat_metaphlan_bugs_list	A51_concat_metaphlan_bugs_list	A50_concat_metaphlan_bugs_list	A4_concat_metaphlan_bugs_list	A49_concat_metaphlan_bugs_list	A48_concat_metaphlan_bugs_list	A47_concat_metaphlan_bugs_list	A46_concat_metaphlan_bugs_list	A45_concat_metaphlan_bugs_list	A44_concat_metaphlan_bugs_list	A43_concat_metaphlan_bugs_list	A42_concat_metaphlan_bugs_list	A41_concat_metaphlan_bugs_list	A40_concat_metaphlan_bugs_list	A3_concat_metaphlan_bugs_list	A39_concat_metaphlan_bugs_list	A38_concat_metaphlan_bugs_list	A37_concat_metaphlan_bugs_list	A36_concat_metaphlan_bugs_list	A35_concat_metaphlan_bugs_list	A34_concat_metaphlan_bugs_list	A33_concat_metaphlan_bugs_list	A32_concat_metaphlan_bugs_list	A31_concat_metaphlan_bugs_list	A30_concat_metaphlan_bugs_list	A2_concat_metaphlan_bugs_list	A29_concat_metaphlan_bugs_list	A28_concat_metaphlan_bugs_list	A27_concat_metaphlan_bugs_list	A26_concat_metaphlan_bugs_list	A25_concat_metaphlan_bugs_list	A24_concat_metaphlan_bugs_list	A23_concat_metaphlan_bugs_list	A22_concat_metaphlan_bugs_list	A21_concat_metaphlan_bugs_list	A20_concat_metaphlan_bugs_list	A1_concat_metaphlan_bugs_list	A19_concat_metaphlan_bugs_list	A18_concat_metaphlan_bugs_list	A17_concat_metaphlan_bugs_list	A16_concat_metaphlan_bugs_list	A15_concat_metaphlan_bugs_list	A14_concat_metaphlan_bugs_list	A13_concat_metaphlan_bugs_list	A12_concat_metaphlan_bugs_list	A11_concat_metaphlan_bugs_list	A10_concat_metaphlan_bugs_list
k__Archaea	2157	1.17747	0	0	0	0	0	0	0	0	1.29484	0	0	0	0	0.02284	0	0	0	0	0	0.11263	0	0	0	0.74784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.62026	0.20268	0	5.19386	1.49738	8.5809	0.01992	0	0	0	0	0	0	0.18822	0.25739	0	0.05049	0	0	0.5280699999999999	0	0	0	0	0.00248	0	0	0	0	0	0.07445	0	0.0992	0.60123	0.25795999999999997	0	0	0	0	2.2055700000000003	0	0	0	0	0	0.054189999999999995	0	0	0	0	0.03742	0	0	0	0	0	0	0	0.73139	0	4.8295699999999995	0	0	0.6106600000000001	0	0	0	0	0.01782	0.03997	0	0	0	0	0	0	0	0	0	0	0.65778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5325	0	0	0	0	0.67516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota	2157|28890	1.17747	0	0	0	0	0	0	0	0	1.29484	0	0	0	0	0.02284	0	0	0	0	0	0.11263	0	0	0	0.74784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.62026	0.20268	0	5.19386	1.49738	8.5809	0.01992	0	0	0	0	0	0	0.18822	0.25739	0	0.05049	0	0	0.5280699999999999	0	0	0	0	0.00248	0	0	0	0	0	0.07445	0	0.0992	0.60123	0.25795999999999997	0	0	0	0	2.2055700000000003	0	0	0	0	0	0.054189999999999995	0	0	0	0	0.03742	0	0	0	0	0	0	0	0.73139	0	4.8295699999999995	0	0	0.6106600000000001	0	0	0	0	0.01782	0.03997	0	0	0	0	0	0	0	0	0	0	0.65778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5325	0	0	0	0	0.67516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	1.17747	0	0	0	0	0	0	0	0	1.29484	0	0	0	0	0.02284	0	0	0	0	0	0.11263	0	0	0	0.74784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.62026	0.20268	0	5.19386	1.49738	8.5809	0.01992	0	0	0	0	0	0	0.18822	0.25739	0	0.05049	0	0	0.5280699999999999	0	0	0	0	0.00248	0	0	0	0	0	0.07445	0	0.0992	0.60123	0.25795999999999997	0	0	0	0	2.2055700000000003	0	0	0	0	0	0.054189999999999995	0	0	0	0	0.03742	0	0	0	0	0	0	0	0.73139	0	4.8295699999999995	0	0	0.6106600000000001	0	0	0	0	0.01782	0.03997	0	0	0	0	0	0	0	0	0	0	0.65778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5325	0	0	0	0	0.67516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	1.17747	0	0	0	0	0	0	0	0	1.29484	0	0	0	0	0.02284	0	0	0	0	0	0.11263	0	0	0	0.74784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.62026	0.20268	0	5.19386	1.49738	8.5809	0.01992	0	0	0	0	0	0	0.18822	0.25739	0	0.05049	0	0	0.5280699999999999	0	0	0	0	0.00248	0	0	0	0	0	0.07445	0	0.0992	0.60123	0.25795999999999997	0	0	0	0	2.2055700000000003	0	0	0	0	0	0.054189999999999995	0	0	0	0	0.03742	0	0	0	0	0	0	0	0.73139	0	4.8295699999999995	0	0	0.6106600000000001	0	0	0	0	0.01782	0.03997	0	0	0	0	0	0	0	0	0	0	0.65778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5325	0	0	0	0	0.67516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	1.17747	0	0	0	0	0	0	0	0	1.29484	0	0	0	0	0.02284	0	0	0	0	0	0.11263	0	0	0	0.74784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.62026	0.20268	0	5.19386	1.49738	8.5809	0.01992	0	0	0	0	0	0	0.18822	0.25739	0	0.05049	0	0	0.5280699999999999	0	0	0	0	0.00248	0	0	0	0	0	0.07445	0	0.0992	0.60123	0.25795999999999997	0	0	0	0	2.2055700000000003	0	0	0	0	0	0.054189999999999995	0	0	0	0	0.03742	0	0	0	0	0	0	0	0.73139	0	4.8295699999999995	0	0	0.6106600000000001	0	0	0	0	0.01782	0.03997	0	0	0	0	0	0	0	0	0	0	0.65778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5325	0	0	0	0	0.67516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	2157|28890|183925|2158|2159|2172	1.17747	0	0	0	0	0	0	0	0	1.29484	0	0	0	0	0.02284	0	0	0	0	0	0.11263	0	0	0	0.74784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.62026	0.20268	0	5.19386	1.49738	8.57353	0.01992	0	0	0	0	0	0	0.18822	0.25739	0	0.05049	0	0	0.5280699999999999	0	0	0	0	0.00248	0	0	0	0	0	0.07445	0	0.0992	0.60123	0.25795999999999997	0	0	0	0	2.2055700000000003	0	0	0	0	0	0.054189999999999995	0	0	0	0	0.03742	0	0	0	0	0	0	0	0.73139	0	4.8295699999999995	0	0	0.6106600000000001	0	0	0	0	0.01782	0.03997	0	0	0	0	0	0	0	0	0	0	0.65778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5325	0	0	0	0	0.67516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	2157|28890|183925|2158|2159|2172|2173	1.17747	0	0	0	0	0	0	0	0	1.29484	0	0	0	0	0.02284	0	0	0	0	0	0.11263	0	0	0	0.74784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.62026	0.20268	0	5.19386	1.49738	8.57353	0.01992	0	0	0	0	0	0	0.18822	0.25739	0	0.05049	0	0	0.5280699999999999	0	0	0	0	0.00248	0	0	0	0	0	0.07445	0	0.0992	0.60123	0.25795999999999997	0	0	0	0	2.2055700000000003	0	0	0	0	0	0.054189999999999995	0	0	0	0	0.03742	0	0	0	0	0	0	0	0.73139	0	4.8295699999999995	0	0	0.6106600000000001	0	0	0	0	0.01782	0.03997	0	0	0	0	0	0	0	0	0	0	0.65778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5325	0	0	0	0	0.67516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	2157|28890|183925|2158|2159|2316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007370000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	2157|28890|183925|2158|2159|2316|2317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007370000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	2	98.82253	100.0	99.88287	100.0	100.0	97.63016	99.87076	99.74605	98.25802	98.70515999999999	100.0	100.0	99.57222	100.0	99.07807	99.38435	100.0	100.0	100.0	100.0	99.79978	100.0	100.0	100.0	99.25216	100.0	100.0	99.2334	100.0	99.71030999999999	99.08949	100.0	100.0	100.0	100.0	100.0	99.2715	100.0	99.87196999999999	96.36112	99.72714	100.0	94.80614	98.50262	91.4191	99.98008	100.0	100.0	100.0	100.0	99.803	100.0	99.53269	99.74261	100.0	99.94951	100.0	100.0	99.47193	100.0	100.0	100.0	100.0	99.99752	99.92544000000001	100.0	100.0	100.0	100.0	99.92555	100.0	99.5142	98.71914	99.74204	100.0	100.0	100.0	100.0	97.69516999999999	100.0	100.0	100.0	100.0	100.0	99.94581	100.0	100.0	99.92474	100.0	99.96258	99.90420999999999	100.0	99.40786	100.0	100.0	99.94969	100.0	99.26861	100.0	95.17043000000001	100.0	99.9634	99.10942	100.0	100.0	99.79341	100.0	99.69516999999999	99.91412	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.82639	99.34222	100.0	100.0	99.97145	100.0	100.0	100.0	100.0	100.0	99.21263	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.90097	100.0	100.0	100.0	100.0	98.74835	100.0	100.0	100.0	99.95929	100.0	100.0	100.0	99.72301999999999	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.4675	100.0	100.0	100.0	100.0	97.83894000000001	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	98.50256999999999	100.0	100.0	100.0
