	A14.tsv	A21.tsv	A22.tsv	A27.tsv	A28.tsv	A3.tsv	A31.tsv	A34.tsv	A37.tsv	A39.tsv	A40.tsv	A43.tsv	A44.tsv	A46.tsv	A49.tsv	A5.tsv	A52.tsv	A53.tsv	A57.tsv	A65.tsv	A66.tsv	A67.tsv	A7.tsv	A73.tsv	A75.tsv	A8.tsv	A9.tsv	B10.tsv	B15.tsv	B18.tsv	B2.tsv	B20.tsv	B3.tsv	B30.tsv	B31.tsv	B32.tsv	B33.tsv	B34.tsv	B35.tsv	B36.tsv	B37.tsv	B43.tsv	B49.tsv	B51.tsv	B53.tsv	B54.tsv	B58.tsv	B59.tsv	B6.tsv	B61.tsv	B74.tsv	B78.tsv	B9.tsv	C1.tsv	C16.tsv	C18.tsv	C2.tsv	C25.tsv	C3.tsv	C30.tsv	C33.tsv	C8.tsv	REF_GCA_000154465	REF_GCA_001915335
UniRef90_A0A059P8L1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A059P8M4	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A059P8N0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	1	0
UniRef90_A0A076IN24	0	0	0	1	0	1	1	1	1	1	0	0	0	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	1	0	1	1	0	1
UniRef90_A0A078PLC9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
UniRef90_A0A078Q030	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
UniRef90_A0A078TAG6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
UniRef90_A0A0B0BRW6	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1
UniRef90_A0A0B0BUT2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0B0BWV9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0B0BWX5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1
UniRef90_A0A0B0BXX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1
UniRef90_A0A0B2JGS6	0	1	0	0	1	1	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	1	0	0	1	1	0	1	1	0
UniRef90_A0A0E2TFE3	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1
UniRef90_A0A0I9S7Z9	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1
UniRef90_A0A0I9SDY5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
UniRef90_A0A0I9UNG1	0	0	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	1
UniRef90_A0A127SR50	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A127SUF4	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A139KBI8	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	0	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	1	1	1	1	0
UniRef90_A0A139KBL8	1	1	0	1	1	1	1	1	0	0	0	0	1	1	0	0	0	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	0
UniRef90_A0A139KBQ8	1	1	0	0	1	1	0	1	0	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	0	1	0	1	1	0	1	0	1	0	1	0	1	1	0	0	1	1	1	1	0
UniRef90_A0A139LAZ9	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1
UniRef90_A0A143XPB5	1	1	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	0
UniRef90_A0A143XZG6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1
UniRef90_A0A173YCU3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
UniRef90_A0A174AJ13	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
UniRef90_A0A174AKQ1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	0	1	1	0	0	1	1	1	0	0	1	0	1	1	0	1
UniRef90_A0A174BJ54	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
