sample	study_id
1A	1186710
2A	1333396
3A	1398468
4A	1499095
5A	1554354
6A	1597674
7A	1625090
8A	1646098
9A	1930043
10A	2031518
11A	2123689
12A	2146745
13A	2266332
14A	2554637
15A	2554637
16A	3379474
17A	3480141
18A	3602219
19A	3663723
20A	3823345
21A	3924929
22A	3956441
23A	4042204
24A	4233802
25A	4858889
26A	4971044
27A	CAWOD
28A	CAX0E
29A	CBY0H
30A	CBZOI
31A	CCJOV
32A	CCPOB
33A	CDKOY
34A	CFI0B
35A	CFVOM
36A	CHPOL
37A	CKQOT
38A	CKXOB
39A	CLNOT
40A	CMMOV
41A	CQMOC
42A	CRCOS
43A	CRXON
44A	CSK0E
45A	CVQON
46A	CWIOI
47A	CWQ0Q
48A	CXCOE
49A	DBGOS
50A	DBT0G
51A	DCGOV
52A	DDPOG
53A	DDWOM
54A	DDZ0Q
55A	DEROK
56A	DGEOC
57A	DGV05
58A	DHHOH
59A	MB17003
60A	MB17004
61A	MB17006
62A	MB17007
63A	MB17009
64A	MB17010
65A	MB17011
66A	MB17012
67A	MB17013
68A	MB17015
69A	MB17016
70A	MB17017
71A	MB17018
72A	MB17019
73A	MB17020
74A	MB17021
75A	MB17022
76A	MB17023
77A	MB17024
78A	MB17025
79A	MB17026
1B	MB17027
2B	MB17028
3B	MB17029
4B	MB17030
5B	MB17031
6B	MB17032
7B	MB17033
8B	MB17035
9B	MB17036
10B	MB17038
11B	MB17039
12B	MB17040
13B	MB17041
14B	MB17042
15B	MB17043
16B	MB17044
17B	MB17045
18B	MB17047
19B	MB17048
20B	MB17049
21B	MB17050
22B	MB17051
23B	MB17052
24B	MB17053
25B	MB17054
26B	MB17055
27B	MB17056
28B	MB17057
29B	MB17058
30B	MB17059
31B	MB17061
32B	MB17062
33B	MB17063
34B	MB17064
35B	MB17065
36B	MB17066
37B	MB17067
38B	MB17070
39B	MB17071
40B	MB17072
41B	MB17073
42B	MB17075
43B	MB17076
44B	MB17077
45B	MB17078
46B	MB17079
47B	MB17080
48B	MB17081
49B	MB17082
50B	MB17083
51B	MB17084
52B	MB17085
53B	MB17086
54B	MB17087
55B	MB17088
56B	MB17091
57B	MB17092
58B	MB17093
59B	MB17094
60B	MB17095
61B	MB17096
62B	MB17097
63B	MB17098
64B	MB17099
65B	MB17100
66B	MB17101
67B	MB17102
68B	MB17103
69B	MB17104
70B	MB17105
71B	MB17106
72B	MB17014
73B	MB17037
74B	MB17046
75B	MB17068
76B	MB17069
77B	MB17074
78B	MB17034
79B	4152135
1C	CBSNC
2C	DZWHL
3C	CQGFO
4C	HPRXQ
5C	DZPJR
6C	EZWQX
7C	JJNSF
8C	DKWHW
9C	JXTVM
10C	HEJHE
11C	DFEZM
12C	EDFHQ
13C	HDWHX
14C	JQKFV
15C	HVFJZ
16C	FRGPC
17C	CTBOZ
18C	GWBHF
19C	BKHRQ
20C	ELHZE
21C	KLHYD
22C	JRWPH
23C	BZEHG
24C	FQOSV
25C	BQNHZ
26C	CCLEW
27C	CLLYS
28C	EKZCV
29C	HGRSG
30C	HFZEJ
31C	KDRZJ
32C	DGXFV
33C	JLNGC
