sample	raw_reads	dedup_reads	dedup_frac	trimmed_reads	trimmed_frac	host_removed_reads	host_removed_frac	orphan_reads	orphan_frac
A1	8946863	8485616	0.948	6763753	0.756	3343576	0.374	2758594	0.308
C5	41631113	27717353	0.666	24469314	0.588	14001521	0.336	5464268	0.131
C13	43941692	28914477	0.658	25243884	0.574	14991371	0.341	6037321	0.137
C9	44878235	30664190	0.683	26663045	0.594	16062305	0.358	6705578	0.149
A60	9467885	9083696	0.959	7206297	0.761	3258061	0.344	2932708	0.31
B75	24807472	21008122	0.847	17826199	0.719	9712668	0.392	5083930	0.205
B39	19265140	16696271	0.867	14305638	0.743	7566228	0.393	3677746	0.191
B69	15307266	13609976	0.889	11650915	0.761	6267276	0.409	3084451	0.202
A27	9413292	9009035	0.957	6955222	0.739	3393544	0.361	3260911	0.346
A44	10532300	9938309	0.944	7733253	0.734	3478064	0.33	3425317	0.325
B4	20712724	18291905	0.883	15656672	0.756	9389627	0.453	4082063	0.197
A66	9128642	8832737	0.968	6983532	0.765	3193478	0.35	2943549	0.322
B48	20564563	17816442	0.866	15047871	0.732	8083565	0.393	4141988	0.201
B36	18995121	16562441	0.872	14408986	0.759	8306047	0.437	3240114	0.171
B9	22587723	19865087	0.879	17314111	0.767	9722692	0.43	3898278	0.173
A36	11453993	10967980	0.958	8684011	0.758	4551725	0.397	3679052	0.321
B77	22002120	18836033	0.856	16058861	0.73	8693839	0.395	4314768	0.196
B15	20617845	18003833	0.873	15331579	0.744	8795292	0.427	4102626	0.199
B20	20421040	17580044	0.861	15008518	0.735	8528493	0.418	3946345	0.193
C6	36539808	24336754	0.666	21696545	0.594	12956011	0.355	4050879	0.111
C4	37293687	26450271	0.709	23444938	0.629	16507817	0.443	4711843	0.126
C2	44203826	29237331	0.661	24544627	0.555	13419617	0.304	8047627	0.182
B31	16927514	14957217	0.884	12817272	0.757	7409349	0.438	3290084	0.194
C33	20263491	14708145	0.726	12839421	0.634	7784458	0.384	3111679	0.154
B44	19376209	16921421	0.873	14430148	0.745	7930070	0.409	3859775	0.199
A43	9712303	9223566	0.95	7026958	0.724	3853519	0.397	3475403	0.358
A59	11812144	10972551	0.929	8592132	0.727	3674893	0.311	3774151	0.32
B43	24694394	21184878	0.858	17946116	0.727	9607545	0.389	5159472	0.209
C30	21580819	15035664	0.697	13289864	0.616	7878702	0.365	2925493	0.136
B61	16986983	14888021	0.876	12881446	0.758	7671851	0.452	2975021	0.175
B14	14631692	12827195	0.877	11048051	0.755	7147846	0.489	2615357	0.179
B11	15635928	13898711	0.889	11847816	0.758	7596504	0.486	3075262	0.197
B58	22596616	19413754	0.859	16399535	0.726	8779419	0.389	4771395	0.211
A49	13742107	13026068	0.948	9649150	0.702	4565547	0.332	5496696	0.4
B54	21533342	18671500	0.867	15700677	0.729	8708519	0.404	4714397	0.219
A9	10355697	9910776	0.957	7862932	0.759	3827914	0.37	3264292	0.315
A41	10138874	9700731	0.957	7557955	0.745	5607214	0.553	3449279	0.34
C7	44696374	29738280	0.665	26123895	0.584	15597990	0.349	5762660	0.129
C31	23466969	16399988	0.699	13797561	0.588	11536546	0.492	4548365	0.194
A16	11447600	10764093	0.94	8565905	0.748	3815513	0.333	3445590	0.301
C20	18862321	13511597	0.716	11950337	0.634	7628858	0.404	2578573	0.137
C26	19079705	13962310	0.732	12309257	0.645	7629036	0.4	2724250	0.143
A25	11349669	10836418	0.955	8401788	0.74	3641751	0.321	3858336	0.34
A78	8207481	7862162	0.958	6121388	0.746	3504911	0.427	2692684	0.328
B17	21002638	18389533	0.876	15547868	0.74	7848890	0.374	4612512	0.22
A11	13884033	12904473	0.929	10194224	0.734	4151465	0.299	4270121	0.308
A34	7569023	7351112	0.971	5844143	0.772	2855948	0.377	2385691	0.315
A47	12982672	12291159	0.947	9360772	0.721	4077825	0.314	4788815	0.369
C24	16902425	12333010	0.73	11074682	0.655	6965440	0.412	2042969	0.121
A56	12883889	12171893	0.945	9471372	0.735	4392632	0.341	4267663	0.331
B60	15638399	13659703	0.873	11720726	0.749	6482582	0.415	2957815	0.189
A5	9460775	8879175	0.939	7001314	0.74	3099781	0.328	2997117	0.317
B25	19323677	16646013	0.861	14135553	0.732	7687366	0.398	3916370	0.203
B71	25476637	21077911	0.827	17277625	0.678	12622933	0.495	6357674	0.25
A17	10618795	10113623	0.952	7931737	0.747	3611403	0.34	3442177	0.324
B64	17439848	14970283	0.858	12785473	0.733	7023309	0.403	3284900	0.188
C29	21613614	15356246	0.71	13516210	0.625	8505139	0.394	3057486	0.141
B51	20670704	17745189	0.858	15040815	0.728	9300448	0.45	4324051	0.209
A39	10506024	10036090	0.955	7884015	0.75	3391256	0.323	3315973	0.316
B50	17609835	15539117	0.882	13166188	0.748	8133195	0.462	3628748	0.206
A42	8416239	8089672	0.961	6209816	0.738	2876376	0.342	2941940	0.35
B65	15002896	13085124	0.872	11329528	0.755	6396338	0.426	2578321	0.172
B24	19495969	17303736	0.888	14657987	0.752	8326227	0.427	4188676	0.215
A12	10596047	10172185	0.96	8100632	0.764	4390008	0.414	3292690	0.311
A3	10355205	9961537	0.962	7795911	0.753	3397137	0.328	3526388	0.341
A54	8786541	8480768	0.965	6682893	0.761	3380441	0.385	2821378	0.321
A33	8305051	7972343	0.96	6335491	0.763	2957614	0.356	2557237	0.308
A68	8770293	8480527	0.967	6703351	0.764	3250058	0.371	2771174	0.316
