ERR2840913	ERR2840898	ERR2840915	ERR2840901	ERR2840908	ERR2840936	ERR2840926	ERR2840892	ERR2840903	ERR2840906	ERR2840893	ERR2840925	ERR2840934	ERR2840910	ERR2840940	ERR2840924	ERR2840894	ERR2840937	ERR2840897	ERR2840914	ERR2840890	ERR2840928	ERR2840922	ERR2840911	ERR2840929	ERR2840912	ERR2840888	ERR2840923	ERR2840916	ERR2840909	ERR2840939	ERR2840895	ERR2840917	ERR2840938	ERR2840896	ERR2840889	ERR2840900	ERR2840904	ERR2840941	ERR2840919	ERR2840902	ERR2840942	ERR2840921	ERR2840935	ERR2840899	ERR2840932	ERR2840930	ERR2840933	ERR2840905	ERR2840891	ERR2840927	ERR2840931	ERR2840918	ERR2840907	ERR2840920
Monjiviricetes	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	8	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0
Ellioviricetes	0	0	0	0	0	0	0	1	6	0	0	1	0	2	0	0	1	0	0	1	3	0	1	0	0	0	1	1	0	1	1	0	2	0	3	0	2	0	0	1	3	1	1	0	0	0	0	0	1	0	1	0	0	1	0
Insthoviricetes	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mammalia	175	296	713	411	122	841	789	523	300	529	148	691	658	325	377	199	704	544	218	378	565	765	981	336	901	684	328	806	310	89	769	595	794	723	375	524	464	255	934	1154	413	778	771	1129	306	672	1183	515	77	141	734	935	519	218	641
Chytridiomycetes	22	25	149	30	42	113	148	104	37	84	48	207	115	40	19	78	142	101	101	76	79	123	152	18	107	98	91	209	123	10	87	97	101	40	32	33	96	24	223	101	160	132	183	104	75	88	62	40	21	31	188	139	37	57	62
Monoblepharidomycetes	0	4	3	2	1	13	9	12	4	14	1	6	4	6	3	5	5	4	2	1	3	0	11	0	3	4	0	52	2	0	3	1	1	1	3	4	5	4	4	12	5	9	79	2	4	0	63	3	1	7	14	15	1	0	6
Neocallimastigomycetes	27	42	32	5	33	102	86	83	38	71	2	47	45	41	8	7	48	23	15	7	72	40	59	34	64	32	16	74	56	4	107	42	77	50	44	53	38	35	88	155	25	39	75	31	42	46	91	100	24	14	18	151	35	23	86
Blastocladiomycetes	1	12	41	2	0	34	26	9	5	33	0	57	40	6	6	4	33	32	26	14	52	2	45	3	11	9	22	11	12	3	6	15	60	11	8	5	24	3	28	14	14	70	93	37	11	45	11	24	4	13	12	49	19	23	8
Glomeromycetes	398	575	798	326	141	1840	1349	685	658	784	104	894	733	636	936	276	652	1116	240	429	1329	1338	1307	466	1820	1032	487	849	408	143	1317	741	1262	1499	642	444	911	429	1329	1280	656	1068	1056	1285	361	1791	1185	920	196	447	825	2025	440	293	876
Endogonomycetes	0	1	3	1	0	0	2	6	4	0	0	4	3	0	2	4	13	4	0	1	0	0	3	0	1	0	0	11	2	0	1	6	2	2	1	1	0	0	0	0	0	1	6	6	3	1	0	0	0	1	1	4	1	0	0
