ERR2840913	ERR2840898	ERR2840915	ERR2840901	ERR2840908	ERR2840936	ERR2840926	ERR2840892	ERR2840903	ERR2840906	ERR2840893	ERR2840925	ERR2840934	ERR2840910	ERR2840940	ERR2840924	ERR2840894	ERR2840937	ERR2840897	ERR2840914	ERR2840890	ERR2840928	ERR2840922	ERR2840911	ERR2840929	ERR2840912	ERR2840888	ERR2840923	ERR2840916	ERR2840909	ERR2840939	ERR2840895	ERR2840917	ERR2840938	ERR2840896	ERR2840889	ERR2840900	ERR2840904	ERR2840941	ERR2840919	ERR2840902	ERR2840942	ERR2840921	ERR2840935	ERR2840899	ERR2840932	ERR2840930	ERR2840933	ERR2840905	ERR2840891	ERR2840927	ERR2840931	ERR2840918	ERR2840907	ERR2840920
Poxviridae	2	0	1	0	3	18	6	2	0	1	0	75	3	0	18	0	6	0	0	3	1	0	20	0	5	0	1	0	0	0	1	2	1	1	8	0	0	0	0	0	3	4	12	2	1	4	0	0	0	0	2	4	0	0	0
Hepadnaviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Baculoviridae	0	0	0	0	0	10	12	5	2	43	0	1	1	0	0	13	8	3	3	6	3	0	2	0	2	1	0	14	0	0	3	4	15	1	0	0	0	3	37	1	3	4	30	3	2	0	34	0	1	0	12	10	3	6	1
Fuselloviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Polydnaviridae	0	1	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	1	0	0	2	1	0	2	0	0	0	0	0	1	0	0	0	0	0
Iridoviridae	1	0	1	0	0	11	11	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	5	1	0	0	3	0	0	0	0	17	3	1	0	2	0	1	5	4	4	1	0	0	1	0	2	0	0	3	0	14	0	8
Phycodnaviridae	0	2	8	48	0	15	8	7	0	2	0	7	15	0	0	1	9	5	2	4	1	1	19	0	4	15	4	4	2	0	4	1	6	5	7	1	26	0	3	5	1	6	6	39	1	36	14	6	0	2	8	17	1	2	3
Adenoviridae	0	1	1	0	0	0	3	4	0	0	0	4	4	0	3	0	4	1	4	1	0	0	0	0	0	0	2	0	0	1	1	2	0	0	0	1	1	0	1	0	0	2	2	1	1	1	0	0	0	1	1	1	0	2	3
Parvoviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0
Geminiviridae	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	2	0	0	2	0	0	0	0	0	0	4	1	0	1	1
Microviridae	1280	27	24	42	3	290	4	365	17	23	4	14	105	26	618	12	50	43	426	498	22	20	151	10	31	55	222	24	36	18	355	437	28	174	0	56	121	542	13	12	9	27	81	10	32	84	52	105	22	6	37	27	93	203	29
Inoviridae	0	0	2	0	0	0	32	3	0	0	0	9	1	0	0	15	0	0	0	0	1	1	0	0	0	5	0	427	0	0	0	0	6	0	0	0	0	3	0	0	0	0	42	9	1	17	4	0	0	0	1	0	0	0	0
Myoviridae	22	30	42	525	419	33	92	125	322	82	670	114	47	23	238	20	187	14	261	471	93	101	111	16	910	207	110	93	131	524	105	44	44	305	11	59	733	10	40	87	418	94	74	182	2608	66	14	57	9	84	25	63	561	148	61
Siphoviridae	109	185	261	62	146	119	354	122	527	93	166	168	97	147	35	3994	93	1117	148	176	1241	213	113	351	163	88	1741	4349	445	144	219	285	245	553	5823	153	1603	34	280	349	2215	384	183	358	3200	129	177	187	127	299	112	150	690	385	147
Podoviridae	414	164845	2991	639	44	67	2198	3669	15812	173	6	668	110	7735	1412	24	907	729	517	89	499	276	138	53	2586	2897	1574	12992	98	5894	2266	42908	14956	463	4	28392	43536	15174	162	113	34	500	8253	3697	14875	211	26319	5150	50	18438	240	3272	501	48	106
Ackermannviridae	0	0	1	0	0	3	2	0	0	0	0	1	1	0	0	5	0	1	2	0	2	0	4	0	1	0	0	59	0	0	2	1	7	0	0	0	0	0	0	0	1	0	4	0	0	1	0	0	0	0	1	0	0	4	0
Herelleviridae	1	0	4	0	2	0	12	2	51	6	1	8	6	1	4	3	1	1	1	0	1	0	25	1	5	1	2	3	1	0	1	5	42	21	3	0	0	6	10	3	5	7	15	2	2	3	13	1	0	5	9	1	1	1	7
Circoviridae	0	0	0	0	0	0	1	0	15	0	8	7	0	0	0	0	0	0	1	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	19	5	0	0	0	0	0	0	0	6	0	0	0
Asfarviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0
Papillomaviridae	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Polyomaviridae	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nimaviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bicaudaviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0
Herpesviridae	0	0	6	2	1	5	6	1	1	2	0	7	3	0	2	0	4	1	0	2	1	0	2	0	5	2	2	5	1	0	3	0	1	1	6	1	0	0	1	1	2	4	10	5	1	2	3	1	0	1	3	9	0	3	4
Alloherpesviridae	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Malacoherpesviridae	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Mimiviridae	7	12	13	28	1	17	25	21	33	17	4	13	8	1	3	3	6	9	6	3	47	1	36	5	17	22	6	8	3	6	8	10	7	19	17	3	7	14	32	72	13	17	23	6	3	20	1	22	0	1	18	32	2	11	38
Anelloviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Marseilleviridae	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	30	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	14	1	1	0	0
Hytrosaviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
Nudiviridae	0	0	1	0	0	0	0	0	12	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0
Lipothrixviridae	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Turriviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Sphaerolipoviridae	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
