ERR2840913	ERR2840898	ERR2840915	ERR2840901	ERR2840908	ERR2840936	ERR2840926	ERR2840892	ERR2840903	ERR2840906	ERR2840893	ERR2840925	ERR2840934	ERR2840910	ERR2840940	ERR2840924	ERR2840894	ERR2840937	ERR2840897	ERR2840914	ERR2840890	ERR2840928	ERR2840922	ERR2840911	ERR2840929	ERR2840912	ERR2840888	ERR2840923	ERR2840916	ERR2840909	ERR2840939	ERR2840895	ERR2840917	ERR2840938	ERR2840896	ERR2840889	ERR2840900	ERR2840904	ERR2840941	ERR2840919	ERR2840902	ERR2840942	ERR2840921	ERR2840935	ERR2840899	ERR2840932	ERR2840930	ERR2840933	ERR2840905	ERR2840891	ERR2840927	ERR2840931	ERR2840918	ERR2840907	ERR2840920
Caudovirales	547	165063	3305	1232	620	222	2661	3920	16826	354	845	960	262	7907	1693	4049	1204	1863	930	738	1836	595	391	430	3673	3203	3439	17533	678	6564	2595	43248	15296	1344	5851	28604	45874	15225	497	560	2683	1009	8530	4249	20702	418	26528	5472	187	18879	388	3499	1756	594	321
Herpesvirales	0	0	7	2	2	7	6	2	2	2	0	8	3	0	2	0	4	1	0	2	1	0	2	0	5	2	2	5	1	0	3	0	1	1	6	1	0	0	1	1	2	4	10	6	1	2	3	1	0	1	3	9	0	3	4
Ligamenvirales	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ortervirales	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	3	0	0	2	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4	3	0	2	0	0	0	0	0	2	0	1	2	1
Nidovirales	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	5	0	0	1	0	0	0	1	0	0	0	0	4	9	2	0	9	0	0	0	0	10	0	0	0	4	2	0	1	0	0	0	0	1	1	0	0	0
Picornavirales	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	8	6	3	0	0	89	0	0	42	0	0	4	1	0	5	34	1	140	0	1	0	0	28	0	0	0	1	0	0	1	16	2	0	0	0	2	0	1	0
Tymovirales	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	6	0	0	0	0	32	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	22	0	0	0	0	0	0	0	0	0
Mononegavirales	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	8	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0
Bunyavirales	0	0	0	0	0	0	0	1	6	0	0	1	0	2	0	0	1	0	0	1	3	0	1	0	0	0	1	1	0	1	1	0	2	0	3	0	2	0	0	1	3	1	1	0	0	0	0	0	1	0	1	0	0	1	0
Articulavirales	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Primates	175	296	713	411	122	841	789	523	300	529	148	691	658	325	377	199	704	544	218	378	565	765	981	336	901	684	328	806	310	89	769	595	794	723	375	524	464	255	934	1154	413	778	771	1129	306	672	1183	515	77	141	734	935	519	218	641
Chytridiales	0	0	6	14	17	3	9	17	6	11	1	13	2	0	2	1	6	7	12	1	14	6	16	0	5	17	6	28	2	2	19	1	11	3	2	2	16	1	7	21	13	9	22	16	7	8	0	4	0	1	10	13	1	7	1
Spizellomycetales	9	4	14	3	1	41	15	50	15	12	13	35	15	7	0	15	15	15	10	24	6	1	44	3	13	14	12	33	95	2	24	14	28	8	4	11	14	3	1	4	28	15	24	20	8	1	1	7	2	2	24	18	3	8	5
Rhizophydiales	3	5	56	4	20	16	24	14	5	21	31	87	16	7	10	44	20	40	5	9	12	0	33	15	14	25	17	102	11	5	18	16	40	11	17	5	26	5	51	12	14	44	19	14	25	57	17	14	7	21	49	27	3	7	4
Rhizophlyctidales	1	2	14	0	0	1	19	5	4	0	0	10	8	0	1	3	50	19	15	1	5	108	17	0	12	4	5	16	4	1	15	7	1	6	1	2	4	6	89	2	8	20	15	15	3	5	0	2	0	4	29	20	5	4	5
Caulochytriales	4	8	31	6	0	10	16	4	4	14	0	30	7	23	4	3	16	8	22	28	15	5	4	0	12	4	22	9	6	0	5	20	7	4	0	4	22	0	1	4	81	30	71	30	15	2	4	5	8	2	26	9	19	21	11
Synchytriales	2	6	18	1	0	34	12	5	3	6	2	11	24	2	0	8	17	4	14	4	12	1	27	0	41	6	3	9	1	0	1	13	2	3	3	8	11	3	50	56	11	10	21	4	13	13	36	5	1	0	38	36	4	1	26
