ERR2840913	ERR2840898	ERR2840915	ERR2840901	ERR2840908	ERR2840936	ERR2840926	ERR2840892	ERR2840903	ERR2840906	ERR2840893	ERR2840925	ERR2840934	ERR2840910	ERR2840940	ERR2840924	ERR2840894	ERR2840937	ERR2840897	ERR2840914	ERR2840890	ERR2840928	ERR2840922	ERR2840911	ERR2840929	ERR2840912	ERR2840888	ERR2840923	ERR2840916	ERR2840909	ERR2840939	ERR2840895	ERR2840917	ERR2840938	ERR2840896	ERR2840889	ERR2840900	ERR2840904	ERR2840941	ERR2840919	ERR2840902	ERR2840942	ERR2840921	ERR2840935	ERR2840899	ERR2840932	ERR2840930	ERR2840933	ERR2840905	ERR2840891	ERR2840927	ERR2840931	ERR2840918	ERR2840907	ERR2840920
Negarnaviricota	1	0	0	0	0	0	0	1	6	0	0	3	0	2	0	0	6	0	0	1	3	0	1	0	0	8	1	2	0	2	1	0	2	0	3	0	3	0	0	1	4	1	1	2	0	0	0	2	1	0	1	0	0	1	0
Chordata	175	296	713	411	122	841	789	523	300	529	148	691	658	325	377	199	704	544	218	378	565	765	981	336	901	684	328	806	310	89	769	595	794	723	375	524	464	255	934	1154	413	778	771	1129	306	672	1183	515	77	141	734	935	519	218	641
Chytridiomycota	49	71	185	37	76	228	244	199	79	170	51	261	165	87	30	90	195	129	118	84	154	164	223	52	175	134	108	336	182	14	197	141	179	91	79	90	139	63	316	268	190	181	338	138	121	134	216	143	46	53	221	305	73	80	154
Microsporidia	55	62	87	54	29	196	1558	68	85	256	48	277	182	76	86	43	262	92	102	89	313	245	162	87	164	198	115	187	14	22	115	47	377	112	141	62	236	69	185	169	284	192	171	117	62	158	145	63	37	24	319	203	123	49	81
Blastocladiomycota	1	12	41	2	0	34	26	9	5	33	0	57	40	6	6	4	33	32	26	14	52	2	45	3	11	9	22	11	12	3	6	15	60	11	8	5	24	3	28	14	14	70	93	37	11	45	11	24	4	13	12	49	19	23	8
Cryptomycota	4	1	14	1	4	22	18	17	3	1	2	5	14	1	3	1	4	5	3	0	3	0	11	8	3	1	3	1	0	0	8	24	4	6	1	6	6	8	1	2	13	6	6	2	0	5	1	2	1	1	3	32	0	8	1
Mucoromycota	492	888	1332	474	286	2680	2169	1112	879	1307	165	1318	1125	877	1342	417	1107	1563	442	673	1632	1920	2313	546	2668	1593	726	1505	550	177	2197	1051	1660	2078	937	553	1443	576	2067	1972	1175	1738	1684	1920	586	2410	1650	1410	366	554	1337	3387	636	414	1294
Zoopagomycota	95	286	499	201	87	655	529	438	238	308	109	628	488	216	270	212	459	326	180	235	746	367	803	230	861	406	228	776	186	60	693	418	381	746	274	118	382	172	625	856	255	514	621	546	182	602	564	469	35	154	500	997	331	116	475
Ascomycota	5229	7214	21226	9705	3146	26333	22826	13468	7107	17524	2297	29060	15976	5682	13769	8261	22705	18237	15071	13282	27257	18872	24870	3509	25798	11316	12376	26620	8343	3532	21314	15382	21140	20613	6360	6705	17371	5349	28633	22996	27006	35315	37250	20936	8649	20341	19802	14674	4713	8340	22015	29196	11203	8698	14257
Basidiomycota	1497	1922	5339	2298	851	8059	5993	3689	2493	6832	1310	7262	4786	1895	5140	2296	5973	4874	3592	3212	6629	7177	7306	1214	8348	3648	2982	7451	2164	890	7453	4491	6076	6480	1756	1532	3964	1558	9477	6343	5699	8525	9525	6036	2468	6226	6093	4295	1177	1528	6672	8855	3077	2177	4120
