Sample,Site,study_id,DNA Concentration (ng/uL)
A1,Soweto,1186710,46.4
A2,Soweto,1333396,8.16
A3,Soweto,1398468,102
A4,Soweto,1499095,13.1
A5,Soweto,1554354,31.4
A6,Soweto,1597674,12.9
A7,Soweto,1625090,16.2
A8,Soweto,1646098,22
A9,Soweto,1930043,13.6
A10,Soweto,2031518,25.6
A11,Soweto,2123689,6.22
A12,Soweto,2146745,34.8
A13,Soweto,2266332,16.4
A14,Soweto,2554637,36.2
A15,Soweto,2554637,25
A16,Soweto,3379474,12.3
A17,Soweto,3480141,49.8
A18,Soweto,3602219,2.54
A19,Soweto,3663723,58.8
A20,Soweto,3823345,62.8
A21,Soweto,3924929,62.2
A22,Soweto,3956441,24.6
A23,Soweto,4042204,22.2
B79,Soweto,4152135,89.4
A24,Soweto,4233802,50.6
A25,Soweto,4858889,26
A26,Soweto,4971044,29
C19,Agincourt,BKHRQ,3.44
C25,Agincourt,BQNHZ,40.8
C23,Agincourt,BZEHG,31.6
A27,Soweto,CAWOD,20.2
A28,Soweto,CAX0E,25.4
C1,Agincourt,CBSNC,34
A29,Soweto,CBY0H,76.6
A30,Soweto,CBZOI,41.8
A31,Soweto,CCJOV,72.8
C26,Agincourt,CCLEW,24.6
A32,Soweto,CCPOB,8.42
A33,Soweto,CDKOY,22.6
A34,Soweto,CFI0B,41
A35,Soweto,CFVOM,31.8
A36,Soweto,CHPOL,54
A37,Soweto,CKQOT,41.8
A38,Soweto,CKXOB,too high
C27,Agincourt,CLLYS,51.4
A39,Soweto,CLNOT,28.4
A40,Soweto,CMMOV,26
C3,Agincourt,CQGFO,7.8
A41,Soweto,CQMOC,90.4
A42,Soweto,CRCOS,18.3
A43,Soweto,CRXON,31.6
A44,Soweto,CSK0E,8.64
C17,Agincourt,CTBOZ,24.2
A45,Soweto,CVQON,22.6
A46,Soweto,CWIOI,9.84
A47,Soweto,CWQ0Q,58
A48,Soweto,CXCOE,20.6
A49,Soweto,DBGOS,13.3
A50,Soweto,DBT0G,59.8
A51,Soweto,DCGOV,17.4
A52,Soweto,DDPOG,37.2
A53,Soweto,DDWOM,14.5
A54,Soweto,DDZ0Q,98.8
A55,Soweto,DEROK,33.2
C11,Agincourt,DFEZM,3.12
A56,Soweto,DGEOC,43.8
A57,Soweto,DGV05,13
C32,Agincourt,DGXFV,3.58
A58,Soweto,DHHOH,18.5
C8,Agincourt,DKWHW,19.5
C5,Agincourt,DZPJR,29
C2,Agincourt,DZWHL,46
C12,Agincourt,EDFHQ,25.2
C28,Agincourt,EKZCV,5.6
C20,Agincourt,ELHZE,3.74
C6,Agincourt,EZWQX,11
C24,Agincourt,FQOSV,6.3
C16,Agincourt,FRGPC,15.9
C18,Agincourt,GWBHF,29.6
C13,Agincourt,HDWHX,23.6
C10,Agincourt,HEJHE,43.8
C30,Agincourt,HFZEJ,11.8
C29,Agincourt,HGRSG,49
C4,Agincourt,HPRXQ,1.87
C15,Agincourt,HVFJZ,15.1
C7,Agincourt,JJNSF,21.8
C33,Agincourt,JLNGC,36.8
C14,Agincourt,JQKFV,5.32
C22,Agincourt,JRWPH,12
C9,Agincourt,JXTVM,15.7
C31,Agincourt,KDRZJ,35.6
C21,Agincourt,KLHYD,5.98
A59,Agincourt,MB17003,20
A60,Agincourt,MB17004,7.2
A61,Agincourt,MB17006,8.84
A62,Agincourt,MB17007,7.72
A63,Agincourt,MB17009,27.2
A64,Agincourt,MB17010,27.6
A65,Agincourt,MB17011,120
A66,Agincourt,MB17012,2.5
A67,Agincourt,MB17013,12.7
B72,Agincourt,MB17014,90.8
A68,Agincourt,MB17015,31.6
A69,Agincourt,MB17016,12.3
A70,Agincourt,MB17017,27.4
A71,Agincourt,MB17018,14
A72,Agincourt,MB17019,40.4
A73,Agincourt,MB17020,1.9
A74,Agincourt,MB17021,44
A75,Agincourt,MB17022,too high
A76,Agincourt,MB17023,9.5
A77,Agincourt,MB17024,15.1
A78,Agincourt,MB17025,4.22
A79,Agincourt,MB17026,2.96
B1,Agincourt,MB17027,77.6
B2,Agincourt,MB17028,65.2
B3,Agincourt,MB17029,6.22
B4,Agincourt,MB17030,66.4
B5,Agincourt,MB17031,11.3
B6,Agincourt,MB17032,46.8
B7,Agincourt,MB17033,26.4
B78,Agincourt,MB17034,112
B8,Agincourt,MB17035,11.9
B9,Agincourt,MB17036,12
B73,Agincourt,MB17037,77.8
B10,Agincourt,MB17038,96.2
B11,Agincourt,MB17039,17.2
B12,Agincourt,MB17040,55.6
B13,Agincourt,MB17041,19.7
B14,Agincourt,MB17042,4.92
B15,Agincourt,MB17043,10.4
B16,Agincourt,MB17044,8
B17,Agincourt,MB17045,28.2
B74,Agincourt,MB17046,77.4
B18,Agincourt,MB17047,15.1
B19,Agincourt,MB17048,96.6
B20,Agincourt,MB17049,22.6
B21,Agincourt,MB17050,10.2
B22,Agincourt,MB17051,59.4
B23,Agincourt,MB17052,49
B24,Agincourt,MB17053,33.6
B25,Agincourt,MB17054,69.4
B26,Agincourt,MB17055,21.2
B27,Agincourt,MB17056,17.5
B28,Agincourt,MB17057,19.4
B29,Agincourt,MB17058,43.8
B30,Agincourt,MB17059,27.8
B31,Agincourt,MB17061,58.6
B32,Agincourt,MB17062,5.34
B33,Agincourt,MB17063,30.2
B34,Agincourt,MB17064,24.2
B35,Agincourt,MB17065,30.6
B36,Agincourt,MB17066,11.4
B37,Agincourt,MB17067,41.2
B75,Agincourt,MB17068,97.8
B76,Agincourt,MB17069,96.6
B38,Agincourt,MB17070,15.2
B39,Agincourt,MB17071,10.6
B40,Agincourt,MB17072,91.8
B41,Agincourt,MB17073,12.3
B77,Agincourt,MB17074,104
B42,Agincourt,MB17075,33.2
B43,Agincourt,MB17076,30.4
B44,Agincourt,MB17077,20.2
B45,Agincourt,MB17078,18.1
B46,Agincourt,MB17079,1.07
B47,Agincourt,MB17080,30.8
B48,Agincourt,MB17081,14.2
B49,Agincourt,MB17082,29.2
B50,Agincourt,MB17083,11.6
B51,Agincourt,MB17084,39.4
B52,Agincourt,MB17085,7
B53,Agincourt,MB17086,24.4
B54,Agincourt,MB17087,27.8
B55,Agincourt,MB17088,37.8
B56,Agincourt,MB17091,6.56
B57,Agincourt,MB17092,59.2
B58,Agincourt,MB17093,35
B59,Agincourt,MB17094,116
