feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
tetQ..ARO.3000191.	site	Soweto	0.474141134739245	0.0930890972499883	169	168	9.41782495931339e-07	0.000106421422040241
lnuC..ARO.3002837.	site	Soweto	2.83402822400194	0.608522684135852	169	60	6.50994994660023e-06	0.000367812171982913
SAT.4..ARO.3002897.	site	Soweto	3.51696119264628	0.799306777643517	169	34	1.92358474003308e-05	0.000724550252079125
tet32..ARO.3000196.	site	Soweto	-0.706251962126659	0.179020550326204	169	161	0.000117246750844922	0.00331222071136904
APH.3....Ib..ARO.3002639.	site	Soweto	-2.1304642053116	0.576766888586883	169	56	0.000299027446397397	0.00675802028858116
ErmB..ARO.3000375.	site	Soweto	1.67168259738609	0.470221553254844	169	50	0.00049164548425383	0.00848371330194809
mdtF..ARO.3000796.	site	Soweto	-1.65174392105546	0.469781826893885	169	49	0.000564201719356117	0.00848371330194809
Escherichia.coli.acrR.....ARO.3003807.	site	Soweto	-1.75252591312919	0.500993488430628	169	46	0.000600616870934378	0.00848371330194809
APH.6..Id..ARO.3002660.	site	Soweto	-1.61685996385751	0.467443187064371	169	97	0.000688216094486728	0.00864093540855558
emrA..ARO.3000027.	site	Soweto	-1.62150904690441	0.496575425787451	169	54	0.001326403771217	0.0136257841952292
emrY..ARO.3000254.	site	Soweto	-1.60117974305733	0.490221886244664	169	41	0.00132266257952372	0.0136257841952292
msbA..ARO.3003950.	site	Soweto	-1.40918375273929	0.443235951850485	169	49	0.00175968760044142	0.0165703915708233
marA..ARO.3000263.	site	Soweto	-1.09982271725321	0.373688730786123	169	62	0.00371149937278945	0.0287634254565824
mdtB..ARO.3000793.	site	Soweto	-1.60227252072583	0.550085234409283	169	40	0.00407269740978158	0.0287634254565824
mdtG..ARO.3001329.	site	Soweto	-1.00070757239266	0.336280187929744	169	76	0.0033561260333843	0.0287634254565824
tetB.46...ARO.3004033.	site	Soweto	2.17103260456228	0.740010260747766	169	20	0.00381957692407274	0.0287634254565824
emrD..ARO.3000309.	site	Soweto	-1.56472237940751	0.557228303850978	169	35	0.00557841723881549	0.0354617687210709
MdfA..ARO.3001328.	site	Soweto	-1.1343524059837	0.404574949874462	169	54	0.00564877731840067	0.0354617687210709
mdtP..ARO.3003550.	site	Soweto	-1.71138849262351	0.618330608536585	169	35	0.00628169641399848	0.0373595628832541
mdtC..ARO.3000794.	site	Soweto	-1.18162555125178	0.433856933830146	169	45	0.00714550782609691	0.0384496373499501
Escherichia.coli.folP.....ARO.3003386.	site	Soweto	-1.21632944642784	0.444766428224525	169	45	0.00691663816725598	0.0384496373499501
mdtL..ARO.3001215.	site	Soweto	-1.08096961881695	0.401015609985467	169	57	0.00774577643829569	0.0397851244330642
acrD..ARO.3000491.	site	Soweto	-0.946470961056073	0.360704228365569	169	54	0.00949705481056121	0.0440130289534882
CRP..ARO.3000518.	site	Soweto	-0.82068983346431	0.315517989136745	169	93	0.0101268916176167	0.0440130289534882
CblA.1..ARO.3002999.	site	Soweto	0.928309041912645	0.355598075855484	169	92	0.00986163177090281	0.0440130289534882
Escherichia.coli.GlpT.....ARO.3003889.	site	Soweto	-1.80528919582346	0.68740196761531	169	31	0.00943578389819757	0.0440130289534882
evgA..ARO.3000832.	site	Soweto	-1.09387198740118	0.427590369822504	169	48	0.011409464250172	0.0477507207507197
sul2..ARO.3000412.	site	Soweto	-1.23399507080999	0.494349494383784	169	85	0.0135231676534696	0.0492941272529698
ErmF..ARO.3000498.	site	Soweto	-0.533045075854031	0.210882924742262	169	144	0.012410195534808	0.0492941272529698
tet44..ARO.3000556.	site	Soweto	-1.58686838538925	0.63448730445397	169	88	0.0133470210607072	0.0492941272529698
Escherichia.coli.ompF.....ARO.3003390.	site	Soweto	-0.901102408031124	0.358154872417082	169	65	0.0128147559218256	0.0492941272529698
evgS..ARO.3000833.	site	Soweto	-1.14686613565051	0.466346849530715	169	40	0.0149420229731744	0.052764018624022
Escherichia.coli.marR.....ARO.3003378.	site	Soweto	-1.19899489129602	0.490913494167251	169	35	0.0156332853910374	0.0535321590662795
emrK..ARO.3000206.	site	Soweto	-0.950029611962362	0.392560234432856	169	57	0.0165894402680434	0.0535601928653972
msrB..ARO.3002818.	site	Soweto	-1.07572525678765	0.444030417783159	169	43	0.0164773779577395	0.0535601928653972
Salmonella.serovars.parE.....ARO.3003317.	site	Soweto	-0.993880710102312	0.412921141437959	169	52	0.0171769001070864	0.053916380891688
AcrS..ARO.3000656.	site	Soweto	-1.1354485442332	0.48624797206943	169	43	0.020726197858208	0.0619736526020426
mdtH..ARO.3001216.	site	Soweto	-0.956482486834416	0.409981135923449	169	49	0.0208406973352002	0.0619736526020426
mdtO..ARO.3003549.	site	Soweto	-0.949843000381234	0.409092239289114	169	50	0.0214494980911222	0.0621485457512003
gadE..ARO.3003834.	site	Soweto	-0.744147062403245	0.328496542240442	169	69	0.0247784925072749	0.0682919427639529
YojI..ARO.3003952.	site	Soweto	-0.807235218318618	0.356144066305916	169	67	0.0246980105214307	0.0682919427639529
Escherichia.coli.gyrB.....ARO.3003303.	site	Soweto	-0.8500497375376	0.38684748598289	169	53	0.0293701770036139	0.0790197619382945
AcrF..ARO.3000502.	site	Soweto	-0.722209423707948	0.331974412010399	169	65	0.0309984968759136	0.0814611662087963
mdtE..ARO.3000795.	site	Soweto	-0.864597011759771	0.408348165295537	169	56	0.0357149568188498	0.0917225027393189
emrR..ARO.3000516.	site	Soweto	-0.756681732340115	0.362450686675005	169	61	0.0383444309628358	0.0941939282347922
mdtM..ARO.3001214.	site	Soweto	-1.2804337087688	0.612829320371015	169	27	0.0381892676336246	0.0941939282347922
TEM.211..ARO.3001388.	site	Soweto	-1.69844213873891	0.823957550230657	169	39	0.0408222786912027	0.0961024477522064
Escherichia.coli.murA.....ARO.3003775.	site	Soweto	-1.04733189273707	0.506569459649185	169	38	0.0402296922312204	0.0961024477522064
H.NS..ARO.3000676.	site	Soweto	-1.13002511920344	0.554867529509099	169	29	0.0432727162479982	0.0997921823678325
patA..ARO.3000024.	site	Soweto	-0.682169950771578	0.349179297027089	169	60	0.052414781115241	0.108071947771069
mdtA..ARO.3000792.	site	Soweto	-0.854811819389543	0.430129702927745	169	44	0.0485202309989917	0.108071947771069
APH.3...IIIa..ARO.3002647.	site	Soweto	2.02320413963307	1.02302607256558	169	63	0.0496117887185933	0.108071947771069
Escherichia.coli.rpoB.....ARO.3003288.	site	Soweto	-0.641596254835104	0.325764551662111	169	85	0.0505487859055042	0.108071947771069
Escherichia.coli.EF.Tu.....ARO.3003369.	site	Soweto	-0.53493559878843	0.274034040395016	169	81	0.0526013905080423	0.108071947771069
PmrC..ARO.3003576.	site	Soweto	-0.667378505331033	0.340264964837973	169	69	0.0515009969331042	0.108071947771069
PmrF..ARO.3003578.	site	Soweto	-0.561743531745167	0.290142453712337	169	78	0.0545445553618998	0.110063120640976
antibiotic.resistant.fabG..ARO.3004049.	site	Soweto	-0.743543758421798	0.391058329240787	169	53	0.0589766014856536	0.116918525752261
Escherichia.coli.soxS.....ARO.3003511.	site	Soweto	-0.608375552122795	0.3247005537415	169	64	0.0627255883816946	0.122206749778129
mdtD..ARO.3001330.	site	Soweto	-0.647643340661393	0.361145485765834	169	52	0.0747340538806844	0.142606818547449
PmrE..ARO.3003577.	site	Soweto	-1.40325142344113	0.785171774669811	169	18	0.075720434626964	0.142606818547449
vanTG..ARO.3002972.	site	Soweto	-1.39201483051243	0.78598585735446	169	31	0.0783776533875876	0.145191390701597
acrB..ARO.3000216.	site	Soweto	-0.679960217661607	0.395446126219912	169	44	0.0873804374312886	0.15308684353533
baeR..ARO.3000828.	site	Soweto	-0.547802153922491	0.318642343597119	169	68	0.0874352880546003	0.15308684353533
baeS..ARO.3000829.	site	Soweto	-0.839037281105243	0.489015213012289	169	33	0.0880588038035084	0.15308684353533
Escherichia.coli.nfsA.....ARO.3003751.	site	Soweto	-0.648409539244276	0.373498217948825	169	58	0.0844002937046301	0.15308684353533
AcrE..ARO.3000499.	site	Soweto	-0.690793990634533	0.409682508728803	169	40	0.0936305728058611	0.160306889803974
emrB..ARO.3000074.	site	Soweto	-0.623240819867635	0.372719650660813	169	46	0.0963685259459966	0.16101990942821
antibiotic.resistant.fabI..ARO.3004045.	site	Soweto	-0.450965386192927	0.270124229446207	169	83	0.0968969366470645	0.16101990942821
mdtN..ARO.3003548.	site	Soweto	-0.571024147738436	0.358654072639771	169	54	0.113246421496086	0.18281208041511
Haemophilus.parainfluenzae.gyrA.....ARO.3003924.	site	Soweto	-1.21058803739312	0.759813502178119	169	22	0.112990585282213	0.18281208041511
cpxA..ARO.3000830.	site	Soweto	-0.656506722583198	0.425025646829407	169	49	0.12432901440444	0.197875755319743
CcrA.beta.lactamase..ARO.3000578.	site	Soweto	-1.07871312790845	0.703093433406641	169	21	0.126863271319147	0.199104856375883
ANT.6..Ib..ARO.3002629.	site	Soweto	0.553898361399329	0.363328885460708	169	116	0.129272978197388	0.200107486798697
TolC..ARO.3000237.	site	Soweto	-0.420213624372554	0.278538752137455	169	85	0.133281344637247	0.203524215459579
Enterobacter.cloacae.acrA..ARO.3004042.	site	Soweto	-0.402906215420123	0.269469585935244	169	110	0.136754082269618	0.206042817286225
arnA..ARO.3002985.	site	Soweto	-0.472735011315619	0.319108388511524	169	80	0.140377820034096	0.208719653471748
sdiA..ARO.3000826.	site	Soweto	-0.598188681473161	0.408079372663181	169	58	0.144565800578264	0.212155006043426
bacA..ARO.3002986.	site	Soweto	-0.494537996533259	0.348121686994921	169	49	0.157300518497212	0.22788408448955
gadX..ARO.3000508.	site	Soweto	-0.505031662719366	0.361557244701095	169	77	0.164320100791151	0.235040144169621
