Sample	Bin	Genes	X..contigs.....0.bp.	X..contigs.....10000.bp.	X..contigs.....50000.bp.	X..contigs.....100000.bp.	X..contigs.....250000.bp.	X..contigs.....500000.bp.	X..contigs.....1000000.bp.	X..contigs.....2000000.bp.	X..contigs.....3000000.bp.	Total.length.....0.bp.	Total.length.....10000.bp.	Total.length.....50000.bp.	Total.length.....100000.bp.	Total.length.....250000.bp.	Total.length.....500000.bp.	Total.length.....1000000.bp.	Total.length.....2000000.bp.	Total.length.....3000000.bp.	X..contigs	Largest.contig	Total.length	N50	N75	L50	L75	X..N.s.per.100.kbp	Marker.lineage	X..genomes	X..markers	X..marker.sets	X0	X1	X2	X3	X4	X5.	Completeness	Contamination	Strain.heterogeneity	tRNA	rna.16S	rna.23S	rna.5S	Majority.Class	Majority.Fraction	Size.Mb	Final.Class	Coverage
A1	bin.1	1041	238	7	0	0	0	0	0	0	0	1065403	94357	0	0	0	0	0	0	0	238	22368	1065403	4534	3455	79	147	0	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	8	0	0	0	Prevotella_sp.	48.109	1.07	Prevotella	15.8404847743061
A1	bin.2	2677	706	45	0	0	0	0	0	0	0	3537659	601656	0	0	0	0	0	0	0	706	45399	3537659	5430	3625	209	411	0	k__Bacteria (UID203)	5449	104	58	49	30	20	5	0	0	61.87	27.19	62.86	11	0	0	1	Prevotella_sp.	53.491	3.54	Prevotella	18.5193654900034
A1	bin.3	1682	346	22	0	0	0	0	0	0	0	1847856	264272	0	0	0	0	0	0	0	346	18901	1847856	6111	4030	109	202	0	o__Clostridiales (UID1212)	172	261	147	70	188	3	0	0	0	83.65	2.04	66.67	12	0	0	3	Faecalibacterium_prausnitzii	92.58	1.85	Faecalibacterium_prausnitzii	22.6930832272645
A1	bin.4	2331	373	82	1	0	0	0	0	0	0	2820287	1398407	54878	0	0	0	0	0	0	373	54878	2820287	9957	5403	84	182	0	k__Bacteria (UID203)	5449	104	58	52	50	2	0	0	0	78.45	3.45	100	33	0	0	4	Prevotella_copri	95.079	2.82	Prevotella_copri	78.9012784869058
A1	bin.5	200	27	6	0	0	0	0	0	0	0	217322	114866	0	0	0	0	0	0	0	27	39760	217322	10206	5895	6	13	0	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	NA	0	0	0	Prevotella_copri	92.329	0.22	Prevotella_copri	41.6920514259946
A1	bin.6	1634	296	63	0	0	0	0	0	0	0	2176372	949093	0	0	0	0	0	0	0	296	32668	2176372	9077	5587	78	154	0	o__Bacteroidales (UID2716)	92	487	270	133	353	1	0	0	0	76.21	0.37	100	11	0	0	0	Prevotella_sp.	98.114	2.18	Prevotella_sp.	27.0099964528123
A1	bin.7	950	303	8	0	0	0	0	0	0	0	1341783	89997	0	0	0	0	0	0	0	303	13543	1341783	4664	3460	104	189	0	k__Bacteria (UID203)	5449	104	58	85	19	0	0	0	0	31.9	0	0	4	0	0	0	Prevotella_sp.	66.916	1.34	Prevotella_sp.	15.178609357847
A2	bin.1	2942	74	57	29	11	0	0	0	0	0	3627493	3522733	2777631	1455134	0	0	0	0	0	74	187751	3627493	92568	51810	15	28	0	g__Prevotella (UID2724)	55	567	296	6	554	5	2	0	0	99.22	2.7	18.18	46	0	0	5	Prevotella_copri	98.585	3.63	Prevotella_copri	139.654011737583
A2	bin.2	1826	560	21	0	0	0	0	0	0	0	2576491	248737	0	0	0	0	0	0	0	560	16211	2576491	4754	3442	182	342	0	o__Bacteroidales (UID2654)	163	486	266	236	249	1	0	0	0	51.2	0.13	0	2	0	0	0	Bacteroides_dorei	34.72	2.58	Bacteroides	14.535641692519
A4	bin.1	146	31	7	0	0	0	0	0	0	0	226618	134503	0	0	0	0	0	0	0	31	38101	226618	12106	3725	6	14	0	k__Bacteria (UID203)	5449	104	58	102	2	0	0	0	0	3.45	0	0	NA	0	0	0	Prevotella_copri	98.274	0.23	Prevotella_copri	64.9376925045672
A4	bin.2	2107	316	46	2	0	0	0	0	0	0	2056276	811117	121117	0	0	0	0	0	0	316	62581	2056276	7474	4551	72	161	0	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	27	0	0	1	Prevotella_copri	48.659	2.06	Prevotella	35.9046402331205
A4	bin.3	1996	274	91	1	0	0	0	0	0	0	2562352	1521305	61242	0	0	0	0	0	0	274	61242	2562352	11620	7567	69	138	0	k__Bacteria (UID203)	5449	104	58	57	41	5	1	0	0	65.83	4.61	75	16	0	0	0	Prevotella_sp.	55.449	2.56	Prevotella	34.2027363921897
A4	bin.4	447	108	3	0	0	0	0	0	0	0	517026	45233	0	0	0	0	0	0	0	108	17031	517026	5066	3724	36	66	0	root (UID1)	5656	56	24	53	3	0	0	0	0	12.5	0	0	2	0	0	0	Prevotella_copri	97.024	0.52	Prevotella_copri	71.5237724988685
A4	bin.5	1406	304	44	0	0	0	0	0	0	0	1872691	648581	0	0	0	0	0	0	0	304	24854	1872691	7134	4367	78	164	0	k__Bacteria (UID203)	5449	104	58	79	22	3	0	0	0	32.76	3.45	100	14	0	0	2	Prevotella_copri	89.115	1.87	Prevotella_copri	61.3117433682332
A4	bin.6	1940	257	92	2	0	0	0	0	0	0	2492667	1592024	116558	0	0	0	0	0	0	257	60371	2492667	13101	7091	62	126	0	k__Bacteria (UID203)	5449	104	58	54	50	0	0	0	0	71.55	0	0	14	1	0	0	Prevotella_sp.	98.909	2.49	Prevotella_sp.	40.5128121806884
A4	bin.7	1483	328	35	0	0	0	0	0	0	0	1927790	450988	0	0	0	0	0	0	0	328	37587	1927790	6640	4544	99	186	0	k__Bacteria (UID203)	5449	104	58	68	33	3	0	0	0	55.34	5.17	100	4	0	0	2	Prevotella_sp.	83.818	1.93	Prevotella_sp.	30.4109109394695
A6	bin.1	2344	426	59	0	0	0	0	0	0	0	2641850	837831	0	0	0	0	0	0	0	426	21043	2641850	7181	4501	117	233	0	f__Lachnospiraceae (UID1286)	57	420	207	94	325	1	0	0	0	83.58	0.05	0	12	0	0	0	[Eubacterium]_rectale	85.089	2.64	[Eubacterium]_rectale	17.9875655317297
A6	bin.2	3761	337	166	6	0	0	0	0	0	0	4579021	3634049	410479	0	0	0	0	0	0	337	90622	4579021	19986	10932	69	148	0	o__Bacteroidales (UID2654)	163	486	266	47	439	0	0	0	0	97.03	0	0	36	0	0	3	Bacteroides_vulgatus	89.119	4.58	Bacteroides_vulgatus	29.7249892498855
A6	bin.3	504	166	2	0	0	0	0	0	0	0	605356	22621	0	0	0	0	0	0	0	166	12353	605356	3532	2914	61	110	0	k__Bacteria (UID203)	5449	104	58	83	20	1	0	0	0	12.07	0.16	0	2	0	0	0	Alistipes_finegoldii	77.999	0.61	Alistipes_finegoldii	11.4953845340593
A6	bin.4	600	193	1	0	0	0	0	0	0	0	714877	11421	0	0	0	0	0	0	0	193	11421	714877	3643	3023	74	128	0	o__Clostridiales (UID1212)	172	263	149	179	84	0	0	0	0	30.08	0	0	2	0	0	0	Clostridium_sp.	56.965	0.71	Clostridium	10.8165460631689
A6	bin.5	276	85	0	0	0	0	0	0	0	0	288935	0	0	0	0	0	0	0	0	85	7214	288935	3242	2827	35	59	0	k__Bacteria (UID203)	5449	104	58	88	16	0	0	0	0	10.89	0	0	NA	0	0	0	Firmicutes_bacterium	86.737	0.29	Firmicutes_bacterium	11.6159343797048
A6	bin.6	1978	267	76	0	0	0	0	0	0	0	2275802	1178500	0	0	0	0	0	0	0	267	34379	2275802	10074	6942	72	140	0	o__Clostridiales (UID1212)	172	263	149	14	249	0	0	0	0	93.62	0	0	7	0	0	1	[Eubacterium]_siraeum	85.007	2.28	[Eubacterium]_siraeum	23.4915427616286
A6	bin.7	305	22	11	0	0	0	0	0	0	0	299166	240636	0	0	0	0	0	0	0	22	47912	299166	19495	12606	5	10	0	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	NA	0	0	0	Bacteroides_sp.	28.025	0.3	Bacteroides	39.1373016987224
