VF	Shortbred VF family	Description
1	VFDB|VFG000461(gb|NP_460111)_Victors|gi|16764496|ref|NP_460111_1|_virulence|8106|vfid|10124|vsiid|12483|ssid|curli_virulence|8106|vfid|10124|vsiid|12484|ssid|curli	curli production assembly/transport protein CsgF [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
2	VFDB|VFG000477(gi_16766230)_virulence|8145|vfid|10203|vsiid|12602|ssid|RNA_virulence|8145|vfid|10203|vsiid|12603|ssid|RNA	sigma S (sigma 38) factor of RNA polymerase, major sigmafactor during stationary phase [RpoS (VF0112)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
3	VFDB|VFG000478(gi_16764063)_virulence|7361|vfid|8608|vsiid|10526|ssid|ferric_virulence|7362|vfid|8610|vsiid|10528|ssid|ferric_virulence|7365|vfid|8616|vsiid|10534|ssid|ferric_virulence|7365|vfid|8616|vsiid|12594|ssid|ferric	transcriptional repressor of iron-responsive genes (Fur family) (ferric uptake regulator) [Fur (VF0113)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
4	VFDB|VFG000872(gb|NP_757240)_virulence|8657|vfid|11186|vsiid|14055|ssid|tyrosine_virulence|8657|vfid|11186|vsiid|14056|ssid|tyrosine	Type 1 fimbriae Regulatory protein fimE [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]
5	VFDB|VFG000877(gb|NP_757245)_Victors|gi|26251205|ref|NP_757245_1|_virulence|8658|vfid|11188|vsiid|14058|ssid|FimF_virulence|8658|vfid|11188|vsiid|14059|ssid|FimF	FimF protein precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]
6	VFDB|VFG000929(gb|NP_752599)_virulence|7211|vfid|8307|vsiid|10225|ssid|phosphopantetheinyltransferase_virulence|7211|vfid|8307|vsiid|14138|ssid|phosphopantetheinyltransferase	phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]
7	VFDB|VFG000937(gb|NP_755499)_Victors|gi|26249459|ref|NP_755499_1|_Victors|gi|218706524|ref|YP_002414043_1|_Victors|gi|260854499|ref|YP_003228390_1|_virulence|8674|vfid|11220|vsiid|14106|ssid|IucD_virulence|8674|vfid|11220|vsiid|14107|ssid|Iu	L-lysine 6-monooxygenase IucD [Aerobactin (VF0229)] [Escherichia coli CFT073]
8	VFDB|VFG001448(gb|AAA21682)_virulence|8666|vfid|11204|vsiid|14082|ssid|kpsD_virulence|8666|vfid|11204|vsiid|14083|ssid|kpsD	NA
9	VFDB|VFG001731(gi_26249445)_virulence|14086|vfid|22620|vsiid|42932|ssid|bifunctional_virulence|14086|vfid|22620|vsiid|42933|ssid|bifunctional_virulence|16307|vfid|37204|vsiid|58041|ssid|bifunctional	bifunctional enterobactin receptor/adhesin protein [IrgA homolog adhesin (Iha) (AI324)] [Escherichia coli CFT073]
10	VFDB|VFG004061(gi_16760106)	transcriptional regulatory protein PhoP, regulator of virulence determinants [PhoPQ (CVF010)] [Salmonella enterica subsp. enterica serovar Typhi str. CT18]
11	VFDB|VFG004125(gb|NP_460113)_Victors|gi|16764498|ref|NP_460113_1|	DNA-binding transcriptional regulator CsgD [curli fibers/thin aggregative fimbriae (AGF) (AI094)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
12	VFDB|VFG005862(gi_125718223)	DTDP-glucose-4,6-dehydratase, putative [Capsule (CVF186)] [Streptococcus sanguinis SK36]
13	VFDB|VFG005865(gi_24378821)	glucose-1-phosphate uridylyltransferase [Capsule (CVF186)] [Streptococcus mutans UA159]
14	VFDB|VFG005952(gi_116627842)	UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase [Capsule (CVF186)] [Streptococcus thermophilus LMD-9]
15	VFDB|VFG006052(gi_55823163)	glucose-1-phosphate thymidyl transferase [Capsule (CVF186)] [Streptococcus thermophilus CNRZ1066]
16	VFDB|VFG006073(gi_55823381)	polysaccharide biosynthesis protein/putative rhamnosyl transferase [Capsule (CVF186)] [Streptococcus thermophilus CNRZ1066]
17	VFDB|VFG006079(gi_116628179)	Glycosyltransferase involved in cell wall biogenesis [Capsule (CVF186)] [Streptococcus thermophilus LMD-9]
18	VFDB|VFG007572(gi_37680647)	chemotaxis protein CheY [Flagella (CVF281)] [Vibrio vulnificus YJ016]
19	VFDB|VFG012283(gi_117626622)	type 1 fimbriae major subunit FimA [Type I fimbriae (CVF426)] [Escherichia coli APEC O1]
20	VFDB|VFG012290(gi_117626623)	FimI fimbrial protein [Type I fimbriae (CVF426)] [Escherichia coli APEC O1]
21	VFDB|VFG012318(gi_117626627)	P pilus assembly protein, pilin FimA [Type I fimbriae (CVF426)] [Escherichia coli APEC O1]
22	VFDB|VFG012874(gi_30064027)	hypothetical protein [Mxi-Spa TTSS effectors controlled by MxiE (CVF465)] [Shigella flexneri 2a str. 2457T]
23	VFDB|VFG012900(gi_82545403)	putative type II secretion protein [T2SS (Type II secretion system) (CVF466)] [Shigella boydii Sb227]
24	VFDB|VFG012919(gi_74313620)	serine protease [SigA (CVF467)] [Shigella sonnei Ss046]
25	VFDB|VFG012989(gi_82543040)	2,3-dihydroxybenzoate-AMP ligase [Enterobactin synthesis (CVF477)] [Shigella boydii Sb227]
26	VFDB|VFG013000(gi_110804576)	Enterobactin synthetase component F [Enterobactin synthesis (CVF477)] [Shigella flexneri 5 str. 8401]
27	VFDB|VFG013009(gi_82775861)	outer membrane receptor for ferric enterobactin (enterochelin) and colicins B and D [Enterobactin transport (CVF478)] [Shigella dysenteriae Sd197]
28	VFDB|VFG013020(gi_74311127)	ferric enterobactin binding protein periplasmic component [Enterobactin transport (CVF478)] [Shigella sonnei Ss046]
29	VFDB|VFG013025(gi_82543034)	ATP-binding component of ferric enterobactin transport [Enterobactin transport (CVF478)] [Shigella boydii Sb227]
30	VFDB|VFG013028(gi_24111936)	ferric enterobactin (enterochelin) transport protein [Enterobactin transport (CVF478)] [Shigella flexneri 2a str. 301]
31	VFDB|VFG013413(gi_68249693)	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [LOS (CVF494)] [Haemophilus influenzae 86-028NP]
32	VFDB|VFG013465(gb|NP_439706)	2-dehydro-3-deoxyphosphooctonate aldolase [LOS (CVF494)] [Haemophilus influenzae Rd KW20]
33	VFDB|VFG013515(gi_148826007)	predicted phosphomannomutase [Exopolysaccharide (CVF495)] [Haemophilus influenzae PittEE]
34	VFDB|VFG016483(gi_13508404)	elongation factor Tu [Fibronectin-binding protein (AI171)] [Mycoplasma pneumoniae M129]
35	VFDB|VFG018207(gi_26246301)	Hypothetical protein yagY precursor [E. coli common pilus (ECP) (CVF625)] [Escherichia coli CFT073]
36	VFDB|VFG018228(gi_26246298)	Hypothetical protein yagV precursor [E. coli common pilus (ECP) (CVF625)] [Escherichia coli CFT073]
37	VFDB|VFG018665(gi_157150920)	dTDP-4-keto-6-deoxyglucose-3,5-epimerase [Capsule (CVF186)] [Streptococcus gordonii str. Challis substr. CH1]
38	VFDB|VFG019078(gi_182684949)	glyceraldehyde-3-phosphate dehydrogenase [Streptococcal plasmin receptor/GAPDH (CVF123)] [Streptococcus pneumoniae CGSP14]
39	VFDB|VFG020156(gi_187732248)	general secretion pathway protein GspH [T2SS (Type II secretion system) (CVF466)] [Shigella boydii CDC 3083-94]
40	VFDB|VFG020158(gi_187731137)	general secretion pathway protein GspJ [T2SS (Type II secretion system) (CVF466)] [Shigella boydii CDC 3083-94]
41	VFDB|VFG020160(gi_187733759)	GspL-like protein [T2SS (Type II secretion system) (CVF466)] [Shigella boydii CDC 3083-94]
42	VFDB|VFG020166(gi_187733201)_Victors|gi|187733201|ref|YP_001882799_1|	aerobactin synthase, IucC component [Aerobactin synthesis (CVF474)] [Shigella boydii CDC 3083-94]
43	VFDB|VFG021229(gi_197249914)	curli assembly protein CsgE [Agf/Csg (CVF001)] [Salmonella enterica subsp. enterica serovar Agona str. SL483]
44	VFDB|VFG023670(gi_332161324)	flagellar basal-body rod protein FlgG [Flagella (cluster I) (CVF039)] [Yersinia enterocolitica subsp. palearctica 105.5R(r)]
45	VFDB|VFG033267(gi_443615871)	chaperone FimC, periplasmic [Type I fimbriae (CVF426)] [Escherichia coli O78:H18 str. WS3294A]
