Sample	Bin	Site	NCBI species	GTDB taxonomy	Completeness	Contamination	Strain heterogeneity	Size (Mb)	N50 (Kb)	# genes	# tRNA	# 16S rRNA	# 23S rRNA	# 5S rRNA	dRep 95% sANI rep (cohort)	dRep 95% sANI rep (cohort plus UHGG species reps)	FastANI to closest UHGG genome	Novel compared to UHGG
soweto_1	4_sub	Soweto	Faecalibacterium prausnitzii	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_J	90.61	5.61	84.62	2.69	5.135	2465	31	0	0	1	TRUE	FALSE	97.5678	FALSE
soweto_1	maxbin.001	Soweto	Prevotella copri DSM 18205	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri	88.05	5.86	53.33	3.43	7.404	2845	38	1	1	5	FALSE	FALSE	96.6623	FALSE
soweto_1	maxbin.002	Soweto	Prevotella sp. Marseille-P4119	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900290275	93.21	2	58.33	2.94	16.107	2256	31	0	1	0	FALSE	FALSE	98.1518	FALSE
soweto_2	31	Soweto	Unclassified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__RC9 sp000432515	82.41	1.77	28.57	2.39	4.442	1970	13	0	0	0	FALSE	FALSE	96.9189	FALSE
soweto_2	bin.7	Soweto	Ruminococcaceae bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp003538135	91.9	0.48	25	1.99	12.009	1777	32	0	0	0	FALSE	FALSE	98.5135	FALSE
soweto_3	bin.4	Soweto	Bacteroides dorei CL03T12C01	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei	99.25	0.13	0	5.2	130.087	4284	61	0	0	1	TRUE	FALSE	99.9287	FALSE
soweto_4	6	Soweto	Ruminococcaceae bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__CAG-180 sp000432435	92.17	0.34	0	1.78	7.156	1608	24	0	0	0	FALSE	FALSE	98.5643	FALSE
soweto_4	bin.8	Soweto	uncultured Prevotellaceae bacterium	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotellamassilia;s__Prevotellamassilia sp900539625	88.22	0	0	2.19	9.503	1663	26	0	0	0	FALSE	FALSE	97.8329	FALSE
soweto_5	22_sub	Soweto	Ruminococcaceae bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__CAG-217 sp000436335	81.14	0.86	0	1.49	2.754	1346	17	0	0	2	FALSE	FALSE	97.5446	FALSE
soweto_5	bin.11	Soweto	[Eubacterium] siraeum V10Sc8a	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E siraeum	96.31	0	0	2.36	13.107	2037	21	0	0	0	FALSE	FALSE	98.9196	FALSE
