DATASET_COLORSTRIP
#In colored strip datasets, each ID is associated to a color box/strip and can have an optional label. Color can be specified in hexadecimal, RGB or RGBA notation. When using RGB or RGBA notation, you cannot use COMMA as the dataset separator

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file.

SEPARATOR TAB
#SEPARATOR COMMA
#SEPARATOR SPACE

#label is used in the legend table (can be changed later)
DATASET_LABEL	ANI

#dataset color (can be changed later)
#COLOR #ff0000

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#If COLOR_BRANCHES is set to 1, branches of the tree will be colored according to the colors of the strips above the leaves.
#When all children of a node have the same color, it will be colored the same, ie. the color will propagate inwards towards the root.
#COLOR_BRANCHES 0


#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#Each dataset can have a legend, which is defined using LEGEND_XXX fields below
#For each row in the legend, there should be one shape, color and label.
#Optionally, you can define an exact legend position using LEGEND_POSITION_X and LEGEND_POSITION_Y. To use automatic legend positioning, do NOT define these values
#Optionally, shape scaling can be present (LEGEND_SHAPE_SCALES). For each shape, you can define a scaling factor between 0 and 1.
#Shape should be a number between 1 and 6, or any protein domain shape definition.
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark

LEGEND_TITLE	ANI
LEGEND_POSITION_X	1125
LEGEND_POSITION_Y	700
LEGEND_SHAPES	1	1	1	1	1
LEGEND_COLORS	#E2EE5EFF	#75C56EFF	#209478FF	#096168FF	#1D3141FF
LEGEND_LABELS	80-84.9	85-89.9	90-94.9	95-98.9	>99	
#LEGEND_SHAPE_SCALES 1 1 0.5 1

#width of the colored strip
STRIP_WIDTH	50

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
#MARGIN 0

#border width; if set above 0, a border of specified width (in pixels) will be drawn around the color strip 
#BORDER_WIDTH 0

#border color; used when BORDER_WIDTH is above 0
#BORDER_COLOR #0000ff

#if set to 1, border will be drawn completely around each colored strip box
#COMPLETE_BORDER 0

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL 0


#display or hide the individual label inside each colored strip (when defined in the data below)
#SHOW_STRIP_LABELS 1

#position of the strip label within the box; 'top', 'center' or 'bottom'
#STRIP_LABEL_POSITION center

#strip label size factor (relative to the tree leaf labels)
#STRIP_LABEL_SIZE_FACTOR 1


#rotation of the strip labels; used only in rectangular tree display mode
#STRIP_LABEL_ROTATION 0

#strip label shift in pixels (positive or negative)
#STRIP_LABEL_SHIFT 0

#STRIP_LABEL_COLOR #000000

#draw a black outline around the text (width in pixels)
#STRIP_LABEL_OUTLINE 0.5

#display or hide the dataset label above the colored strip
SHOW_LABELS	

#dataset label size factor
SIZE_FACTOR	15

#dataset label rotation
#LABEL_ROTATION 0

#dataset label shift in pixels (positive or negative)
LABEL_SHIFT	2

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages

#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
user_genome	anigroupcolor	anigroup
iC14_3	#E2EE5EFF	<84.9
iA29_7	#E2EE5EFF	<84.9
iC9_6	#E2EE5EFF	<84.9
iB46_bin.28	#E2EE5EFF	<84.9
nC29_bin.1	#E2EE5EFF	<84.9
iC2_bin.20	#E2EE5EFF	<84.9
iC27_bin.4	#E2EE5EFF	<84.9
iC31_66	#E2EE5EFF	<84.9
iB45_49	#E2EE5EFF	<84.9
iC27_21	#E2EE5EFF	<84.9
iA18_1	#E2EE5EFF	<84.9
iB40_bin.14	#1D3141FF	>99
iB18_22_sub	#1D3141FF	>99
iB16_71	#1D3141FF	>99
iB22_14	#1D3141FF	>99
iB10_maxbin.001	#1D3141FF	>99
iA39_4	#1D3141FF	>99
iA44_bin.6	#1D3141FF	>99
iB23_10	#1D3141FF	>99
iB14_bin.17	#1D3141FF	>99
iB17_bin.26	#1D3141FF	>99
iA6_maxbin.001	#1D3141FF	>99
iC16_34_sub	#1D3141FF	>99
iA43_maxbin.002	#1D3141FF	>99
iA38_maxbin.002_sub	#1D3141FF	>99
iB23_43	#1D3141FF	>99
iA46_maxbin.002_sub	#1D3141FF	>99
iA53_bin.6	#1D3141FF	>99
iB32_bin.14	#1D3141FF	>99
iA19_bin.12	#1D3141FF	>99
iB32_63	#1D3141FF	>99
iB36_maxbin.004	#1D3141FF	>99
iB17_bin.15	#1D3141FF	>99
iA52_9	#1D3141FF	>99
iB74_103	#1D3141FF	>99
iB48_maxbin.008	#1D3141FF	>99
iA64_bin.8	#1D3141FF	>99
iA66_12	#1D3141FF	>99
iB28_1	#1D3141FF	>99
iB26_57	#1D3141FF	>99
iA32_bin.5	#1D3141FF	>99
iA31_bin.4	#1D3141FF	>99
iB15_44	#1D3141FF	>99
iB5_31	#1D3141FF	>99
iA49_bin.11	#1D3141FF	>99
iA9_10	#1D3141FF	>99
iA36_maxbin.008	#1D3141FF	>99
iB4_maxbin.017	#1D3141FF	>99
iA64_bin.13	#1D3141FF	>99
iA34_11_sub	#1D3141FF	>99
iB20_bin.14	#1D3141FF	>99
iC16_48_sub	#1D3141FF	>99
iB28_58	#1D3141FF	>99
iA18_maxbin.003_sub	#1D3141FF	>99
iB14_24	#1D3141FF	>99
iC25_bin.4	#1D3141FF	>99
iB43_12	#1D3141FF	>99
iC12_17	#1D3141FF	>99
iB34_80	#1D3141FF	>99
iB74_1_sub	#1D3141FF	>99
iB17_bin.16	#1D3141FF	>99
iB70_bin.16	#1D3141FF	>99
iA36_21	#1D3141FF	>99
iC16_bin.66_sub	#1D3141FF	>99
iB34_bin.47	#1D3141FF	>99
iB43_68	#1D3141FF	>99
iC25_bin.30_sub	#1D3141FF	>99
iB50_maxbin.001	#1D3141FF	>99
iB30_bin.36	#1D3141FF	>99
iB5_36	#1D3141FF	>99
iB30_15	#1D3141FF	>99
iB11_bin.5	#1D3141FF	>99
iB23_bin.18	#1D3141FF	>99
iB15_bin.11	#1D3141FF	>99
iB18_bin.29	#1D3141FF	>99
iB59_bin.12_sub	#1D3141FF	>99
iB15_maxbin.005	#1D3141FF	>99
iB12_9	#1D3141FF	>99
iC18_bin.19	#1D3141FF	>99
iC16_maxbin.013	#1D3141FF	>99
iA43_bin.12	#1D3141FF	>99
iC18_bin.28	#1D3141FF	>99
