Sample	Bin	ANI	Phylum	Species
A10	16	99.71111111111112	Firmicutes_A	CAG-314
A10	30	99.59166666666665	Proteobacteria	Enterobacteriaceae
A10	31	99.5764705882353	Bacteroidota	UBA932
A10	bin.7	99.72	Firmicutes_A	Acutalibacteraceae
A10	maxbin.002_sub	99.63571428571429	Bacteroidota	UBA932
A10	maxbin.007_sub	99.7	Firmicutes_A	Ruminococcaceae
A11	39	99.73333333333333	Firmicutes_A	Ruminococcaceae
A11	bin.1	100.0	Bacteroidota	Rikenellaceae
A11	bin.4	100.0	Bacteroidota	Bacteroidaceae
A11	maxbin.002_sub	99.61	Bacteroidota	Bacteroidaceae
A12	42	99.61851851851851	Cyanobacteria	Gastranaerophilaceae
A12	45	99.68571428571428	Firmicutes_A	Ruminococcaceae
A12	6	99.9090909090909	Firmicutes_A	Acutalibacteraceae
A12	bin.8	99.79629629629629	Bacteroidota	Bacteroidaceae
A13	22_sub	99.59	Firmicutes_A	Acutalibacteraceae
A13	35_sub	99.675	Firmicutes_A	CAG-727
A13	40	99.98181818181818	Verrucomicrobiota	Akkermansiaceae
A13	50_sub	99.6923076923077	Firmicutes_A	Acutalibacteraceae
A13	7_sub	92.48076923076923	Proteobacteria	CAG-977
A13	bin.11	99.86285714285714	Firmicutes_A	Ruminococcaceae
A13	bin.3	99.765	Firmicutes_A	CAG-917
A13	maxbin.002_sub	99.75263157894737	Firmicutes_A	Ruminococcaceae
A13	maxbin.008	99.71428571428571	Elusimicrobiota	Elusimicrobiaceae
A1	4_sub	99.73125	Firmicutes_A	Ruminococcaceae
A15	17	99.79090909090907	Bacteroidota	Rikenellaceae
A15	26	99.865	Bacteroidota	Rikenellaceae
A15	30	99.84871794871796	Bacteroidota	Barnesiellaceae
A15	43	99.86666666666666	Bacteroidota	Muribaculaceae
A15	49	99.88333333333333	Firmicutes_A	Acutalibacteraceae
A15	bin.1	99.92564102564104	Firmicutes_A	Acutalibacteraceae
A15	bin.9	99.75555555555555	Firmicutes_A	Oscillospiraceae
A16	12_sub	99.9076923076923	Firmicutes_A	Lachnospiraceae
A16	20	99.66	Firmicutes_C	Acidaminococcaceae
A16	maxbin.001	99.41	Bacteroidota	Bacteroidaceae
A17	21	99.35	Verrucomicrobiota	UBA1407
A17	4	99.6	Bacteroidota	UBA932
A17	bin.1	99.75833333333334	Bacteroidota	Bacteroidaceae
A17	bin.5	99.70606060606062	Firmicutes_A	Lachnospiraceae
A18	1	80.77999999999999	Firmicutes	CAG-307
A18	39	99.84482758620689	Firmicutes	CAG-288
A18	maxbin.003_sub	99.93846153846154	Firmicutes_A	CAG-727
A18	maxbin.011_sub	99.72352941176472	Firmicutes	Enterococcaceae
A19	10	99.77272727272727	Firmicutes_A	CAG-138
A19	23	99.65	Firmicutes_A	CAG-917
A19	52	99.61999999999999	Firmicutes_A	Ruminococcaceae
A19	9	99.3047619047619	Proteobacteria	Burkholderiaceae
A19	bin.10	99.88695652173914	Firmicutes_A	Ruminococcaceae
A19	bin.12	99.87096774193549	Firmicutes_A	Lachnospiraceae
A19	bin.16	99.59375	Firmicutes_A	Oscillospiraceae
A19	bin.18	99.89285714285714	Firmicutes_A	Acutalibacteraceae
A19	bin.19	99.50571428571428	Firmicutes_A	Oscillospiraceae
A19	bin.3	99.57222222222222	Firmicutes_A	Oscillospiraceae
A19	bin.4	99.55277777777778	Bacteroidota	UBA932
A19	bin.6	99.48333333333335	Firmicutes_A	CAG-138
A19	bin.7	99.78399999999999	Firmicutes_A	Lachnospiraceae
A19	maxbin.005_sub	99.7047619047619	Firmicutes_A	Oscillospiraceae
A1	maxbin.001	99.86666666666667	Bacteroidota	Bacteroidaceae
A1	maxbin.002	99.70370370370371	Bacteroidota	Bacteroidaceae
A21	11	99.58800000000001	Bacteroidota	Bacteroidaceae
A21	15	99.79333333333334	Firmicutes_A	Lachnospiraceae
A21	17	99.70833333333333	Firmicutes_A	Acutalibacteraceae
A21	18	99.84615384615384	Firmicutes_A	Lachnospiraceae
A21	30	99.61666666666667	Firmicutes_A	Ruminococcaceae
A2	18	99.96296296296296	Bacteroidota	Bacteroidaceae
A21	bin.9	99.74347826086957	Bacteroidota	Bacteroidaceae
A22	10_sub	99.93846153846154	Bacteroidota	Bacteroidaceae
A22	28	99.88181818181819	Firmicutes_A	Oscillospiraceae
A22	bin.3_sub	100.0	Bacteroidota	Rikenellaceae
A22	maxbin.005	99.965	Bacteroidota	Bacteroidaceae
A22	maxbin.006_sub	100.0	Bacteroidota	Bacteroidaceae
A24	17	99.85833333333335	Firmicutes_A	Acutalibacteraceae
