	A10.tsv	A13.tsv	A19.tsv	A25.tsv	A26.tsv	A27.tsv	A28.tsv	A29.tsv	A34.tsv	A35.tsv	A41.tsv	A45.tsv	A50.tsv	A51.tsv	A57.tsv	A58.tsv	A6.tsv	A64.tsv	A66.tsv	A67.tsv	A68.tsv	A69.tsv	A7.tsv	A71.tsv	A73.tsv	A75.tsv	A8.tsv	B18.tsv	B19.tsv	B21.tsv	B24.tsv	B25.tsv	B26.tsv	B31.tsv	B34.tsv	B35.tsv	B4.tsv	B44.tsv	B46.tsv	B48.tsv	B50.tsv	B54.tsv	B55.tsv	B58.tsv	B59.tsv	B66.tsv	B68.tsv	B70.tsv	B73.tsv	C15.tsv	C19.tsv	C2.tsv	C20.tsv	C21.tsv	C24.tsv	C27.tsv	C29.tsv	C3.tsv	C33.tsv	C7.tsv	REF_GCA_000154325	REF_GCA_001404415
UniRef90_A0A096B5B1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
UniRef90_A0A0E2H733	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1	0	1	1	1	0	1	1	0	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1
UniRef90_A0A0M6WLZ9	0	1	1	0	0	1	1	1	0	0	0	1	1	0	1	1	1	0	0	1	1	1	0	0	1	0	0	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1
UniRef90_A0A0S2W775	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
UniRef90_A0A0S2W8L4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
UniRef90_A0A0S2W8P0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
UniRef90_A0A0T8UEX8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
UniRef90_A0A116NS82	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
UniRef90_A0A127SAM3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
UniRef90_A0A127SYN0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A127T6H1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
